dataset_order,dataset_key,dataset_family,dataset_condition,source,standard_label,kind,id,label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
1,fr1_desk_clean,fr1_desk,clean,Step-Q:resnet_conv1_direct_f1_d15_d20_d26_d34,resnet_direct_fine01,direct_fine,4,resnet_conv1_direct_f1_d15_d20_d26_d34,Direct fine parent F1: global direct Conv1 optimum on fr1/desk_lightswitch.,"resnet:direct:conv1:15,20,26,34","[15, 20, 26, 34]",0,PASS,Completed the full matched RGB-D sequence,47.96796658402309,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.14146761880698594,0.1334048861375751,0.1323089158596126,0.2576846707092759,0.04707678329643294,8.129064519864999,7.829642913296729,12.461258779659481,0.008580191587221817,0.05917319314118289,0.6514664171383242,8.414277001122201,0.12078816907081462,0.10884928112785919,1.0933944452529023,0.11599956977375515,0.10446779011418648,1.0978931666653993,431,0.115926,0.10439,0.010259,571,7.733145,9.8645435,0,0.894,0.993,174300.0,0.007492,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.log,2026-08-23T12:27:01.974476+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-Q:resnet_conv1_direct_f2_d23_d24_d26_d51_d63,resnet_direct_fine02,direct_fine,5,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,"Direct fine parent F2, used by both A/B schedule tests of the global C2F pair.","resnet:direct:conv1:23,24,26,51,63","[23, 24, 26, 51, 63]",0,PASS,Completed the full matched RGB-D sequence,46.74447393498849,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.14474631588369477,0.1388604750733737,0.13383584258287118,0.24919908884900885,0.040856632561914685,9.359918255150284,8.97342323869843,13.518657797756848,0.008618577821922107,0.04613383680688189,0.6614846996044054,8.334263109021357,0.12394027840374004,0.11107031584440705,1.0950109771072933,0.12224813719287204,0.11002517390634992,1.0970478913189465,431,0.122095,0.109807,0.010187,571,9.755614,12.305173,0,0.894,0.993,46380.0,0.006664,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.log,2026-08-23T12:27:49.360384+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-R:new,resnet_direct_fine03,direct_fine,1,resnet_direct_fine03,Step-R direct fine rank 3,"resnet:direct:conv1:15,20,26,34,45,53","[15, 20, 26, 34, 45, 53]",0,PASS,Completed the full matched RGB-D sequence,44.31846201699955,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.12642241604371618,0.11881259792695135,0.12277280761866194,0.19484756005425877,0.04319946587840014,7.867566421001948,7.653842272289465,11.427913637964101,0.008090831016125555,0.036442133449122255,0.5043242406986386,1.9137143161851033,0.10291530370337806,0.08975895249966408,1.092818069226653,0.09078841241604789,0.07747957376367827,1.0989633603148892,431,0.0908,0.077507,0.009625,571,11.92342,14.247890000000002,0,0.871,0.992,11670.0,0.003064,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine03/replicate_0.log,2026-08-26T03:30:51.546375+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-R:new,resnet_direct_fine04,direct_fine,2,resnet_direct_fine04,Step-R direct fine rank 4,"resnet:direct:conv1:33,52","[33, 52]",0,PASS,Completed the full matched RGB-D sequence,43.563821261996054,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1489785706081731,0.14184568528107874,0.14017215718151055,0.2810017683246658,0.04554575795390357,9.154931702520491,8.844783162333758,13.194575637063462,0.008389369588682171,0.036403705294649875,0.5068579158897563,1.9116215325524752,0.13486295177538382,0.12441239725852687,1.0794425789051243,0.12713320723184768,0.11534704290040176,1.0876610774547497,431,0.127225,0.115471,0.009876,571,2.119299,2.4775,0,0.867,0.992,4381.0,0.00183,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine04/replicate_0.log,2026-08-26T03:31:35.736600+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-R:new,resnet_direct_fine05,direct_fine,3,resnet_direct_fine05,Step-R direct fine rank 5,"resnet:direct:conv1:5,6,24,29","[5, 6, 24, 29]",0,PASS,Completed the full matched RGB-D sequence,43.94602523600042,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.17506161984379928,0.16666977526167817,0.1576137268515456,0.33466918425892805,0.053551440284614144,9.263114051771316,8.834895702211488,16.29187410383161,0.012652357404243005,0.22037921425377574,0.6614435153418983,9.357940826507962,0.1585304765446753,0.14543673724319317,1.0949913119854342,0.16029734316351263,0.14807541411831468,1.0993761571985192,432,0.160132,0.147927,0.015383,571,7.359432,9.508799,0,0.901,0.992,6831.0,0.003281,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine05/replicate_0.log,2026-08-26T03:32:20.321523+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-Q:resnet_conv1_direct_f6_d29_d33_d52,resnet_direct_fine06,direct_fine,6,resnet_conv1_direct_f6_d29_d33_d52,"Direct fine parent F6, included because it has the largest observed C2F gain with C5.","resnet:direct:conv1:29,33,52","[29, 33, 52]",0,PASS,Completed the full matched RGB-D sequence,43.622747476998484,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1407715612816368,0.1339854443124911,0.1369020575094652,0.2333275744008141,0.04318024059745342,8.092745535933535,7.785388030078315,11.554667010335528,0.00827703632758811,0.036541643670129666,0.5060023100909757,1.9214468003455285,0.12036394279062401,0.10889828973660502,1.092497930777176,0.10927896277409456,0.09787690779876879,1.0996202705044722,430,0.109282,0.097889,0.009904,571,4.459943,5.5405365,0,0.872,0.992,5924.0,0.001599,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.log,2026-08-23T12:28:33.636503+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-R:new,resnet_direct_coarse01,direct_coarse,4,resnet_direct_coarse01,Step-R direct coarse rank 1,"resnet:direct:layer2:41,60,67,108,121","[41, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,47.52969574799499,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.27305348448106276,0.26895668216251584,0.2744371823687947,0.3459277390376361,0.0471222718826399,16.690748615142596,15.686063593085356,25.14681852376081,0.017456323226049217,0.32510937637777476,0.6872963933935661,7.626166874405004,0.23801133146559902,0.2183291677283399,1.1902016828150657,0.22199195252307913,0.19849254659547952,1.2214450440490294,426,0.222225,0.198825,0.023398,571,8.236334,9.649586,0,0.902,0.994,7490.0,0.005261,291,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse01/replicate_0.log,2026-08-26T03:33:08.486207+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-R:new,resnet_direct_coarse02,direct_coarse,5,resnet_direct_coarse02,Step-R direct coarse rank 2,"resnet:direct:layer2:60,67,108,121","[60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,47.40284868999879,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.26468497536023566,0.2602798909301919,0.26093263221514834,0.3472748997801226,0.04808861152930088,16.725278305437605,15.700532086517036,26.29217814413729,0.01776421094767001,0.3257676452792224,0.7104157808374457,7.882597003357419,0.22710906041444712,0.20795753622754765,1.1929604536332112,0.21732535219812085,0.19582187267613368,1.2164151731907833,430,0.21755,0.196141,0.023519,571,6.262417,7.4512975,0,0.906,0.995,7007.0,0.004641,326,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse02/replicate_0.log,2026-08-26T03:33:56.518315+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-R:new,resnet_direct_coarse03,direct_coarse,6,resnet_direct_coarse03,Step-R direct coarse rank 3,"resnet:direct:layer2:41,60,67,95,108,121","[41, 60, 67, 95, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,47.67138634299772,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.3033396458231791,0.29553825919038496,0.2940132963552926,0.4305276017594238,0.06835260114178947,18.35888254564253,17.127175818121472,29.019440052127504,0.01878204772239736,0.3645888892448532,0.7079962490649423,8.773875880020217,0.2828375580304759,0.26071206668738733,1.1535962150561105,0.2713924318888378,0.24600403870725435,1.1866044149380404,426,0.271692,0.246459,0.024434,571,10.163324,11.964341000000001,0,0.902,0.994,11690.0,0.008082,315,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse03/replicate_0.log,2026-08-26T03:34:44.822497+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-Q:resnet_layer2_direct_c4_d67_d108_d121,resnet_direct_coarse04,direct_coarse,2,resnet_layer2_direct_c4_d67_d108_d121,"Direct coarse parent C4, selected because it is the coarse component of the global C2F optimum.","resnet:direct:layer2:67,108,121","[67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,48.33087360300124,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.27696838897835124,0.27292915074570306,0.2749660294810518,0.37537572016315146,0.04712926019462394,17.360115044271627,16.303277677195677,26.455459890715737,0.018554685088730427,0.3511377357121792,0.7245431199389251,8.807163336635035,0.24931282949310474,0.2296813505963684,1.169091246175954,0.23776278579433785,0.21468256023115256,1.19618606187504,429,0.238006,0.215029,0.02429,571,4.050352,5.0691445,0,0.905,0.994,9927.0,0.003865,329,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.log,2026-08-23T12:25:24.172115+00:00
