standard_label,variant,fine_rank,coarse_rank,source,c2f_pass_count,comparable_pairs,beats_fine_count,beats_better_parent_count,median_percent_delta_vs_fine,median_percent_delta_vs_better_parent,c2f_nonpass_count,parent_nonpass_count
resnet_c2f_b_fine03_coarse05,B,3,5,Step-R:new,9,9,7,7,-4.731998399471133,-4.731998399471133,0,0
resnet_c2f_b_fine04_coarse05,B,4,5,Step-R:new,9,9,7,7,-0.9848001392353637,-0.9848001392353637,0,0
resnet_c2f_a_fine05_coarse05,A,5,5,Step-R:new,9,9,5,5,-2.667937112910917,-2.667937112910917,0,0
resnet_c2f_b_fine04_coarse01,B,4,1,Step-R:new,9,9,5,5,-0.6971988101140434,-0.6971988101140434,0,0
resnet_c2f_b_fine04_coarse02,B,4,2,Step-R:new,9,9,6,5,-1.405406973371233,-0.6181829449677918,0,0
resnet_c2f_b_fine04_coarse04,B,4,4,Step-R:new,9,9,5,5,-0.40282597917701995,-0.40282597917701995,0,0
resnet_c2f_b_fine02_coarse02,B,2,2,Step-R:new,9,9,5,5,-0.07787314213942992,-0.07787314213942992,0,0
resnet_c2f_b_fine06_coarse04,B,6,4,Step-R:new,8,8,5,5,-0.03936437088681399,-0.03936437088681399,1,0
resnet_c2f_b_fine06_coarse03,B,6,3,Step-R:new,8,8,5,5,-0.013992962794027949,-0.013992962794027949,1,0
resnet_c2f_b_fine05_coarse02,B,5,2,Step-R:new,8,8,4,4,-1.9568472438738644,-1.9568472438738644,1,0
resnet_c2f_a_fine06_coarse05,A,6,5,Step-Q:resnet_c2f_a_f6_c5_positive_synergy,8,8,4,4,-0.27102274492424616,-0.27102274492424616,1,0
resnet_c2f_b_fine06_coarse05,B,6,5,Step-R:new,8,8,4,4,-0.2509529549749111,-0.2509529549749111,1,0
resnet_c2f_b_fine01_coarse05,B,1,5,Step-R:new,7,7,4,4,-0.1999698970047443,-0.1999698970047443,2,0
resnet_c2f_b_fine05_coarse04,B,5,4,Step-R:new,9,9,4,4,0.05743917032311736,0.05743917032311736,0,0
resnet_c2f_b_fine06_coarse02,B,6,2,Step-R:new,8,8,4,4,0.22187401641276144,0.22187401641276144,1,0
resnet_c2f_a_fine04_coarse05,A,4,5,Step-R:new,9,9,4,4,0.8654602675059169,0.8654602675059169,0,0
resnet_c2f_b_fine05_coarse05,B,5,5,Step-R:new,9,9,4,4,1.455125648185106,1.455125648185106,0,0
resnet_c2f_b_fine02_coarse05,B,2,5,Step-R:new,9,9,4,4,1.8638184245660763,1.8638184245660763,0,0
resnet_c2f_b_fine06_coarse01,B,6,1,Step-R:new,8,8,4,3,0.023278165113698526,0.4206765758195203,1,0
resnet_c2f_b_fine03_coarse04,B,3,4,Step-R:new,8,8,3,3,0.44764062137896193,0.44764062137896193,1,0
resnet_c2f_b_fine04_coarse03,B,4,3,Step-R:new,9,9,3,3,1.898699771187421,1.898699771187421,0,0
resnet_c2f_b_fine05_coarse03,B,5,3,Step-R:new,9,9,3,3,3.280732207669237,3.280732207669237,0,0
resnet_c2f_a_fine04_coarse01,A,4,1,Step-R:new,9,9,3,3,3.2954263758056364,3.2954263758056364,0,0
resnet_c2f_b_fine05_coarse01,B,5,1,Step-R:new,8,8,3,3,3.441166564139594,3.441166564139594,1,0
resnet_c2f_b_fine02_coarse04,B,2,4,Step-Q:resnet_c2f_b_f2_c4_global_best,9,9,3,3,4.299617774335315,4.299617774335315,0,0
resnet_c2f_a_fine03_coarse05,A,3,5,Step-R:new,9,9,3,3,7.305022529183559,7.305022529183559,0,0
resnet_c2f_b_fine03_coarse01,B,3,1,Step-R:new,8,8,2,2,2.1590495204836064,2.1590495204836064,1,0
resnet_c2f_b_fine03_coarse02,B,3,2,Step-R:new,9,9,2,2,2.366263586247023,2.366263586247023,0,0
resnet_c2f_b_fine02_coarse01,B,2,1,Step-R:new,9,9,2,2,2.971072541165984,2.971072541165984,0,0
resnet_c2f_b_fine02_coarse03,B,2,3,Step-R:new,9,9,2,2,4.422859535273169,4.422859535273169,0,0
resnet_c2f_a_fine04_coarse03,A,4,3,Step-R:new,9,9,2,2,6.797377696564508,6.797377696564508,0,0
resnet_c2f_a_fine04_coarse02,A,4,2,Step-R:new,8,8,2,2,7.6557786072043355,7.6557786072043355,1,0
resnet_c2f_a_fine04_coarse04,A,4,4,Step-R:new,8,8,2,2,9.451904315613978,9.451904315613978,1,0
resnet_c2f_a_fine06_coarse04,A,6,4,Step-R:new,8,8,2,2,13.337853638562366,13.337853638562366,1,0
resnet_c2f_a_fine06_coarse03,A,6,3,Step-R:new,8,8,2,2,14.529624520780382,14.529624520780382,1,0
resnet_c2f_a_fine02_coarse01,A,2,1,Step-R:new,9,9,2,2,15.661771250556287,15.661771250556287,0,0
resnet_c2f_a_fine05_coarse03,A,5,3,Step-R:new,9,9,2,2,24.077639261480204,24.077639261480204,0,0
resnet_c2f_a_fine05_coarse04,A,5,4,Step-R:new,9,9,2,2,24.205459996843935,24.205459996843935,0,0
resnet_c2f_a_fine05_coarse02,A,5,2,Step-R:new,8,8,2,2,25.58954648198886,25.58954648198886,1,0
resnet_c2f_b_fine03_coarse03,B,3,3,Step-R:new,8,8,1,1,3.439980565473101,3.439980565473101,1,0
resnet_c2f_b_fine01_coarse03,B,1,3,Step-R:new,7,7,1,1,5.496991059856864,5.496991059856864,2,0
resnet_c2f_a_fine06_coarse02,A,6,2,Step-R:new,8,8,2,1,11.500026215144658,11.500026215144658,1,0
resnet_c2f_a_fine03_coarse03,A,3,3,Step-R:new,8,8,1,1,14.30254665621391,14.30254665621391,1,0
resnet_c2f_a_fine02_coarse05,A,2,5,Step-R:new,9,9,1,1,15.105945377146412,15.105945377146412,0,0
resnet_c2f_a_fine01_coarse05,A,1,5,Step-R:new,7,7,1,1,15.193114102847025,15.193114102847025,2,0
resnet_c2f_a_fine06_coarse01,A,6,1,Step-R:new,7,7,1,1,16.10218049705005,16.10218049705005,2,0
resnet_c2f_a_fine03_coarse04,A,3,4,Step-R:new,9,9,1,1,17.202689392317243,17.202689392317243,0,0
resnet_c2f_a_fine02_coarse04,A,2,4,Step-Q:resnet_c2f_a_f2_c4_variant_negative,9,9,1,1,20.394505683071706,20.394505683071706,0,0
resnet_c2f_a_fine03_coarse01,A,3,1,Step-R:new,8,8,1,1,22.38436675462357,22.38436675462357,1,0
resnet_c2f_a_fine05_coarse01,A,5,1,Step-R:new,8,8,1,1,24.499908383400392,24.499908383400392,1,0
resnet_c2f_b_fine01_coarse04,B,1,4,Step-Q:resnet_c2f_b_f1_c4_negative_high_parent,7,7,0,0,6.319512712272784,6.319512712272784,2,0
resnet_c2f_b_fine01_coarse02,B,1,2,Step-R:new,7,7,0,0,6.765145913225908,6.765145913225908,2,0
resnet_c2f_b_fine01_coarse01,B,1,1,Step-R:new,7,7,0,0,9.58538976113911,9.58538976113911,2,0
resnet_c2f_a_fine01_coarse01,A,1,1,Step-R:new,7,7,0,0,37.02557875055417,37.02557875055417,2,0
resnet_c2f_a_fine03_coarse02,A,3,2,Step-R:new,8,8,0,0,42.80194039407564,42.80194039407564,1,0
resnet_c2f_a_fine02_coarse03,A,2,3,Step-R:new,9,9,0,0,56.44807959056774,56.44807959056774,0,0
resnet_c2f_a_fine01_coarse02,A,1,2,Step-R:new,7,7,0,0,59.884925581356946,59.884925581356946,2,0
resnet_c2f_a_fine01_coarse04,A,1,4,Step-R:new,7,7,0,0,61.02411279604422,61.02411279604422,2,0
resnet_c2f_a_fine01_coarse03,A,1,3,Step-R:new,7,7,0,0,65.71376682984013,65.71376682984013,2,0
resnet_c2f_a_fine02_coarse02,A,2,2,Step-R:new,9,9,0,0,76.78290090795667,76.78290090795667,0,0
