dataset_order,dataset_key,dataset_family,dataset_condition,standard_label,source_label,source,kind,variant,fine_rank,coarse_rank,configuration,status,reason,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,translation_rpe_max_cm,rotation_rpe_max_deg,coverage_ratio,elapsed_seconds,dataset_rank
1,fr1_desk_clean,fr1_desk,clean,resnet_direct_fine01,resnet_conv1_direct_f1_d15_d20_d26_d34,Step-Q:resnet_conv1_direct_f1_d15_d20_d26_d34,direct_fine,,1,,"direct conv1[d15,d20,d26,d34]",PASS,Completed the full matched RGB-D sequence,10.439,11.592600000000001,1.0259,14.146761880698595,13.34048861375751,5.917319314118289,8.414277001122201,0.9965095986038395,47.96796658402309,19
1,fr1_desk_clean,fr1_desk,clean,resnet_direct_fine02,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,Step-Q:resnet_conv1_direct_f2_d23_d24_d26_d51_d63,direct_fine,,2,,"direct conv1[d23,d24,d26,d51,d63]",PASS,Completed the full matched RGB-D sequence,10.9807,12.2095,1.0187,14.474631588369476,13.88604750733737,4.613383680688189,8.334263109021357,0.9965095986038395,46.74447393498849,21
1,fr1_desk_clean,fr1_desk,clean,resnet_direct_fine03,resnet_direct_fine03,Step-R:new,direct_fine,,3,,"direct conv1[d15,d20,d26,d34,d45,d53]",PASS,Completed the full matched RGB-D sequence,7.750700000000001,9.08,0.9625,12.642241604371618,11.881259792695136,3.6442133449122256,1.9137143161851033,0.9965095986038395,44.31846201699955,9
1,fr1_desk_clean,fr1_desk,clean,resnet_direct_fine04,resnet_direct_fine04,Step-R:new,direct_fine,,4,,"direct conv1[d33,d52]",PASS,Completed the full matched RGB-D sequence,11.5471,12.7225,0.9875999999999999,14.89785706081731,14.184568528107874,3.6403705294649877,1.9116215325524752,0.9965095986038395,43.563821261996054,26
1,fr1_desk_clean,fr1_desk,clean,resnet_direct_fine05,resnet_direct_fine05,Step-R:new,direct_fine,,5,,"direct conv1[d5,d6,d24,d29]",PASS,Completed the full matched RGB-D sequence,14.7927,16.0132,1.5383,17.50616198437993,16.666977526167816,22.037921425377576,9.357940826507962,0.9965095986038395,43.94602523600042,37
1,fr1_desk_clean,fr1_desk,clean,resnet_direct_fine06,resnet_conv1_direct_f6_d29_d33_d52,Step-Q:resnet_conv1_direct_f6_d29_d33_d52,direct_fine,,6,,"direct conv1[d29,d33,d52]",PASS,Completed the full matched RGB-D sequence,9.7889,10.9282,0.9904,14.07715612816368,13.39854443124911,3.6541643670129664,1.9214468003455285,0.9965095986038395,43.622747476998484,17
1,fr1_desk_clean,fr1_desk,clean,resnet_direct_coarse01,resnet_direct_coarse01,Step-R:new,direct_coarse,,,1,"direct layer2[d41,d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.8825,22.2225,2.3398,27.305348448106276,26.895668216251583,32.510937637777474,7.626166874405004,0.9965095986038395,47.52969574799499,59
1,fr1_desk_clean,fr1_desk,clean,resnet_direct_coarse02,resnet_direct_coarse02,Step-R:new,direct_coarse,,,2,"direct layer2[d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.6141,21.755,2.3519,26.468497536023566,26.027989093019187,32.57676452792224,7.882597003357419,0.9965095986038395,47.40284868999879,56
1,fr1_desk_clean,fr1_desk,clean,resnet_direct_coarse03,resnet_direct_coarse03,Step-R:new,direct_coarse,,,3,"direct layer2[d41,d60,d67,d95,d108,d121]",PASS,Completed the full matched RGB-D sequence,24.6459,27.1692,2.4434,30.33396458231791,29.553825919038495,36.45888892448532,8.773875880020217,0.9965095986038395,47.67138634299772,71
1,fr1_desk_clean,fr1_desk,clean,resnet_direct_coarse04,resnet_layer2_direct_c4_d67_d108_d121,Step-Q:resnet_layer2_direct_c4_d67_d108_d121,direct_coarse,,,4,"direct layer2[d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,21.5029,23.8006,2.429,27.696838897835125,27.292915074570306,35.11377357121792,8.807163336635035,0.9965095986038395,48.33087360300124,64
1,fr1_desk_clean,fr1_desk,clean,resnet_direct_coarse05,resnet_layer2_direct_c5_d108_d121,Step-Q:resnet_layer2_direct_c5_d108_d121,direct_coarse,,,5,"direct layer2[d108,d121]",PASS,Completed the full matched RGB-D sequence,12.9191,14.0925,1.6247,21.50500270786773,20.741803497236617,12.37467209743857,5.806120067684906,0.9965095986038395,48.5437302319915,31
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine01_coarse01,resnet_c2f_a_fine01_coarse01,Step-R:new,c2f,A,1,1,"C2F-A; fine conv1[d15,d20,d26,d34]; coarse layer2[d41,d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.1069,21.1174,2.0139,22.42106626266245,21.211632424365835,34.260283859620316,8.207783462976078,0.9965095986038395,50.359492714000226,47
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine01_coarse02,resnet_c2f_a_fine01_coarse02,Step-R:new,c2f,A,1,2,"C2F-A; fine conv1[d15,d20,d26,d34]; coarse layer2[d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,18.575,20.5748,1.9583,21.90701203309642,20.79320073984038,33.17647466736575,8.076306749822463,0.9965095986038395,50.64043981100258,45
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine01_coarse03,resnet_c2f_a_fine01_coarse03,Step-R:new,c2f,A,1,3,"C2F-A; fine conv1[d15,d20,d26,d34]; coarse layer2[d41,d60,d67,d95,d108,d121]",PASS,Completed the full matched RGB-D sequence,16.2412,17.9713,1.4149,19.740224383890943,18.80375315875017,14.480479691262618,12.263372723111996,0.9965095986038395,50.802532731999236,41
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine01_coarse04,resnet_c2f_a_fine01_coarse04,Step-R:new,c2f,A,1,4,"C2F-A; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.5336,21.5811,2.1065,22.77569834539207,21.513209007631744,36.38139797649379,9.101772263931851,0.9965095986038395,50.06444190299953,55
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine01_coarse05,resnet_c2f_a_fine01_coarse05,Step-R:new,c2f,A,1,5,"C2F-A; fine conv1[d15,d20,d26,d34]; coarse layer2[d108,d121]",PASS,Completed the full matched RGB-D sequence,6.546100000000001,7.7831,1.0968,12.236076783288553,11.646004151070123,9.482325790187968,5.495035639349304,0.9965095986038395,50.52494165400276,4
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine02_coarse01,resnet_c2f_a_fine02_coarse01,Step-R:new,c2f,A,2,1,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d41,d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,6.5428,7.7338000000000005,1.0613,12.578776151970416,11.850354963763566,7.549729982904123,5.0254056918688885,0.9965095986038395,50.921701857994776,3
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine02_coarse02,resnet_c2f_a_fine02_coarse02,Step-R:new,c2f,A,2,2,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.412,21.526699999999998,1.9207999999999998,22.828387370294518,21.672202110072618,31.256356807055134,9.598881982416497,0.9965095986038395,50.90964917800011,52
