label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
resnet_direct_fine03,Step-R direct fine rank 3,"resnet:direct:conv1:15,20,26,34,45,53","[15, 20, 26, 34, 45, 53]",0,PASS,Completed the full matched RGB-D sequence,44.31846201699955,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.12642241604371618,0.11881259792695135,0.12277280761866194,0.19484756005425877,0.04319946587840014,7.867566421001948,7.653842272289465,11.427913637964101,0.008090831016125555,0.036442133449122255,0.5043242406986386,1.9137143161851033,0.10291530370337806,0.08975895249966408,1.092818069226653,0.09078841241604789,0.07747957376367827,1.0989633603148892,431,0.0908,0.077507,0.009625,571,11.92342,14.247890000000002,0,0.871,0.992,11670.0,0.003064,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine03/replicate_0.log,2026-08-26T03:30:51.546375+00:00
resnet_direct_fine04,Step-R direct fine rank 4,"resnet:direct:conv1:33,52","[33, 52]",0,PASS,Completed the full matched RGB-D sequence,43.563821261996054,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1489785706081731,0.14184568528107874,0.14017215718151055,0.2810017683246658,0.04554575795390357,9.154931702520491,8.844783162333758,13.194575637063462,0.008389369588682171,0.036403705294649875,0.5068579158897563,1.9116215325524752,0.13486295177538382,0.12441239725852687,1.0794425789051243,0.12713320723184768,0.11534704290040176,1.0876610774547497,431,0.127225,0.115471,0.009876,571,2.119299,2.4775,0,0.867,0.992,4381.0,0.00183,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine04/replicate_0.log,2026-08-26T03:31:35.736600+00:00
resnet_direct_fine05,Step-R direct fine rank 5,"resnet:direct:conv1:5,6,24,29","[5, 6, 24, 29]",0,PASS,Completed the full matched RGB-D sequence,43.94602523600042,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.17506161984379928,0.16666977526167817,0.1576137268515456,0.33466918425892805,0.053551440284614144,9.263114051771316,8.834895702211488,16.29187410383161,0.012652357404243005,0.22037921425377574,0.6614435153418983,9.357940826507962,0.1585304765446753,0.14543673724319317,1.0949913119854342,0.16029734316351263,0.14807541411831468,1.0993761571985192,432,0.160132,0.147927,0.015383,571,7.359432,9.508799,0,0.901,0.992,6831.0,0.003281,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_fine05/replicate_0.log,2026-08-26T03:32:20.321523+00:00
resnet_direct_coarse01,Step-R direct coarse rank 1,"resnet:direct:layer2:41,60,67,108,121","[41, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,47.52969574799499,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.27305348448106276,0.26895668216251584,0.2744371823687947,0.3459277390376361,0.0471222718826399,16.690748615142596,15.686063593085356,25.14681852376081,0.017456323226049217,0.32510937637777476,0.6872963933935661,7.626166874405004,0.23801133146559902,0.2183291677283399,1.1902016828150657,0.22199195252307913,0.19849254659547952,1.2214450440490294,426,0.222225,0.198825,0.023398,571,8.236334,9.649586,0,0.902,0.994,7490.0,0.005261,291,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse01/replicate_0.log,2026-08-26T03:33:08.486207+00:00
resnet_direct_coarse02,Step-R direct coarse rank 2,"resnet:direct:layer2:60,67,108,121","[60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,47.40284868999879,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.26468497536023566,0.2602798909301919,0.26093263221514834,0.3472748997801226,0.04808861152930088,16.725278305437605,15.700532086517036,26.29217814413729,0.01776421094767001,0.3257676452792224,0.7104157808374457,7.882597003357419,0.22710906041444712,0.20795753622754765,1.1929604536332112,0.21732535219812085,0.19582187267613368,1.2164151731907833,430,0.21755,0.196141,0.023519,571,6.262417,7.4512975,0,0.906,0.995,7007.0,0.004641,326,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse02/replicate_0.log,2026-08-26T03:33:56.518315+00:00
resnet_direct_coarse03,Step-R direct coarse rank 3,"resnet:direct:layer2:41,60,67,95,108,121","[41, 60, 67, 95, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,47.67138634299772,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.3033396458231791,0.29553825919038496,0.2940132963552926,0.4305276017594238,0.06835260114178947,18.35888254564253,17.127175818121472,29.019440052127504,0.01878204772239736,0.3645888892448532,0.7079962490649423,8.773875880020217,0.2828375580304759,0.26071206668738733,1.1535962150561105,0.2713924318888378,0.24600403870725435,1.1866044149380404,426,0.271692,0.246459,0.024434,571,10.163324,11.964341000000001,0,0.902,0.994,11690.0,0.008082,315,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_direct_coarse03/replicate_0.log,2026-08-26T03:34:44.822497+00:00
resnet_c2f_a_fine01_coarse01,Step-R full-grid C2F-A; F1 × C1,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,108,121","[15, 20, 26, 34, 41, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,50.359492714000226,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2242106626266245,0.21211632424365834,0.2060990579638838,0.364525098259964,0.07264355597593801,10.04681607921472,9.577812408921893,14.323787178467594,0.016531074566522985,0.34260283859620316,0.610324697237,8.207783462976078,0.2172065996066829,0.1976540431774822,1.0706121195393155,0.21096191934242214,0.190752878405994,1.088424430549078,431,0.211174,0.191069,0.020139,571,7.695874,9.941231,0,0.897,0.993,128500.0,0.006649,8,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-26T03:35:35.821145+00:00
resnet_c2f_a_fine01_coarse02,Step-R full-grid C2F-A; F1 × C2,"resnet:c2f:A:fine15,20,26,34:coarse60,67,108,121","[15, 20, 26, 34, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,50.64043981100258,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2190701203309642,0.2079320073984038,0.20161852050048024,0.35240246632348526,0.06896374352580692,10.0125421165971,9.585451219418868,13.962531448098328,0.016127371360126333,0.3317647466736575,0.6078451734585363,8.076306749822463,0.21221783721549828,0.19266153233384634,1.0688174743891328,0.2055388855339864,0.18543795552316153,1.0855526708787586,432,0.205748,0.18575,0.019583,571,7.704831,9.881067,0,0.897,0.993,129300.0,0.008165,8,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-26T03:36:27.094306+00:00
resnet_c2f_a_fine01_coarse03,Step-R full-grid C2F-A; F1 × C3,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,95,108,121","[15, 20, 26, 34, 41, 60, 67, 95, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,50.802532731999236,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.19740224383890942,0.1880375315875017,0.1870907230161589,0.35791525601750956,0.06007938570854032,10.207393251706842,9.75511284984135,15.408659035486583,0.01164611164350101,0.14480479691262618,0.7451562083134844,12.263372723111996,0.18524656034258105,0.16904185020486787,1.0871641136146675,0.17958350660166417,0.16220712148573083,1.1007122396929292,431,0.179713,0.162412,0.014149,571,7.701632,9.90413,0,0.897,0.993,257700.0,0.012223,16,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-26T03:37:18.506543+00:00
resnet_c2f_a_fine01_coarse04,Step-R full-grid C2F-A; F1 × C4,"resnet:c2f:A:fine15,20,26,34:coarse67,108,121","[15, 20, 26, 34, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,50.06444190299953,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2277569834539207,0.21513209007631745,0.2067049282522595,0.3590676491900564,0.07477584724645224,10.304088832755172,9.770480755904826,14.955275977318776,0.017320660950850317,0.36381397976493784,0.633129139543691,9.101772263931851,0.22166402433940355,0.20091065737487435,1.0662760130527504,0.21558985870697575,0.19500433220641308,1.0837349903397402,431,0.215811,0.195336,0.021065,571,7.729393,9.866895,0,0.897,0.993,181800.0,0.010816,8,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_clean/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.log,2026-08-26T03:38:09.202350+00:00
