rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,resnet_c2f_b_fine03_coarse05,"resnet:c2f:B:fine15,20,26,34,45,53:coarse108,121",Step-R full-grid C2F-B; F3 × C5,0,0.9965095986038395,6.0162,7.208100000000001,1.0352000000000001,11.466578779312124,10.825065318852332,17.238151547553326,0.8594352107859045,7.2124054287349315,0.555540251286637,5.5497847145818575,6.9416977404315405,1.1017706213917444,6.026652294568356,1.1067772823806137
2,resnet_c2f_b_fine01_coarse05,"resnet:c2f:B:fine15,20,26,34:coarse108,121",Step-R full-grid C2F-B; F1 × C5,0,0.9965095986038395,6.1240000000000006,7.3751,1.0743,11.53569551270077,10.888835932811698,17.733849779837787,0.8853011616501198,8.72495113567298,0.5539991327209144,5.4065061325929245,7.27241136675631,1.0993942106747188,6.127490973999109,1.1049462306017253
3,resnet_c2f_a_fine02_coarse01,"resnet:c2f:A:fine23,24,26,51,63:coarse41,60,67,108,121",Step-R full-grid C2F-A; F2 × C1,0,0.9965095986038395,6.5428,7.7338000000000005,1.0613,12.578776151970416,11.850354963763566,20.185761642031608,0.8739539177737796,7.549729982904123,0.5498419933984847,5.0254056918688885,7.346735812738578,1.1162480551895855,6.556484930263548,1.121969479207119
4,resnet_c2f_a_fine01_coarse05,"resnet:c2f:A:fine15,20,26,34:coarse108,121",Step-R full-grid C2F-A; F1 × C5,0,0.9965095986038395,6.546100000000001,7.7831,1.0968,12.236076783288553,11.646004151070123,18.449344544140402,0.8975811407566238,9.482325790187968,0.5546652947848112,5.495035639349304,7.7023973139609225,1.107793282311047,6.548244857603749,1.1146997599529305
5,resnet_c2f_a_fine03_coarse01,"resnet:c2f:A:fine15,20,26,34,45,53:coarse41,60,67,108,121",Step-R full-grid C2F-A; F3 × C1,0,0.9965095986038395,6.6429,7.8885,1.0423,12.518280447982688,11.803178315596211,18.46826098919707,0.8542970921862899,7.138377663253591,0.5452170779076448,4.998349284204599,7.7467515720184785,1.1117346691049936,6.649972993027241,1.1188591583657588
6,resnet_c2f_b_fine03_coarse04,"resnet:c2f:B:fine15,20,26,34,45,53:coarse67,108,121",Step-R full-grid C2F-B; F3 × C4,0,0.9965095986038395,6.7293,7.9084,1.0817999999999999,12.06316035448436,11.498113427649978,18.68125259481806,0.8914891065805622,9.249834420597452,0.5409653967948875,4.695446475098149,7.949171167890546,1.1014752681041213,6.7293066916564355,1.1082046232199942
7,resnet_c2f_a_fine03_coarse05,"resnet:c2f:A:fine15,20,26,34,45,53:coarse108,121",Step-R full-grid C2F-A; F3 × C5,0,0.9965095986038395,7.0701,8.282399999999999,1.1474,12.733682609398661,12.246129204659303,18.821239279662645,0.9356511816373871,11.449990189537974,0.5563389269090442,5.612201250196177,8.292441797427712,1.1100595132456985,7.0693468264362815,1.1179602234787642
8,resnet_c2f_b_fine03_coarse01,"resnet:c2f:B:fine15,20,26,34,45,53:coarse41,60,67,108,121",Step-R full-grid C2F-B; F3 × C1,0,0.9965095986038395,7.6435,8.946800000000001,0.9594,12.481953191320764,11.72235807857192,19.34753395245792,0.8074466411342783,3.573706119823704,0.504348400773278,1.9303888229430897,8.822452820401653,1.0925007345413058,7.640540778909644,1.0986682394748648
9,resnet_direct_fine03,"resnet:direct:conv1:15,20,26,34,45,53",Step-R direct fine rank 3,0,0.9965095986038395,7.750700000000001,9.08,0.9625,12.642241604371618,11.881259792695136,19.484756005425876,0.8090831016125556,3.6442133449122256,0.5043242406986386,1.9137143161851033,8.975895249966408,1.092818069226653,7.747957376367827,1.0989633603148892
10,resnet_c2f_a_fine05_coarse05,"resnet:c2f:A:fine5,6,24,29:coarse108,121",Step-R full-grid C2F-A; F5 × C5,0,0.9965095986038395,7.9563,8.960700000000001,1.1285,12.946896617391628,12.423643703156905,21.378819597105203,0.9424445886866759,11.125626129449543,0.5563259719040073,4.958803128100339,8.922912229841707,1.1063216417214703,7.960956141250087,1.115197079649207
