label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
resnet_direct_fine03,Step-R direct fine rank 3,"resnet:direct:conv1:15,20,26,34,45,53","[15, 20, 26, 34, 45, 53]",0,PASS,Completed the full matched RGB-D sequence,44.4683073030028,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1353922018840477,0.12717933461841546,0.13388008887586703,0.21508635986059244,0.0464377559430668,8.086987333613997,7.809466822804263,11.39560898702735,0.008261452853819724,0.03941971027011771,0.5157370215065307,2.9393031176029334,0.11130365375783875,0.09920343095368131,1.0980328461775732,0.10045907519044446,0.08831491142300742,1.1047066737726319,431,0.100488,0.088357,0.009873,571,11.55388,14.1873045,0,0.87,0.992,13540.0,0.003355,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_fine03/replicate_0.log,2026-08-26T05:12:35.433766+00:00
resnet_direct_fine04,Step-R direct fine rank 4,"resnet:direct:conv1:33,52","[33, 52]",0,PASS,Completed the full matched RGB-D sequence,43.35277766500076,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.15323651244101505,0.14679737632897283,0.1505111151817237,0.27029701919128823,0.04395405610424689,10.171049651171137,9.984623625579157,13.110306964738248,0.008578982927603106,0.036640633822516845,0.5192587566838035,1.9063711507956405,0.13735486462085636,0.12818582702416106,1.085803598837224,0.1304679479013796,0.11961249954388006,1.0923200586533024,432,0.130581,0.119759,0.010248,571,2.237751,2.916991,0,0.866,0.993,5438.0,0.003028,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_fine04/replicate_0.log,2026-08-26T05:13:19.422860+00:00
resnet_direct_fine05,Step-R direct fine rank 5,"resnet:direct:conv1:5,6,24,29","[5, 6, 24, 29]",0,PASS,Completed the full matched RGB-D sequence,44.57679529500456,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.14697756166679063,0.14072792835641718,0.15083442748168926,0.2243854070895725,0.042403464646492764,9.244689458514182,8.654278249177855,16.137000008093953,0.012201086332977487,0.20397988550464458,0.5286133805870542,2.7590825817982343,0.11772707585178917,0.10826449266456167,1.1135991772747125,0.12001756243155882,0.10970830334221755,1.1177061075153483,432,0.119808,0.10951,0.014996,571,7.507532,9.5855725,0,0.895,0.993,6831.0,0.003281,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_fine05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_fine05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_fine05/replicate_0.log,2026-08-26T05:14:04.628189+00:00
resnet_direct_coarse01,Step-R direct coarse rank 1,"resnet:direct:layer2:41,60,67,108,121","[41, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,47.8980943150018,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2576900437028082,0.24871180999109108,0.2509346726408309,0.39257738391759645,0.06742843758022739,15.267155243173242,14.49858442948161,25.7350841184188,0.016699538936209707,0.28763591055431004,0.7249525743360098,6.705423762538328,0.1868803954278737,0.16971821462408082,1.2636889787247982,0.1712067866631556,0.15181059215872425,1.294208261646629,431,0.171276,0.15193,0.023706,571,8.288558,9.626248,0,0.903,0.995,7533.0,0.033713,305,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_coarse01/replicate_0.log,2026-08-26T05:14:53.150373+00:00
resnet_direct_coarse02,Step-R direct coarse rank 2,"resnet:direct:layer2:60,67,108,121","[60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,47.6006871790014,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.25817792957309327,0.2499507232250176,0.24920071357062398,0.37680941590432976,0.0646566259399589,16.302633163143604,15.480558134887454,25.923744259412274,0.01755174101083643,0.3114194837872973,0.832240813385492,9.569744452053117,0.19488702654739073,0.17954498661826468,1.2493363089244625,0.18440836091632964,0.16855856655000254,1.2747644152175674,431,0.184465,0.168671,0.024567,571,6.285311,7.479694500000001,0,0.904,0.995,17630.0,0.004954,333,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_coarse02/replicate_0.log,2026-08-26T05:15:41.381464+00:00
resnet_direct_coarse03,Step-R direct coarse rank 3,"resnet:direct:layer2:41,60,67,95,108,121","[41, 60, 67, 95, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,47.75137351200101,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.3364739627271397,0.32790677613538355,0.33244311331772874,0.47688971111725786,0.07544450780410752,18.93751635205395,17.7409591720497,28.201556662624863,0.02126285848255394,0.38728618774202517,0.8932842823183748,11.703905516310842,0.3147780488468547,0.29340058984757206,1.1715725844438882,0.3090457388170112,0.2865108067274613,1.2093996262806335,432,0.30935,0.286973,0.028412,571,10.226855,11.9001355,0,0.902,0.995,11010.0,0.006471,328,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_direct_coarse03/replicate_0.log,2026-08-26T05:16:29.767776+00:00
resnet_c2f_a_fine01_coarse01,Step-R full-grid C2F-A; F1 × C1,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,108,121","[15, 20, 26, 34, 41, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,50.72827128999779,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1263470125854781,0.11842755239056689,0.13414176618058063,0.1859862770267621,0.04402820032722772,7.685878839630895,7.011028942529413,12.757615864196444,0.008798795663595357,0.08428044597774789,0.5467802659991327,5.016413782454854,0.09172990575649086,0.07872365485619269,1.1115572057871532,0.08023550042934084,0.06720682601758714,1.118844445361436,430,0.080173,0.06716,0.010768,571,7.55542,9.8816855,0,0.897,0.993,252700.0,0.007682,8,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-26T05:17:21.126886+00:00
resnet_c2f_a_fine01_coarse02,Step-R full-grid C2F-A; F1 × C2,"resnet:c2f:A:fine15,20,26,34:coarse60,67,108,121","[15, 20, 26, 34, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,51.046504949001246,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.23719118519221005,0.22466778299509108,0.20736809281001364,0.4345655602550742,0.07605291327066921,11.271099997536544,10.432508877990292,17.748474883111193,0.01592744178223412,0.3222292967689026,0.7207604246120165,9.590370594532143,0.23125652295902802,0.21210475615365046,1.0670328088475862,0.2269822605696673,0.20673884001908743,1.0847418439700136,430,0.227147,0.207007,0.019273,571,7.559336,9.830017999999999,0,0.896,0.993,150400.0,0.01162,16,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-26T05:18:12.802447+00:00
resnet_c2f_a_fine01_coarse03,Step-R full-grid C2F-A; F1 × C3,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,95,108,121","[15, 20, 26, 34, 41, 60, 67, 95, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,51.021039382998424,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.24901342387483139,0.23407142545098866,0.22176650680939533,0.39733218954539906,0.08496030283143248,10.600055445188751,10.066537955511164,15.426572758637777,0.019159711943073084,0.41268269456501394,0.6616725555307241,10.215522770595856,0.24384503716342215,0.22293771831691409,1.0642723196814048,0.2392046182923107,0.2188867692749701,1.0839079667311384,431,0.239445,0.219253,0.023347,571,7.567772,9.868406499999999,0,0.896,0.992,230800.0,0.052972,8,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-26T05:19:04.460797+00:00
resnet_c2f_a_fine01_coarse04,Step-R full-grid C2F-A; F1 × C4,"resnet:c2f:A:fine15,20,26,34:coarse67,108,121","[15, 20, 26, 34, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,50.130194196994125,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.21322721996727875,0.20297827826767031,0.19951089431947736,0.3410327889999611,0.06531206539734043,9.314658756840611,9.032334952846705,12.57875181985627,0.016122029953270306,0.33170129202778526,0.6060288613570595,8.012765724991533,0.2044759636576648,0.18546453852841338,1.0769441674299858,0.19736562408176198,0.17802796535695437,1.0938973985422265,431,0.197574,0.178342,0.019766,571,7.546269,9.808390500000002,0,0.897,0.992,175600.0,0.016615,8,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr1_desk_flashlight/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.log,2026-08-26T05:19:55.215107+00:00
