rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,resnet_c2f_b_fine03_coarse05,"resnet:c2f:B:fine15,20,26,34,45,53:coarse108,121",Step-R full-grid C2F-B; F3 × C5,0,0.9965095986038395,6.3412999999999995,7.5198,1.0408,11.867721707488851,11.12505295175352,18.002772116587813,0.8607515854096738,7.181117507677611,0.5552961402129404,5.538164509752307,7.204445026556268,1.1058302378218345,6.352212252433839,1.1107997827013392
2,resnet_c2f_a_fine03_coarse05,"resnet:c2f:A:fine15,20,26,34,45,53:coarse108,121",Step-R full-grid C2F-A; F3 × C5,0,0.9965095986038395,6.436999999999999,7.6229000000000005,1.0775,12.385150153352598,11.668667983915977,18.579616514562108,0.8827634825724724,8.658605689531848,0.5532320827601952,5.428655059202891,7.427500919669919,1.114274066939706,6.444492231247054,1.1209127271039612
3,resnet_c2f_a_fine01_coarse01,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,108,121",Step-R full-grid C2F-A; F1 × C1,0,0.9965095986038395,6.715999999999999,8.017299999999999,1.0768,12.634701258547809,11.84275523905669,18.59862770267621,0.8798795663595358,8.42804459777479,0.5467802659991327,5.016413782454854,7.872365485619269,1.1115572057871532,6.720682601758714,1.118844445361436
4,resnet_c2f_a_fine02_coarse01,"resnet:c2f:A:fine23,24,26,51,63:coarse41,60,67,108,121",Step-R full-grid C2F-A; F2 × C1,0,0.9965095986038395,6.7359,7.996300000000001,1.1717,13.13140443690029,12.373071110086354,19.86352067749568,0.9568518827690695,11.722145118916966,0.5503249304496871,4.872389576761898,7.744947044341599,1.1213587678334798,6.744728124133689,1.1291491365176425
5,resnet_c2f_b_fine02_coarse01,"resnet:c2f:B:fine23,24,26,51,63:coarse41,60,67,108,121",Step-R full-grid C2F-B; F2 × C1,0,0.9965095986038395,6.770099999999999,7.7904,1.1314,12.145917435690095,11.369722914974774,19.212398792798627,0.9243023580045407,10.228006532556172,0.5427860291306985,4.9127551884344935,7.380925285763109,1.109280949939359,6.783737548421192,1.1143783491883523
6,resnet_c2f_b_fine01_coarse05,"resnet:c2f:B:fine15,20,26,34:coarse108,121",Step-R full-grid C2F-B; F1 × C5,0,0.9965095986038395,6.783,8.0431,1.1892,12.18871226146256,11.605548854428909,18.391389298841187,0.969808186333115,12.780600149080628,0.561517060407648,5.865471937678797,8.064281039914682,1.101630536756564,6.780146554080879,1.10794535795181
7,resnet_c2f_a_fine02_coarse05,"resnet:c2f:A:fine23,24,26,51,63:coarse108,121",Step-R full-grid C2F-A; F2 × C5,0,0.9965095986038395,6.9996,8.0274,1.1073,12.63535617779732,11.950669501820938,20.87358433306134,0.9056053870405086,8.852915998234392,0.5585624725770548,5.492221480242304,7.53940045544203,1.1174084436892235,7.016336860580647,1.122992827913307
8,resnet_c2f_a_fine05_coarse05,"resnet:c2f:A:fine5,6,24,29:coarse108,121",Step-R full-grid C2F-A; F5 × C5,0,0.9965095986038395,7.107099999999999,7.9821,1.0671,12.346394002591076,11.754414269543654,18.54055133955964,0.8950889866722264,8.614392169041345,0.5556851357405501,4.92996376644295,7.901721341716611,1.1101859201918645,7.118062909944742,1.1176980005524277
9,resnet_c2f_b_fine02_coarse02,"resnet:c2f:B:fine23,24,26,51,63:coarse60,67,108,121",Step-R full-grid C2F-B; F2 × C2,0,0.9965095986038395,7.1244000000000005,8.4353,1.3328,12.794076525488313,12.199425356839782,20.31064023570639,1.0719675554078982,16.483484246970395,0.5436786998171955,4.909961218216787,8.351149967280804,1.109439751994939,7.121381832213975,1.1172437247123794
10,resnet_c2f_b_fine02_coarse05,"resnet:c2f:B:fine23,24,26,51,63:coarse108,121",Step-R full-grid C2F-B; F2 × C5,0,0.9965095986038395,7.150399999999999,8.0489,1.0764,12.066762888922153,11.349251383344074,20.19259774347954,0.8862654724159104,7.993474085897498,0.5543465085717569,5.546827947075226,7.60573164977518,1.1066309026423138,7.169605994554597,1.1107108882934194
11,resnet_c2f_a_fine01_coarse05,"resnet:c2f:A:fine15,20,26,34:coarse108,121",Step-R full-grid C2F-A; F1 × C5,0,0.9965095986038395,7.1785000000000005,8.4124,1.2006,12.781687330606553,12.268292888836676,19.164705919540953,0.9747593239947349,13.087096899974984,0.5605818743512487,5.832987766956707,8.4256491028672,1.1091458744049991,7.1755525332133345,1.1170433611182664
12,resnet_c2f_b_fine01_coarse01,"resnet:c2f:B:fine15,20,26,34:coarse41,60,67,108,121",Step-R full-grid C2F-B; F1 × C1,0,0.9965095986038395,7.2238,8.4312,1.193,12.530137735762919,11.970904140134184,19.25724920765622,0.9716360112691719,12.8772313535812,0.5480289939784802,5.081895226401458,8.504920468585276,1.102778682632084,7.219715138375504,1.1097002215587721
13,resnet_c2f_b_fine05_coarse05,"resnet:c2f:B:fine5,6,24,29:coarse108,121",Step-R full-grid C2F-B; F5 × C5,0,0.9965095986038395,7.428999999999999,8.2408,1.0449,12.173363472154257,11.563328311499262,19.24351771646503,0.880544455041111,7.808661536287391,0.5433882775011367,4.472353322026641,8.143104953266022,1.1038988035572652,7.44053384774346,1.1100209641437
14,resnet_c2f_a_fine03_coarse03,"resnet:c2f:A:fine15,20,26,34,45,53:coarse41,60,67,95,108,121",Step-R full-grid C2F-A; F3 × C3,0,0.9965095986038395,8.2068,9.4346,1.1877,13.865044042714663,13.303245858121745,20.85120837222736,0.9638342536345034,12.666772358803918,0.5408397384717926,4.6051516996797215,9.553652070048525,1.1149457030175534,8.202009306834361,1.1246507973344435
15,resnet_c2f_b_fine05_coarse02,"resnet:c2f:B:fine5,6,24,29:coarse60,67,108,121",Step-R full-grid C2F-B; F5 × C2,0,0.9965095986038395,8.3919,9.1638,1.0375,12.820680186678187,12.168834818787536,22.049604673484968,0.8766400484031834,7.260761571853393,0.5469211380997037,4.262298360172479,9.06605519072162,1.1038331054343047,8.400894815122518,1.1105380144959687
16,resnet_direct_fine03,"resnet:direct:conv1:15,20,26,34,45,53",Step-R direct fine rank 3,0,0.9965095986038395,8.835700000000001,10.0488,0.9873,13.539220188404771,12.717933461841547,21.508635986059243,0.8261452853819724,3.941971027011771,0.5157370215065307,2.9393031176029334,9.92034309536813,1.0980328461775732,8.831491142300742,1.1047066737726319
17,resnet_c2f_a_fine04_coarse05,"resnet:c2f:A:fine33,52:coarse108,121",Step-R full-grid C2F-A; F4 × C5,0,0.9965095986038395,9.3163,10.2883,1.0675000000000001,13.684534399811074,12.923637039848709,21.431552740289415,0.8830129018036852,6.237565100760385,0.5542414987916183,4.791830946937904,10.264459543480866,1.1020499628605087,9.31076420093654,1.1097309568137248
18,resnet_c2f_b_fine04_coarse05,"resnet:c2f:B:fine33,52:coarse108,121",Step-R full-grid C2F-B; F4 × C5,0,0.9965095986038395,9.521799999999999,10.4226,1.047,13.579295234664803,12.95838322389436,21.22044210023705,0.8703815146404068,4.428541607365071,0.558505992063283,5.022024131313617,10.27522928520156,1.1001705475207118,9.518460707156391,1.1058711105574897
19,resnet_c2f_b_fine04_coarse02,"resnet:c2f:B:fine33,52:coarse60,67,108,121",Step-R full-grid C2F-B; F4 × C2,0,0.9965095986038395,9.740400000000001,10.655100000000001,1.036,13.72243982102087,13.103735810431969,21.67843270064191,0.8655246168190436,3.778483912559049,0.5593138360936766,5.117835928702759,10.472245789864788,1.0997529406835194,9.73617335995423,1.1055001305590675
20,resnet_c2f_a_fine05_coarse02,"resnet:c2f:A:fine5,6,24,29:coarse60,67,108,121",Step-R full-grid C2F-A; F5 × C2,0,0.9965095986038395,9.8646,10.912700000000001,1.1185,14.635560581125004,13.946617736546798,26.37633764394173,0.9323257065648026,8.193346219651747,0.5948238064016201,5.401520116065274,10.758610533940367,1.1112831184206897,9.863286361479027,1.121690068874938
21,resnet_c2f_b_fine06_coarse01,"resnet:c2f:B:fine29,33,52:coarse41,60,67,108,121",Step-R full-grid C2F-B; F6 × C1,0,0.9965095986038395,10.0458,11.0082,0.9967,14.21150218483261,13.611216516759256,22.801580467375583,0.8327496555152164,3.5646341203259837,0.5088024464204038,1.9269709295801205,11.023880052545335,1.097493285315785,10.043402481899696,1.1036037504838594
22,resnet_c2f_b_fine06_coarse05,"resnet:c2f:B:fine29,33,52:coarse108,121",Step-R full-grid C2F-B; F6 × C5,0,0.9965095986038395,10.0847,11.033900000000001,0.9948,14.234040309333428,13.63600329514697,22.998501296314352,0.8331425306281585,3.6718376273112314,0.5077783321683841,1.907455316766078,11.052607140027616,1.0977861538895668,10.082112844985211,1.1036756483750438
23,resnet_c2f_b_fine05_coarse01,"resnet:c2f:B:fine5,6,24,29:coarse41,60,67,108,121",Step-R full-grid C2F-B; F5 × C1,0,0.9965095986038395,10.7659,11.637,1.1295,14.759538678373243,14.061361231781097,27.75018611605624,0.9468698716585223,10.550625523398448,0.5431961580180229,3.742275582726926,11.429475551963506,1.1048483320084546,10.76778277691448,1.1138593286491494
24,resnet_direct_fine05,"resnet:direct:conv1:5,6,24,29",Step-R direct fine rank 5,0,0.9965095986038395,10.951,11.9808,1.4996,14.697756166679063,14.072792835641717,22.438540708957248,1.2201086332977487,20.397988550464458,0.5286133805870542,2.7590825817982343,10.826449266456168,1.1135991772747125,10.970830334221755,1.1177061075153483
25,resnet_c2f_b_fine04_coarse01,"resnet:c2f:B:fine33,52:coarse41,60,67,108,121",Step-R full-grid C2F-B; F4 × C1,0,0.9965095986038395,11.0238,11.6474,1.1124,14.217168488120446,13.69516242002514,23.084736257241158,0.9153907790096313,7.171392888894103,0.6845467119285038,9.324419733549764,11.515653258865331,1.093994259519242,11.019605360628185,1.0995079011687583
26,resnet_c2f_b_fine01_coarse02,"resnet:c2f:B:fine15,20,26,34:coarse60,67,108,121",Step-R full-grid C2F-B; F1 × C2,0,0.9965095986038395,11.116,12.1889,1.1439,14.911066371028022,14.248629128321463,27.212620438699624,0.9420134464642654,10.138653775680154,0.6748837163097284,9.414269918577318,11.735479522097346,1.0963130224040873,11.112977290908812,1.1030389408162562
27,resnet_c2f_a_fine04_coarse01,"resnet:c2f:A:fine33,52:coarse41,60,67,108,121",Step-R full-grid C2F-A; F4 × C1,0,0.9965095986038395,11.8992,12.6798,1.1363,15.318831865166564,14.65111420497921,27.14267190528482,0.9314710034665006,7.521500125605872,0.6732606384870541,9.266651200845738,12.514561294472454,1.0975924805444992,11.890399441077525,1.1057556246748699
28,resnet_direct_fine04,"resnet:direct:conv1:33,52",Step-R direct fine rank 4,0,0.9965095986038395,11.975900000000001,13.0581,1.0248,15.323651244101505,14.679737632897282,27.029701919128822,0.8578982927603106,3.6640633822516846,0.5192587566838035,1.9063711507956405,12.818582702416107,1.085803598837224,11.961249954388006,1.0923200586533024
29,resnet_c2f_a_fine06_coarse02,"resnet:c2f:A:fine29,33,52:coarse60,67,108,121",Step-R full-grid C2F-A; F6 × C2,0,0.9965095986038395,12.556899999999999,13.4616,1.0975000000000001,16.167195147012166,15.3876908617174,29.57079649944348,0.9050308398541823,7.494777704050254,0.6622077865405014,9.114830195068079,12.965300164828628,1.1062174277367705,12.55806863463625,1.1131851072577692
30,resnet_c2f_b_fine06_coarse02,"resnet:c2f:B:fine29,33,52:coarse60,67,108,121",Step-R full-grid C2F-B; F6 × C2,0,0.9965095986038395,12.822600000000001,13.658600000000002,1.0253999999999999,15.776996783190919,15.295994120753598,27.460500737106884,0.8562417635555297,5.081462603601446,0.5967808627082535,7.478584526553782,13.330021840044504,1.087195676085878,12.823253837593066,1.091963354597777
31,resnet_c2f_a_fine05_coarse01,"resnet:c2f:A:fine5,6,24,29:coarse41,60,67,108,121",Step-R full-grid C2F-A; F5 × C1,0,0.9965095986038395,12.900900000000002,14.296700000000001,1.1654,17.04470390290801,16.097705265665052,34.24095229118972,0.9773946623381599,11.021214599256979,0.6835345288121497,10.142882756877963,13.432702948937198,1.1080107433787847,12.90183057403792,1.1189251406241365
32,resnet_c2f_a_fine04_coarse02,"resnet:c2f:A:fine33,52:coarse60,67,108,121",Step-R full-grid C2F-A; F4 × C2,0,0.9965095986038395,13.166,14.4095,1.3505,16.888820914564622,16.174107613949428,29.81938469176555,1.1015131462605516,16.85718120054234,0.5464602910139253,4.294441284386248,14.236143507822776,1.09236505838524,13.140890377113381,1.1049656661215244
33,resnet_c2f_b_fine04_coarse04,"resnet:c2f:B:fine33,52:coarse67,108,121",Step-R full-grid C2F-B; F4 × C4,0,0.9965095986038395,14.249600000000001,15.3133,1.3381,17.281497611916187,16.53477747406196,32.16456489867116,1.089763490002153,15.280988699402354,0.6292269302016448,8.14744803505696,14.969520152552496,1.0847977176784063,14.227834620249633,1.0957938457762733
34,resnet_c2f_a_fine06_coarse01,"resnet:c2f:A:fine29,33,52:coarse41,60,67,108,121",Step-R full-grid C2F-A; F6 × C1,0,0.9965095986038395,14.716399999999998,16.1072,1.0349000000000002,18.112343080794098,17.128854113652732,35.493614228479814,0.8726904839190714,5.0322899523486715,0.6383501613901,9.269392159469927,15.103203513902425,1.0961439252029717,14.715255484453307,1.104269716454228
35,resnet_direct_coarse01,"resnet:direct:layer2:41,60,67,108,121",Step-R direct coarse rank 1,0,0.9965095986038395,15.193000000000001,17.1276,2.3706,25.76900437028082,24.871180999109107,39.257738391759645,1.6699538936209706,28.763591055431004,0.7249525743360098,6.705423762538328,16.971821462408084,1.2636889787247982,15.181059215872425,1.294208261646629
36,resnet_c2f_a_fine02_coarse02,"resnet:c2f:A:fine23,24,26,51,63:coarse60,67,108,121",Step-R full-grid C2F-A; F2 × C2,0,0.9965095986038395,16.403100000000002,18.3031,2.02,20.541086116668097,19.662487916466446,32.29353887110331,1.6139896552381376,32.916962486881154,0.616138231172331,7.964894183907399,17.30214773120546,1.0971513557531718,16.374018634592737,1.115846704198955
37,resnet_c2f_a_fine03_coarse02,"resnet:c2f:A:fine15,20,26,34,45,53:coarse60,67,108,121",Step-R full-grid C2F-A; F3 × C2,0,0.9965095986038395,16.7314,18.4579,1.5731,20.23919310039538,19.437361916706035,37.401138346448384,1.2836014187664677,22.664568515027646,0.6011033581779762,5.552470754600022,17.53128210514894,1.0867709175750084,16.711098094381168,1.1016578443528995
38,resnet_direct_coarse02,"resnet:direct:layer2:60,67,108,121",Step-R direct coarse rank 2,0,0.9965095986038395,16.867099999999997,18.4465,2.4566999999999997,25.817792957309326,24.99507232250176,37.68094159043297,1.7551741010836432,31.14194837872973,0.832240813385492,9.569744452053117,17.954498661826467,1.2493363089244625,16.855856655000252,1.2747644152175674
39,resnet_c2f_b_fine05_coarse04,"resnet:c2f:B:fine5,6,24,29:coarse67,108,121",Step-R full-grid C2F-B; F5 × C4,0,0.9965095986038395,17.3253,18.8616,1.6289000000000002,20.380943433467174,19.333273197814368,38.33378610170766,1.3556103315688972,25.447488460350492,0.5695274956308349,5.9035912360695635,17.977977873755115,1.0774315841566717,17.30450455170053,1.0936032781100016
40,resnet_c2f_b_fine03_coarse04,"resnet:c2f:B:fine15,20,26,34,45,53:coarse67,108,121",Step-R full-grid C2F-B; F3 × C4,0,0.9965095986038395,17.4756,19.1743,1.9411999999999998,20.621320967017567,19.711252005695236,35.91867100523287,1.5815132002333612,31.739861527052536,0.6193001603586963,8.069480448104098,18.131731691271206,1.0776152038219922,17.45136175599983,1.092122478764949
41,resnet_c2f_b_fine03_coarse02,"resnet:c2f:B:fine15,20,26,34,45,53:coarse60,67,108,121",Step-R full-grid C2F-B; F3 × C2,0,0.9965095986038395,17.630499999999998,19.3438,1.8671,20.829790553660228,19.776955609939634,34.6983087072532,1.5287387514697122,30.821990833666153,0.5978653422004075,7.662473415097709,18.26796514898993,1.077387551597961,17.602798830620014,1.0928724541267352
