label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
resnet_direct_fine03,Step-R direct fine rank 3,"resnet:direct:conv1:15,20,26,34,45,53","[15, 20, 26, 34, 45, 53]",0,PASS,Completed the full matched RGB-D sequence,151.37490742000227,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.682373925585714,0.5860785226649246,0.40485402927677455,1.368890836349532,0.34949411953587567,27.105953232028604,25.61892665321693,37.36575148744316,0.016001840118953888,0.534232766151439,0.4685686849151513,11.35157998994434,0.6640559816712228,0.5922900192537918,0.9122261931326446,0.12683370137053324,0.06027117183313089,1.0965077457040173,471,0.127524,0.057481,0.088902,2891,11.516555,20.7605505,0,0.827,1.0,1567000.0,0.975048,126,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_fine03/replicate_0.log,2026-08-26T09:08:35.326734+00:00
resnet_direct_fine04,Step-R direct fine rank 4,"resnet:direct:conv1:33,52","[33, 52]",0,PASS,Completed the full matched RGB-D sequence,160.33950452099816,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,1.319163546224434,1.1663834928822523,1.0480915200695862,2.5615285977386564,0.6162321066118036,41.047936260841134,38.328941160647645,55.63066925300531,0.0262691451410764,0.8417943349138698,0.596434257518815,18.457310812091144,1.1264561403355127,1.0521653227768613,0.6637291389622074,0.2315236256687485,0.10800215038605582,1.1078992566641805,467,0.234454,0.105973,0.201434,2891,1.927404,5.7509535,0,0.743,1.0,56920.0,0.010679,189,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_fine04/replicate_0.log,2026-08-26T09:11:16.583215+00:00
resnet_direct_fine05,Step-R direct fine rank 5,"resnet:direct:conv1:5,6,24,29","[5, 6, 24, 29]",0,PASS,Completed the full matched RGB-D sequence,158.7811514549976,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.6391282705964185,0.5303151758994327,0.4555733807046441,1.3662867516688824,0.35672224557254967,24.508723702627506,22.57384533899197,39.108457629503164,0.011008924527287786,0.27560953960251366,0.36391396094160666,6.782548073740997,0.608895474426168,0.541280331750342,0.8948772147653071,0.13801433076329167,0.08245740866299348,1.1538980278557116,469,0.138213,0.079762,0.101115,2891,5.720267,36.7216965,0,0.898,1.0,9302.0,0.008958,83,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_fine05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_fine05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_fine05/replicate_0.log,2026-08-26T09:13:56.280901+00:00
resnet_direct_coarse01,Step-R direct coarse rank 1,"resnet:direct:layer2:41,60,67,108,121","[41, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,164.8285970979996,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.8725733323507576,0.75042512014995,0.6271891657693052,1.7727609593741784,0.445248648934097,38.56458941883848,34.6988972076324,71.81042871248096,0.01295023409562956,0.27749380761420483,0.43890791040865923,9.731634336545467,0.8609923816221682,0.7708379770083702,0.9156156488579305,0.2680156613706916,0.18369126067904304,1.4439010802977938,466,0.267532,0.180133,0.156358,2891,7.603015,9.2463435,0,0.896,1.0,4307.0,0.005219,367,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_coarse01/replicate_0.log,2026-08-26T09:16:42.014211+00:00
resnet_direct_coarse02,Step-R direct coarse rank 2,"resnet:direct:layer2:60,67,108,121","[60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,165.21911115799594,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.8575669168319429,0.7341188770572507,0.6105177562779731,1.7958820961623432,0.44327247962494315,38.916303728880266,34.964760576864194,72.92578214416035,0.013492112730889906,0.2934503951792385,0.4482774706739584,10.143614572750865,0.8446825616201038,0.7541537766514819,0.9126041073812755,0.2649401267720225,0.18438583364193697,1.4383011726778263,467,0.265428,0.182266,0.154967,2891,5.902008,7.158003,0,0.904,1.0,4822.0,0.006678,386,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_coarse02/replicate_0.log,2026-08-26T09:19:28.144381+00:00
resnet_direct_coarse03,Step-R direct coarse rank 3,"resnet:direct:layer2:41,60,67,95,108,121","[41, 60, 67, 95, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,165.82198844600498,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.9083592112172167,0.7685815411894495,0.6133004849808117,1.868688608684656,0.48414757166179667,38.55764360083475,34.90503887966894,68.65812747761365,0.01242890092823852,0.2712589988032106,0.4272651643768758,9.58618363462032,0.8854225749894133,0.7948624090182418,0.8825027772640476,0.27008797254523664,0.17778546563929598,1.412608817377335,469,0.269354,0.174085,0.154267,2891,9.288875,11.286871,0,0.906,1.0,3579.0,0.006106,402,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_direct_coarse03/replicate_0.log,2026-08-26T09:22:14.871691+00:00
resnet_c2f_a_fine01_coarse01,Step-R full-grid C2F-A; F1 × C1,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,108,121","[15, 20, 26, 34, 41, 60, 67, 108, 121]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,72.41212560600252,-15,1311868200.2734,1054,,,,2893,,,,,,,,,,,,,,,,,,,,,,,,1053,8.647072999999999,21.709784799999998,1,0.0,1.0,1156000000.0,6.616199,21,,,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-26T09:23:27.332633+00:00
resnet_c2f_a_fine01_coarse02,Step-R full-grid C2F-A; F1 × C2,"resnet:c2f:A:fine15,20,26,34:coarse60,67,108,121","[15, 20, 26, 34, 60, 67, 108, 121]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,72.65716239599715,-15,1311868200.2734,1054,,,,2893,,,,,,,,,,,,,,,,,,,,,,,,1053,8.6966135,21.7383264,1,0.0,1.0,1094000000.0,5.556972,19,,,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-26T09:24:40.027624+00:00
resnet_c2f_a_fine01_coarse03,Step-R full-grid C2F-A; F1 × C3,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,95,108,121","[15, 20, 26, 34, 41, 60, 67, 95, 108, 121]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,73.0691243839974,-15,1311868200.2734,1054,,,,2893,,,,,,,,,,,,,,,,,,,,,,,,1053,8.69249,21.58288849999999,1,0.0,1.0,154000000.0,1.619937,19,,,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-26T09:25:53.142832+00:00
resnet_c2f_a_fine01_coarse04,Step-R full-grid C2F-A; F1 × C4,"resnet:c2f:A:fine15,20,26,34:coarse67,108,121","[15, 20, 26, 34, 67, 108, 121]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,72.48604817799787,-15,1311868200.2734,1054,,,,2893,,,,,,,,,,,,,,,,,,,,,,,,1053,8.7034965,21.827390649999998,1,0.0,1.0,41430000.0,0.474772,19,,,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr2_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.log,2026-08-26T09:27:05.669760+00:00
