label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
resnet_direct_fine03,Step-R direct fine rank 3,"resnet:direct:conv1:15,20,26,34,45,53","[15, 20, 26, 34, 45, 53]",0,PASS,Completed the full matched RGB-D sequence,119.42656699700456,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.19080865643131478,0.1556842752838112,0.10368474050429052,0.42563760226554814,0.11031930836656839,5.1063445031830375,4.746808405792964,8.738650130031917,0.004583046627202693,0.025478452806641443,0.2311361414242759,0.9363619199626076,0.18624479578758962,0.15622546276658433,0.9802397892049034,0.1631464575322736,0.13799067342255156,0.9849938812806982,249,0.163146,0.137991,0.007132,2486,12.318728499999999,14.79695225,0,0.855,0.9935,8098.0,0.002719,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_fine03/replicate_0.log,2026-08-26T14:44:20.282997+00:00
resnet_direct_fine04,Step-R direct fine rank 4,"resnet:direct:conv1:33,52","[33, 52]",0,PASS,Completed the full matched RGB-D sequence,126.5275218209863,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.28783557400258275,0.22817171931347993,0.12269136444437029,0.6008023645461635,0.17546220153334105,7.8355070765527834,7.337556146852135,11.460056530346234,0.0049588924729380614,0.033311897736382504,0.24370922249868898,1.2643499038170722,0.2782290520802639,0.2304132944995703,0.9652349615413731,0.24343061786991804,0.2023489816487976,0.9726220327844641,250,0.243431,0.202349,0.008991,2486,2.038809,2.5823695,0,0.847,0.993,9447.0,0.00383,4,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_fine04/replicate_0.log,2026-08-26T14:46:27.528229+00:00
resnet_direct_fine05,Step-R direct fine rank 5,"resnet:direct:conv1:5,6,24,29","[5, 6, 24, 29]",0,PASS,Completed the full matched RGB-D sequence,125.84100921399659,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.22450806160061285,0.18649047911305472,0.14387695956101698,0.46734213574522987,0.12500068369352174,5.6469061116473815,5.385388999811611,8.964200326795238,0.0050312500180267426,0.02315182010293663,0.2555268937608089,1.087064756791966,0.2155136342447084,0.18343530201176578,0.9702954337051513,0.18965796457912854,0.16206177941119326,0.9768006568393782,252,0.189658,0.162062,0.007749,2486,6.969981499999999,8.322338,0,0.842,0.993,6044.0,0.003657,12,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_fine05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_fine05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_fine05/replicate_0.log,2026-08-26T14:48:34.095470+00:00
resnet_direct_coarse01,Step-R direct coarse rank 1,"resnet:direct:layer2:41,60,67,108,121","[41, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,137.11853962500754,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,1.0817334002822316,0.852899021258292,0.5047844775065666,2.601884191889402,0.6653648689424518,29.833213400291,27.401347867617414,47.342587773820576,0.009149706048465359,0.03462171701709639,0.3376442724463758,1.7292653100289703,0.9547301170954771,0.8372294231765018,0.7827576972588044,0.8333116128761622,0.7289739723365295,0.8302704531762434,226,0.833312,0.728974,0.032117,2486,8.298421999999999,9.616264000000001,0,0.842,0.995,2631.0,0.005858,223,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_coarse01/replicate_0.log,2026-08-26T14:50:51.942577+00:00
resnet_direct_coarse02,Step-R direct coarse rank 2,"resnet:direct:layer2:60,67,108,121","[60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,137.56715839500248,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,1.0754360224514992,0.8550646757986937,0.5121299840378851,2.544631341784632,0.6522476819334632,29.466727999473836,27.117019346234425,46.525575856435374,0.00939323949288839,0.03926096523012046,0.34724586765799664,1.4114526965903635,0.9510857186512617,0.8360873974602132,0.7851348912722471,0.838775740896056,0.7384568021017976,0.8297913461591915,231,0.838776,0.738457,0.031467,2486,6.31844,7.34915975,0,0.844,0.994,2833.0,0.005807,228,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_coarse02/replicate_0.log,2026-08-26T14:53:10.224901+00:00
resnet_direct_coarse03,Step-R direct coarse rank 3,"resnet:direct:layer2:41,60,67,95,108,121","[41, 60, 67, 95, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,137.15648338799656,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,1.0737531295590907,0.8527408367377685,0.5096610503682337,2.516227819824526,0.6525173167033289,29.089396062936284,26.798319412703677,45.92561533317592,0.008914686720848644,0.041564681220324085,0.3305112798294308,1.3401994420122625,0.9494851062928591,0.8327168491997358,0.7854036040505996,0.8387099968378472,0.7377108714163106,0.8275175171562362,229,0.83871,0.737711,0.031825,2486,10.24404,11.69492525,0,0.843,0.994,2511.0,0.006369,227,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_direct_coarse03/replicate_0.log,2026-08-26T14:55:28.103499+00:00
resnet_c2f_a_fine01_coarse01,Step-R full-grid C2F-A; F1 × C1,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,108,121","[15, 20, 26, 34, 41, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,152.5718002979993,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.2762419084172639,0.222558971904213,0.15126214070112234,0.631196151441477,0.16363708623338336,7.232325098467319,6.6702930384781105,12.442304302671637,0.00486836332758229,0.02600130526574898,0.23493236912702356,0.9307890397723134,0.266412563567785,0.22314799320591833,0.9655829214874421,0.23214041356264983,0.19586841358729043,0.9730599778424402,247,0.23214,0.195868,0.009031,2486,9.0941695,11.094138,0,0.855,0.993,13570.0,0.013626,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-26T14:58:01.388464+00:00
resnet_c2f_a_fine01_coarse02,Step-R full-grid C2F-A; F1 × C2,"resnet:c2f:A:fine15,20,26,34:coarse60,67,108,121","[15, 20, 26, 34, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,151.98026933100482,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.26980382754683285,0.21880514925578745,0.14881254204188082,0.60459191788195,0.15785566831151068,7.0884285576158845,6.580515084581779,11.8609829886954,0.004901968990528282,0.02756867554971677,0.2355307240700958,0.9825449083654324,0.2604358583517803,0.21932387301741216,0.9667589533213157,0.22844351750854752,0.19368254055776285,0.9741363332370632,247,0.228444,0.193683,0.008535,2486,9.104158,11.044868,0,0.855,0.994,13660.0,0.022126,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-26T15:00:34.093890+00:00
resnet_c2f_a_fine01_coarse03,Step-R full-grid C2F-A; F1 × C3,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,95,108,121","[15, 20, 26, 34, 41, 60, 67, 95, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,152.3374156130012,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.27918621189179155,0.22712064276201094,0.1574849182934574,0.6092094209434988,0.16236118545348016,7.295692732467118,6.788117267978798,11.741150517226833,0.004790584474720883,0.02244934784043493,0.23384046581974455,0.9400457307588179,0.26880832542833333,0.22717738160384296,0.9644965915874034,0.2366577966643553,0.20074405219471672,0.9723122773180027,246,0.236658,0.200744,0.008538,2486,9.101305499999999,11.0610365,0,0.855,0.993,13640.0,0.010228,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-26T15:03:07.152590+00:00
resnet_c2f_a_fine01_coarse04,Step-R full-grid C2F-A; F1 × C4,"resnet:c2f:A:fine15,20,26,34:coarse67,108,121","[15, 20, 26, 34, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,149.86526820001018,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.270815922466685,0.22022125296117007,0.14611026008415937,0.5856180746866684,0.15761936304177182,7.102901288380663,6.60798452670631,11.257859774326503,0.00490258808076807,0.025606800310481074,0.23645956586411532,0.9348038382287908,0.2612544123796806,0.22064736185290362,0.9663711931156429,0.230206955382792,0.19506318212896293,0.9738471460267112,246,0.230207,0.195063,0.008475,2486,9.097222,11.055446,0,0.855,0.993,13840.0,0.016556,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.log,2026-08-26T15:05:37.752634+00:00
