label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
resnet_direct_fine03,Step-R direct fine rank 3,"resnet:direct:conv1:15,20,26,34,45,53","[15, 20, 26, 34, 45, 53]",0,PASS,Completed the full matched RGB-D sequence,121.52005873400776,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.18496658656073273,0.15180727846766007,0.0980500160992056,0.4079475327098873,0.10567491825486003,5.090201164496851,4.732006651272383,8.803232409816196,0.004607240537233442,0.02449637589027084,0.23201696482090498,1.0298079643769351,0.1807570671055695,0.15234310206115995,0.9812940276621617,0.15825313467438037,0.1340510979357748,0.9863389007848651,251,0.158253,0.134051,0.00738,2486,11.8105265,14.5744105,0,0.855,0.994,8092.0,0.003358,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_fine03/replicate_0.log,2026-08-26T19:21:59.453025+00:00
resnet_direct_fine04,Step-R direct fine rank 4,"resnet:direct:conv1:33,52","[33, 52]",0,PASS,Completed the full matched RGB-D sequence,128.1703374439967,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.2821666708500192,0.22458588273506058,0.12232256066218801,0.5827250723535341,0.1708192360792445,7.8422419697007575,7.403829661406195,11.140826209339778,0.004995657500032327,0.03263831433816017,0.24469737822442242,1.2886883941566623,0.27330574027656496,0.2271477233547385,0.96687954868968,0.23959318668014332,0.1998519761103464,0.9741944588832219,251,0.239593,0.199852,0.009402,2486,2.1622615,2.86824775,0,0.847,0.993,9348.0,0.004515,12,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_fine04/replicate_0.log,2026-08-26T19:24:08.369654+00:00
resnet_direct_fine05,Step-R direct fine rank 5,"resnet:direct:conv1:5,6,24,29","[5, 6, 24, 29]",0,PASS,Completed the full matched RGB-D sequence,126.60389797198877,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.22713666257369178,0.18801425704609673,0.14228504014363336,0.4848595254125997,0.12744293873149418,5.723207104283901,5.4467096427464385,9.433465937544838,0.005066758756348539,0.02375143571277007,0.257392471141785,1.233638595005675,0.2182702767661471,0.18505030291979546,0.9703226649709467,0.19169233883889533,0.16333657850188157,0.9765258951550222,252,0.191692,0.163337,0.008209,2486,7.0052805,8.31802675,0,0.854,0.993,6638.0,0.003722,14,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_fine05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_fine05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_fine05/replicate_0.log,2026-08-26T19:26:15.690858+00:00
resnet_direct_coarse01,Step-R direct coarse rank 1,"resnet:direct:layer2:41,60,67,108,121","[41, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,137.09692912599712,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,1.0617977609731228,0.8387607586135594,0.4958361034569019,2.5094207245676032,0.6510720966356514,29.751948401946635,27.41136446855766,46.424681751858415,0.009154359366391729,0.032998850446311324,0.34245113947303946,1.906643459692602,0.9443312835228005,0.8274938626836144,0.7910515687285506,0.8305219636498387,0.7264132275188832,0.8330758402490515,225,0.830522,0.726413,0.03249,2486,8.305567499999999,9.573357000000001,0,0.842,0.994,3852.0,0.006505,222,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_coarse01/replicate_0.log,2026-08-26T19:28:33.513064+00:00
resnet_direct_coarse02,Step-R direct coarse rank 2,"resnet:direct:layer2:60,67,108,121","[60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,137.50806934900174,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,1.04423244096669,0.8246047914102071,0.48490330570650375,2.453261491484024,0.6406624140298699,28.271147841041543,25.976310729603693,44.82900897963199,0.009401589156779216,0.04360753038151821,0.3529653898001463,1.4490391341092375,0.9251193332537826,0.8079683036842774,0.792301656478977,0.8182501366376399,0.7160302970698229,0.8322648306335617,226,0.81825,0.71603,0.03181,2486,6.3471355,7.38445275,0,0.843,0.9935,4440.0,0.006818,223,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_coarse02/replicate_0.log,2026-08-26T19:30:51.736211+00:00
resnet_direct_coarse03,Step-R direct coarse rank 3,"resnet:direct:layer2:41,60,67,95,108,121","[41, 60, 67, 95, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,137.54283548500098,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,1.0797196314190325,0.8586935560494874,0.5236401390149881,2.5124595702613566,0.6545531752812275,30.004165351850016,27.70496978514979,46.275779592530704,0.009027460304354027,0.04160385820274612,0.33063850425995883,1.4143474189115108,0.9569713070766961,0.8406288604726666,0.7855241477801477,0.8510358132913204,0.7481979371162064,0.8264089207978643,228,0.851036,0.748198,0.032369,2486,10.214877000000001,11.640181250000001,0,0.844,0.995,3852.0,0.006731,225,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_direct_coarse03/replicate_0.log,2026-08-26T19:33:10.001455+00:00
resnet_c2f_a_fine01_coarse01,Step-R full-grid C2F-A; F1 × C1,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,108,121","[15, 20, 26, 34, 41, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,153.49319326000114,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.30009915300627743,0.24314829166313362,0.1607061650327699,0.6666924095915093,0.17589317751517483,7.883972602430575,7.2975597060457424,13.069370529821642,0.005039467674913959,0.02577360630784374,0.24032459246169008,1.3409499482396323,0.28863639736290064,0.24335503754849153,0.9613982179375594,0.25357428030830176,0.2151543150612153,0.9698590069877862,246,0.253574,0.215154,0.009112,2486,8.6170565,10.65515475,0,0.855,0.993,14640.0,0.029062,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-26T19:35:44.229979+00:00
resnet_c2f_a_fine01_coarse02,Step-R full-grid C2F-A; F1 × C2,"resnet:c2f:A:fine15,20,26,34:coarse60,67,108,121","[15, 20, 26, 34, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,152.52295080899785,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.2682419994250883,0.21834357863853038,0.14220168521616677,0.5856357196486938,0.15581993429240365,7.121000312208418,6.626466065780648,11.537770233860332,0.00491024430840077,0.022643529470884327,0.23767952800673406,0.9941020103928647,0.25922477775160224,0.21884991796488532,0.9674516977247549,0.22771140944131127,0.19338657546647325,0.9747727282308712,247,0.227711,0.193387,0.008696,2486,8.613098,10.6496465,0,0.855,0.993,14630.0,0.032026,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-26T19:38:17.492570+00:00
resnet_c2f_a_fine01_coarse03,Step-R full-grid C2F-A; F1 × C3,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,95,108,121","[15, 20, 26, 34, 41, 60, 67, 95, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,153.66303701201105,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.2879074499385412,0.234014001580142,0.15441006354887912,0.6185276094879549,0.1677144799788109,7.623462351204667,7.062654944541591,11.987311437003997,0.004895027891523733,0.021250543476209235,0.2384776682491522,1.3534004952541732,0.2770778398995162,0.2342157024610005,0.9632037464531842,0.244471084543072,0.20762403456225595,0.9711168148175705,246,0.244471,0.207624,0.008835,2486,8.614667,10.6222295,0,0.855,0.993,14640.0,0.0114,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-26T19:40:51.876265+00:00
resnet_c2f_a_fine01_coarse04,Step-R full-grid C2F-A; F1 × C4,"resnet:c2f:A:fine15,20,26,34:coarse67,108,121","[15, 20, 26, 34, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,151.21831588399073,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.2761321130321563,0.2249241769194561,0.14514809703828296,0.5996698915649809,0.16018133001292234,7.297354964436891,6.781070014717821,11.690198650958143,0.004880655198712891,0.02682484683932248,0.23461938518859807,0.9247242730902234,0.2664541347139425,0.2251679389443747,0.9658418511376156,0.2351257075850532,0.20008239371827116,0.973521382227776,246,0.235126,0.200082,0.008677,2486,8.608209500000001,10.5881475,0,0.845,0.993,14620.0,0.010132,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.log,2026-08-26T19:43:23.807085+00:00
