rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,resnet_c2f_b_fine01_coarse05,"resnet:c2f:B:fine15,20,26,34:coarse108,121",Step-R full-grid C2F-B; F1 × C5,0,0.9991961414790996,12.1362,14.221800000000002,0.7661,16.51170402586428,13.624117540700938,36.17644180413676,0.46739348149862003,2.402666662912048,0.23158507070013923,0.9457493499997872,13.652938623854666,0.983629876324262,12.1362207372938,0.9877572921210487
2,resnet_c2f_b_fine01_coarse03,"resnet:c2f:B:fine15,20,26,34:coarse41,60,67,95,108,121",Step-R full-grid C2F-B; F1 × C3,0,0.9991961414790996,12.2045,14.278099999999998,0.7682,16.564520593429542,13.682582235473461,36.38249796390142,0.46747843090286345,2.397015258822659,0.2315762960057564,0.9407892022474897,13.709902503000555,0.9835033732194439,12.204516732720567,0.987632031886421
3,resnet_c2f_b_fine01_coarse02,"resnet:c2f:B:fine15,20,26,34:coarse60,67,108,121",Step-R full-grid C2F-B; F1 × C2,0,0.9991961414790996,12.417,14.5432,0.7629,16.878210840703925,13.960195619531573,36.77456890941522,0.4679941391353636,2.42189435237356,0.23148624659827052,0.9712558927949089,13.990016096491892,0.9833011284186611,12.417008146721045,0.9875769596104376
4,resnet_c2f_b_fine02_coarse05,"resnet:c2f:B:fine23,24,26,51,63:coarse108,121",Step-R full-grid C2F-B; F2 × C5,0,0.9991961414790996,12.661800000000001,14.8322,0.7428,17.368142997535095,14.301870015825239,36.85821935361335,0.5310272792241534,2.7411210200824176,0.23581945524430314,0.9602501650730961,14.261397804517594,0.9791144723133779,12.661818201981506,0.9838256260574194
5,resnet_c2f_b_fine01_coarse01,"resnet:c2f:B:fine15,20,26,34:coarse41,60,67,108,121",Step-R full-grid C2F-B; F1 × C1,0,0.9991961414790996,12.745000000000001,14.9092,0.7707,17.261744513281556,14.285622547190261,37.67820264785764,0.4676697624405166,2.4103715299565387,0.2316444129617591,0.9508752029719881,14.323705915644686,0.9829887438375914,12.744983790419134,0.9873396993335304
6,resnet_c2f_b_fine02_coarse01,"resnet:c2f:B:fine23,24,26,51,63:coarse41,60,67,108,121",Step-R full-grid C2F-B; F2 × C1,0,0.9991961414790996,12.9011,15.0748,0.7363999999999999,17.688970242540307,14.626215722927864,38.03886655902443,0.5282282938220544,2.6826220070818163,0.2349428354324291,0.9579250221638889,14.564394606651573,0.978787414152336,12.901070761325794,0.9837613734469212
7,resnet_c2f_b_fine02_coarse03,"resnet:c2f:B:fine23,24,26,51,63:coarse41,60,67,95,108,121",Step-R full-grid C2F-B; F2 × C3,0,0.9991961414790996,13.131599999999999,15.3541,0.7232,18.004622050759256,14.89103929681528,38.26170483392653,0.5263226814483858,2.4598305700275023,0.23463636161036686,0.9540047034290938,14.813195216071398,0.9782024544512705,13.131628796664907,0.9832570128879781
8,resnet_c2f_b_fine02_coarse02,"resnet:c2f:B:fine23,24,26,51,63:coarse60,67,108,121",Step-R full-grid C2F-B; F2 × C2,0,0.9991961414790996,13.4,15.767800000000001,0.7534,18.4867723184554,15.15776342477573,39.51221898977264,0.5277373104349243,2.5948277511736264,0.23513044590020798,0.9911367974299553,15.12357965910242,0.977937186318291,13.399986210049553,0.9828229681028726
9,resnet_direct_fine03,"resnet:direct:conv1:15,20,26,34,45,53",Step-R direct fine rank 3,0,0.9991961414790996,13.405100000000001,15.8253,0.738,18.496658656073272,15.180727846766008,40.79475327098873,0.4607240537233442,2.449637589027084,0.23201696482090498,1.0298079643769351,15.234310206115994,0.9812940276621617,13.40510979357748,0.9863389007848651
10,resnet_c2f_b_fine03_coarse02,"resnet:c2f:B:fine15,20,26,34,45,53:coarse60,67,108,121",Step-R full-grid C2F-B; F3 × C2,0,0.9991961414790996,13.7223,16.1753,0.7426999999999999,18.93579476930783,15.527708443844087,41.95916359184703,0.4603990764079303,2.391224331898154,0.23202111033542808,0.9348648815723486,15.567209053620306,0.9803381984649454,13.722348575640158,0.9852392629448377
11,resnet_c2f_b_fine03_coarse04,"resnet:c2f:B:fine15,20,26,34,45,53:coarse67,108,121",Step-R full-grid C2F-B; F3 × C4,0,0.9991961414790996,13.8669,16.3603,0.7454,19.091839308783157,15.649093374622694,41.97852500148015,0.4599665409824572,2.3887879265098126,0.23214485269526522,1.02901742853684,15.697642357340701,0.980266001111648,13.86690847451816,0.9852905172015683
12,resnet_c2f_b_fine03_coarse01,"resnet:c2f:B:fine15,20,26,34,45,53:coarse41,60,67,108,121",Step-R full-grid C2F-B; F3 × C1,0,0.9991961414790996,13.928799999999999,16.4518,0.7457,19.200897432976653,15.720824690329238,41.83686420765165,0.4594049718448973,2.370983112285536,0.23181043560740394,1.0036606649872704,15.777961508349783,0.9801216116308553,13.92876164366577,0.9851562990023996
13,resnet_c2f_b_fine03_coarse05,"resnet:c2f:B:fine15,20,26,34,45,53:coarse108,121",Step-R full-grid C2F-B; F3 × C5,0,0.9991961414790996,13.9437,16.4458,0.7477,19.200902351045865,15.738920915829175,42.326092281017864,0.46101763899226306,2.3770156402010927,0.23208191745047893,0.9881241206360604,15.784686202127352,0.9800547233552165,13.943728164403263,0.9851616037551705
14,resnet_c2f_b_fine03_coarse03,"resnet:c2f:B:fine15,20,26,34,45,53:coarse41,60,67,95,108,121",Step-R full-grid C2F-B; F3 × C3,0,0.9991961414790996,13.9591,16.4351,0.742,19.165833518171116,15.728147247904806,42.530875950798844,0.45919823857363107,2.2296105341453027,0.23177913747373752,0.9457096704076309,15.778862150957071,0.9802456549898637,13.959073532256355,0.9853223387769242
