label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
resnet_direct_fine03,Step-R direct fine rank 3,"resnet:direct:conv1:15,20,26,34,45,53","[15, 20, 26, 34, 45, 53]",0,PASS,Completed the full matched RGB-D sequence,121.28140961000463,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.4153498126538836,0.35019252749422386,0.2580232524428326,0.8573469697588311,0.2233397872274966,11.212596249467369,10.144281002158067,18.09693542833332,0.012376932632829397,0.46979667125538016,0.3798975953183604,10.429688291419838,0.3926451246313887,0.34695654591668224,0.9374108970243595,0.3627237296457486,0.3159622493033452,0.9495875226456291,253,0.362724,0.315962,0.031122,2486,11.663790500000001,22.075442250000002,0,0.847,0.994,61000.0,0.007703,81,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_fine03/replicate_0.log,2026-08-26T17:14:47.328139+00:00
resnet_direct_fine04,Step-R direct fine rank 4,"resnet:direct:conv1:33,52","[33, 52]",0,PASS,Completed the full matched RGB-D sequence,129.0656843780016,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.505551617011765,0.4044147949521632,0.2161796985994171,1.2664048367927345,0.3033662985353022,13.310144580620738,11.877233617313605,22.279353349083078,0.009605905902839402,0.2872394819409867,0.3172174962216641,6.362294644705588,0.4733242022412788,0.3976132240133478,0.9188572850998773,0.40170915761037196,0.33932650079717036,0.9373219912434989,251,0.401709,0.339327,0.037354,2486,2.0206220000000004,3.0193814999999997,0,0.849,0.994,11930.0,0.010487,112,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_fine04/replicate_0.log,2026-08-26T17:16:57.119313+00:00
resnet_direct_fine05,Step-R direct fine rank 5,"resnet:direct:conv1:5,6,24,29","[5, 6, 24, 29]",0,PASS,Completed the full matched RGB-D sequence,127.52071503199113,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.44683866780766146,0.3762898773590044,0.2843295162199789,1.0090079107008538,0.24097867798888573,12.197519480867367,11.606760096983248,20.623259424724203,0.007014796476500128,0.11448579246988903,0.3547959550862237,8.869030883882576,0.4256891996137586,0.3711892145268085,0.9370439347266232,0.38462589911899164,0.3389420723441515,0.9512180577245644,247,0.384626,0.338942,0.02007,2486,6.924028,24.72731725,0,0.81,0.994,7127.0,0.005202,50,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_fine05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_fine05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_fine05/replicate_0.log,2026-08-26T17:19:05.363693+00:00
resnet_direct_coarse01,Step-R direct coarse rank 1,"resnet:direct:layer2:41,60,67,108,121","[41, 60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,137.58236471599957,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,1.201319953716392,0.954228760533693,0.5839492866098466,2.7812279107442097,0.7298062097348081,33.1381694638992,30.93642202591652,50.067714113935935,0.009675176159269955,0.043754627830458734,0.3460027969655613,1.516051461382394,1.042159160496398,0.924258565412857,0.7491069728542644,0.9296196436277052,0.8218480796135293,0.7958821043316711,226,0.92962,0.821848,0.038282,2486,8.241145,9.69809225,0,0.842,0.995,8108.0,0.007067,226,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_coarse01/replicate_0.log,2026-08-26T17:21:23.664139+00:00
resnet_direct_coarse02,Step-R direct coarse rank 2,"resnet:direct:layer2:60,67,108,121","[60, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,137.15447599800245,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,1.198489335952458,0.9624630764658105,0.6344203942062666,2.791657229665712,0.7141719084588327,32.63009695472,30.548754275238398,52.32579869548317,0.010025385422017028,0.055230065962826966,0.3597984943737769,2.287259204339483,1.0443395451093846,0.9292184529317341,0.7519948683386937,0.9402627072096447,0.8376166425525197,0.797469530761038,230,0.940263,0.837617,0.038216,2486,6.286034000000001,7.47859175,0,0.851,0.995,14430.0,0.00812,230,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_coarse02/replicate_0.log,2026-08-26T17:23:41.532812+00:00
resnet_direct_coarse03,Step-R direct coarse rank 3,"resnet:direct:layer2:41,60,67,95,108,121","[41, 60, 67, 95, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,136.907005518995,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,1.1470505066280832,0.9091472251332826,0.5586188065605544,2.6289864010306623,0.6994113151702612,30.928872540203805,28.76066257292949,46.235170791628086,0.009218586611429228,0.04142035122079409,0.3381666612671578,1.3467303257383618,0.9972963195991348,0.8789340086168654,0.761528952432175,0.8915959077848603,0.7855343051987953,0.8026622677415847,228,0.891596,0.785534,0.035327,2486,10.187871000000001,11.82711275,0,0.843,0.994,8177.0,0.007525,228,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_direct_coarse03/replicate_0.log,2026-08-26T17:25:59.163986+00:00
resnet_c2f_a_fine01_coarse01,Step-R full-grid C2F-A; F1 × C1,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,108,121","[15, 20, 26, 34, 41, 60, 67, 108, 121]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,8.076732279994758,-15,1341847982.295,45,,,,2488,,,,,,,,,,,,,,,,,,,,,,,,44,10.003988,10.5137188,1,0.0,1.0,249200.0,0.002899,0,,,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-26T17:26:07.283495+00:00
resnet_c2f_a_fine01_coarse02,Step-R full-grid C2F-A; F1 × C2,"resnet:c2f:A:fine15,20,26,34:coarse60,67,108,121","[15, 20, 26, 34, 60, 67, 108, 121]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,7.9326376789977076,-15,1341847982.295,45,,,,2488,,,,,,,,,,,,,,,,,,,,,,,,44,10.016821,10.522004299999999,1,0.0,1.0,266100.0,0.005831,0,,,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-26T17:26:15.248593+00:00
resnet_c2f_a_fine01_coarse03,Step-R full-grid C2F-A; F1 × C3,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,95,108,121","[15, 20, 26, 34, 41, 60, 67, 95, 108, 121]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,8.056142961999285,-15,1341847982.295,45,,,,2488,,,,,,,,,,,,,,,,,,,,,,,,44,10.010097,10.504051800000001,1,0.0,1.0,250900.0,0.004778,0,,,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-26T17:26:23.348216+00:00
resnet_c2f_a_fine01_coarse04,Step-R full-grid C2F-A; F1 × C4,"resnet:c2f:A:fine15,20,26,34:coarse67,108,121","[15, 20, 26, 34, 67, 108, 121]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,8.839511102996767,-15,1341847982.3307,46,,,,2488,,,,,,,,,,,,,,,,,,,,,,,,45,9.969034,10.52466625,1,0.0,1.0,3.993e+19,6914872.5,0,,,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/resnet/per_dataset/fr3_long_office_household_lightswitch/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.log,2026-08-26T17:26:32.218493+00:00
