standard_label,variant,fine_rank,coarse_rank,source,c2f_pass_count,comparable_pairs,beats_fine_count,beats_better_parent_count,median_percent_delta_vs_fine,median_percent_delta_vs_better_parent,c2f_nonpass_count,parent_nonpass_count
unet_c2f_a_fine04_coarse02,A,4,2,Step-R:new,9,9,8,8,-16.327608401456704,-13.7796328998769,0,0
unet_c2f_a_fine05_coarse04,A,5,4,Step-Q:unet_c2f_a_f5_c4_positive_synergy,9,9,8,8,-4.216989017957503,-4.216989017957503,0,0
unet_c2f_a_fine01_coarse02,A,1,2,Step-R:new,9,9,8,8,-4.020232478965027,-4.020232478965027,0,0
unet_c2f_b_fine05_coarse04,B,5,4,Step-R:new,9,9,8,8,-3.7060978237448845,-3.7060978237448845,0,0
unet_c2f_a_fine02_coarse04,A,2,4,Step-Q:unet_c2f_a_f2_c4_global_best,9,9,8,8,-2.330856697969028,-2.330856697969028,0,0
unet_c2f_a_fine04_coarse01,A,4,1,Step-R:new,9,9,7,7,-11.585594263391659,-11.585594263391659,0,0
unet_c2f_b_fine04_coarse01,B,4,1,Step-R:new,9,9,7,7,-4.7253350050936405,-4.7253350050936405,0,0
unet_c2f_a_fine01_coarse04,A,1,4,Step-Q:unet_c2f_a_f1_c4_negative_high_parent,9,9,7,7,-3.7320902565275853,-3.7320902565275853,0,0
unet_c2f_a_fine05_coarse02,A,5,2,Step-R:new,9,9,7,7,-3.7240941976767643,-3.7240941976767643,0,0
unet_c2f_b_fine01_coarse04,B,1,4,Step-R:new,9,9,7,7,-1.3062531602899037,-1.3062531602899037,0,0
unet_c2f_b_fine02_coarse04,B,2,4,Step-R:new,9,9,8,7,-2.773824419970755,-0.7450546590317517,0,0
unet_c2f_a_fine04_coarse04,A,4,4,Step-R:new,9,9,7,6,-17.134086633145923,-8.541520913220975,0,0
unet_c2f_b_fine04_coarse02,B,4,2,Step-R:new,9,9,7,6,-5.951467590258438,-5.38342163001017,0,0
unet_c2f_a_fine03_coarse02,A,3,2,Step-R:new,9,9,6,6,-4.231061565746127,-4.231061565746127,0,0
unet_c2f_b_fine01_coarse01,B,1,1,Step-R:new,9,9,6,6,-3.084494834268176,-3.084494834268176,0,0
unet_c2f_a_fine01_coarse01,A,1,1,Step-R:new,9,9,6,6,-2.862520366312705,-2.862520366312705,0,0
unet_c2f_a_fine03_coarse04,A,3,4,Step-R:new,9,9,6,6,-2.2640847130404365,-2.2640847130404365,0,0
unet_c2f_b_fine02_coarse01,B,2,1,Step-R:new,9,9,6,6,-2.140586451953412,-2.140586451953412,0,0
unet_c2f_a_fine02_coarse02,A,2,2,Step-R:new,9,9,6,6,-1.6743721104585856,-1.6743721104585856,0,0
unet_c2f_b_fine01_coarse02,B,1,2,Step-R:new,9,9,7,6,-1.974634612893905,-1.4214281701219103,0,0
unet_c2f_a_fine03_coarse01,A,3,1,Step-R:new,9,9,6,6,-0.8360780339498245,-0.8360780339498245,0,0
unet_c2f_b_fine05_coarse01,B,5,1,Step-R:new,9,9,6,6,-0.552684610626714,-0.552684610626714,0,0
unet_c2f_a_fine04_coarse03,A,4,3,Step-R:new,9,9,5,5,-10.50998020013913,-10.50998020013913,0,0
unet_c2f_b_fine04_coarse04,B,4,4,Step-R:new,9,9,7,5,-6.1970338983050794,-5.490447904960658,0,0
unet_c2f_a_fine05_coarse01,A,5,1,Step-R:new,9,9,6,5,-2.8834518785231693,-2.8834518785231693,0,0
unet_c2f_b_fine04_coarse03,B,4,3,Step-R:new,9,9,7,5,-4.322996918335902,-1.111379030667046,0,0
unet_c2f_b_fine03_coarse04,B,3,4,Step-R:new,9,9,6,5,-1.2402737962908856,-0.9852771443853193,0,0
unet_c2f_b_fine03_coarse01,B,3,1,Step-R:new,9,9,5,5,-0.8980097401683366,-0.8980097401683366,0,0
unet_c2f_b_fine03_coarse02,B,3,2,Step-R:new,9,9,6,5,-0.8153232538725647,-0.8073480372082029,0,0
unet_c2f_b_fine05_coarse02,B,5,2,Step-R:new,9,9,5,5,-0.6975470556019946,-0.6975470556019946,0,0
unet_c2f_b_fine01_coarse03,B,1,3,Step-R:new,9,9,5,5,-0.28372380470811714,-0.28372380470811714,0,0
unet_c2f_b_fine02_coarse03,B,2,3,Step-R:new,9,9,5,5,-0.1767071341923313,-0.1767071341923313,0,0
unet_c2f_b_fine02_coarse02,B,2,2,Step-Q:unet_c2f_b_f2_c2_variant_contrast,9,9,5,4,-2.4625380866790314,0.006507027589810713,0,0
unet_c2f_b_fine05_coarse03,B,5,3,Step-R:new,9,9,4,4,0.43296953251262105,0.43296953251262105,0,0
unet_c2f_b_fine03_coarse03,B,3,3,Step-R:new,9,9,3,3,0.40348761710414704,0.40348761710414704,0,0
unet_c2f_a_fine05_coarse03,A,5,3,Step-R:new,9,9,3,3,0.5341911873210493,0.5341911873210493,0,0
unet_c2f_a_fine02_coarse01,A,2,1,Step-R:new,9,9,3,3,0.7793993102009406,0.7793993102009406,0,0
unet_c2f_a_fine03_coarse03,A,3,3,Step-R:new,9,9,3,3,0.9272801731702989,0.9272801731702989,0,0
unet_c2f_a_fine01_coarse03,A,1,3,Step-R:new,9,9,2,2,3.46481202276155,3.46481202276155,0,0
unet_c2f_a_fine02_coarse03,A,2,3,Step-R:new,9,9,2,2,4.665349256809011,4.665349256809011,0,0
