label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
unet_direct_fine03,Step-R direct fine rank 3,"unet:direct:enc0:2,3,12,14","[2, 3, 12, 14]",0,PASS,Completed the full matched RGB-D sequence,44.31302282500019,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.09769740449910563,0.0922794493549662,0.09692403549525183,0.16096075195440576,0.03208248856628944,7.015171680377391,6.836629137529387,10.132310919205288,0.008026417193045624,0.036996845197280914,0.4963952302034475,2.0459814127000766,0.07724455281435633,0.06923758475859605,1.0740923065724752,0.0684183107267516,0.05972408714713975,1.078299345422173,429,0.068444,0.059763,0.009435,571,5.928991,6.9408625,0,0.867,0.993,18890.0,0.004536,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_direct_fine03/replicate_0.log,2026-08-25T16:38:57.528103+00:00
unet_direct_fine04,Step-R direct fine rank 4,"unet:direct:enc0:2,4,6","[2, 4, 6]",0,PASS,Completed the full matched RGB-D sequence,45.54276381299951,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11724358985072617,0.11018874420070283,0.11340416159844248,0.1919518083633983,0.04005621066148641,7.676171632913599,7.221989513575086,11.967765893306298,0.011659492367390296,0.19444801430692985,0.5242631015119122,2.400093230854278,0.09753163450194938,0.0877699131848564,1.081329668316236,0.10063765537983703,0.0910566611655933,1.0816720327715945,433,0.100487,0.090889,0.014018,571,7.446424,10.5663475,0,0.89,0.992,15370.0,0.002327,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_direct_fine04/replicate_0.log,2026-08-25T16:39:43.689060+00:00
unet_direct_coarse01,Step-R direct coarse rank 1,"unet:direct:enc1:5,6,17,18,28,30","[5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,51.2914920180001,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.13704330008798693,0.1303209042489102,0.13947173247360792,0.24467702897953658,0.04239490552828737,7.726486764291519,7.331997773231312,11.69349149718104,0.009701357235032484,0.11509225686448453,0.6963539501602034,9.358395200128628,0.11368483592984871,0.10611408660549146,1.0972907465257733,0.10788037961739255,0.10062143549556171,1.1048398350030757,428,0.107846,0.100602,0.011836,571,24.794834,37.4253655,0,0.893,0.992,38350.0,0.015722,21,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_direct_coarse01/replicate_0.log,2026-08-25T16:40:35.608067+00:00
unet_direct_coarse03,Step-R direct coarse rank 3,"unet:direct:enc1:0,5,18,30","[0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.59671128699938,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.16621217532640564,0.1604995428321054,0.14568628746476514,0.27214299825906957,0.04320166637319646,10.039489070528912,9.627411937784094,13.944978011855763,0.008725664998669091,0.04723163025681602,0.7167835260438263,8.592333985778081,0.15309507106198028,0.14032460323115184,1.0816838611462605,0.15247431849729895,0.14005075479240414,1.0817782153054403,428,0.152347,0.139928,0.010092,571,7.914814,10.574983,0,0.906,0.993,63160.0,0.008735,40,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_direct_coarse03/replicate_0.log,2026-08-25T16:41:24.842161+00:00
unet_c2f_a_fine01_coarse01,Step-R full-grid C2F-A; F1 × C1,"unet:c2f:A:fine2,3,7,12,13,14:coarse5,6,17,18,28,30","[2, 3, 7, 12, 13, 14, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,49.69681425900035,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.12059982178118848,0.11497047417025366,0.11420036684871668,0.23119456083101875,0.036415753221943174,7.038456025200757,6.791503536341443,10.592911083603259,0.009399231599277334,0.0842324648622355,0.6972981008067929,9.724382054299083,0.1039996133734164,0.09556647019182114,1.0760136070742035,0.10074226832665123,0.09289372116829041,1.0813560764366354,427,0.100738,0.092907,0.011233,571,8.950941,10.4943945,0,0.874,0.993,87110.0,0.004521,16,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-25T16:42:15.179614+00:00
unet_c2f_a_fine01_coarse02,Step-R full-grid C2F-A; F1 × C2,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,17,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.302522804000546,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11056730525166678,0.10458287197509057,0.10733928598678255,0.20227201411297077,0.03588247315970676,7.242435834812523,6.9032524948751925,10.916989052690274,0.009001252276022088,0.08679539159448826,0.6969003681443651,9.648476355176978,0.09023021974308738,0.08371831376472154,1.0796811477685675,0.08762778574533282,0.08150009084418365,1.0837172438250013,427,0.087582,0.081456,0.010757,571,8.949605,10.488733,0,0.895,0.993,90320.0,0.004638,16,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-25T16:43:04.118321+00:00
unet_c2f_a_fine01_coarse03,Step-R full-grid C2F-A; F1 × C3,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.024365442999624,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.12168950164333237,0.11754641990793778,0.10942339432548437,0.2014762444820924,0.03148291563736372,8.1957646444154,7.743438711220273,12.196081827347301,0.008444311897581849,0.046759960067597056,0.6803366717331387,8.7391768671832,0.10477759599102615,0.09561896555268952,1.0771306340314108,0.10543785459891274,0.09621629613351863,1.0778239621597043,427,0.105308,0.096066,0.009899,571,8.952751,10.4358815,0,0.896,0.993,79630.0,0.004941,16,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-25T16:43:52.770556+00:00
unet_c2f_a_fine02_coarse01,Step-R full-grid C2F-A; F2 × C1,"unet:c2f:A:fine3,7,12:coarse5,6,17,18,28,30","[3, 7, 12, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,49.061341712000285,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11145006521982778,0.10503256276809439,0.10563519766943928,0.21027804827836177,0.037273016994471705,7.300987991495822,6.987210509155188,11.140169969494622,0.009019729191710133,0.08343164325788842,0.6976016676477516,9.746750064996167,0.09198663333980142,0.0843223380990193,1.0783839246249285,0.08948598991699622,0.0821729908000685,1.082309536144649,427,0.089425,0.082108,0.010763,571,4.531874,5.2658605000000005,0,0.895,0.992,56500.0,0.006359,16,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.log,2026-08-25T16:44:42.470596+00:00
unet_c2f_a_fine02_coarse02,Step-R full-grid C2F-A; F2 × C2,"unet:c2f:A:fine3,7,12:coarse0,5,6,17,18,30","[3, 7, 12, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.14576894400034,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10905444703170354,0.10391761101308869,0.10452319572854533,0.20695879679474022,0.0330757091945588,7.274473059335541,6.952189358228177,11.06026162684767,0.009061178829437138,0.08155055079806894,0.7033471545091724,9.730767590011109,0.09093687929851671,0.08348336037845774,1.0747177079652015,0.08742940756631397,0.08067757836107636,1.0788211240529582,428,0.087404,0.080658,0.010792,571,4.532936,5.2703145,0,0.884,0.992,60170.0,0.006997,16,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.log,2026-08-25T16:45:31.269004+00:00
unet_c2f_a_fine02_coarse03,Step-R full-grid C2F-A; F2 × C3,"unet:c2f:A:fine3,7,12:coarse0,5,18,30","[3, 7, 12, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,47.5650895280005,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11223356182519197,0.10797776506852928,0.10159609916391514,0.18548538528208008,0.03061330839315943,7.761247883033093,7.299730789090306,12.00197213743987,0.00862616796558389,0.05815917326680464,0.685159353767099,9.051552064133158,0.0945230084709031,0.08577345871789055,1.075178311763461,0.09405275783968509,0.08542254496922878,1.0764453811717798,428,0.093928,0.085274,0.010162,571,4.533926,5.2543489999999995,0,0.896,0.993,54110.0,0.00861,16,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.log,2026-08-25T16:46:19.483071+00:00
unet_c2f_a_fine03_coarse01,Step-R full-grid C2F-A; F3 × C1,"unet:c2f:A:fine2,3,12,14:coarse5,6,17,18,28,30","[2, 3, 12, 14, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,49.166126563000034,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10639068205271501,0.10265099758778526,0.10451618468658404,0.17097238092674535,0.027959791162925424,7.225824658626003,6.773081845766351,11.268493072722563,0.009766947284536823,0.09837922091345475,0.6931535318635985,9.538094819233272,0.08351697231916047,0.07877433161320296,1.0823177097076255,0.08202703247832731,0.0776647338920663,1.0851802384812141,427,0.081925,0.077558,0.01175,571,5.936274,6.9492025,0,0.895,0.993,37160.0,0.004436,16,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.log,2026-08-25T16:47:09.285489+00:00
unet_c2f_a_fine03_coarse02,Step-R full-grid C2F-A; F3 × C2,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,17,18,30","[2, 3, 12, 14, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.328732937000495,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10487506747812647,0.09946133375812435,0.10623970907132566,0.18290294572415408,0.033259928827292645,7.319771907305591,6.896242550066911,11.27072952684787,0.009054719750837513,0.0879617895173139,0.69965106721842,9.520035482849314,0.08279454376015463,0.07705670401485457,1.0802390485348108,0.07943417182005197,0.07406514161499454,1.0837493779219483,427,0.079378,0.07401,0.010835,571,5.934792,6.950125,0,0.896,0.993,47350.0,0.006368,16,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.log,2026-08-25T16:47:58.252580+00:00
unet_c2f_a_fine03_coarse03,Step-R full-grid C2F-A; F3 × C3,"unet:c2f:A:fine2,3,12,14:coarse0,5,18,30","[2, 3, 12, 14, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,47.41209437900034,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.12358142997383671,0.1186796319506426,0.10929442252245271,0.21302401499780602,0.034460336539829606,8.67492946833939,8.10743843454228,13.14059223747148,0.009723818641878648,0.11122797553686334,0.7034459052488705,8.794179810217292,0.10985094864054334,0.09937960490530809,1.0701529202120745,0.11162710682323748,0.10064535662482182,1.0688443087705664,428,0.111463,0.100466,0.011359,571,5.936753,6.936367000000001,0,0.896,0.993,35350.0,0.0069,14,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.log,2026-08-25T16:48:46.301502+00:00
unet_c2f_a_fine03_coarse04,Step-R full-grid C2F-A; F3 × C4,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,18,30","[2, 3, 12, 14, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.09725389899995,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10481577883810704,0.09934359091833557,0.10508590087689816,0.17976573669412504,0.03342451849899057,7.355881467445573,6.923539783803963,11.340530586893951,0.008825742941868924,0.07813258392293188,0.6986551425682558,9.540174836019041,0.08227046429341563,0.07639016104071271,1.0810058426007112,0.0794564935574176,0.07386366693540766,1.0840721952507282,428,0.079383,0.073787,0.01052,571,5.934468,6.9481435000000005,0,0.895,0.993,45340.0,0.005182,15,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.log,2026-08-25T16:49:35.037237+00:00
