rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,unet_direct_fine03,"unet:direct:enc0:2,3,12,14",Step-R direct fine rank 3,0,0.9965095986038395,5.976299999999999,6.8444,0.9435000000000001,9.769740449910563,9.22794493549662,16.096075195440577,0.8026417193045624,3.699684519728091,0.4963952302034475,2.0459814127000766,6.923758475859605,1.0740923065724752,5.972408714713975,1.078299345422173
2,unet_c2f_b_fine01_coarse01,"unet:c2f:B:fine2,3,7,12,13,14:coarse5,6,17,18,28,30",Step-R full-grid C2F-B; F1 × C1,0,0.9965095986038395,7.1834999999999996,7.702299999999999,1.2598,10.269325255094747,9.761350034413162,17.02265629525475,1.0418143707618472,13.076755225180381,0.6939149208483086,9.008726313807067,7.568835831109823,1.0781897787319954,7.18517117216564,1.0819905315835259
3,unet_c2f_a_fine03_coarse04,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,18,30",Step-R full-grid C2F-A; F3 × C4,0,0.9965095986038395,7.3787,7.9383,1.052,10.481577883810704,9.934359091833556,17.976573669412506,0.8825742941868924,7.8132583922931875,0.6986551425682558,9.540174836019041,7.6390161040712705,1.0810058426007112,7.386366693540766,1.0840721952507282
4,unet_c2f_a_fine03_coarse02,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F3 × C2,0,0.9965095986038395,7.401000000000001,7.9378,1.0835,10.487506747812647,9.946133375812435,18.29029457241541,0.9054719750837513,8.79617895173139,0.69965106721842,9.520035482849314,7.705670401485457,1.0802390485348108,7.406514161499454,1.0837493779219483
5,unet_c2f_b_fine01_coarse04,"unet:c2f:B:fine2,3,7,12,13,14:coarse0,5,6,18,30",Step-R full-grid C2F-B; F1 × C4,0,0.9965095986038395,7.5091,8.049299999999999,1.0841,10.502804656249815,9.985266518311702,17.50616385191803,0.9066043785987762,8.884322785965432,0.7198885310811864,10.153721204357895,7.742672881468854,1.0799212025754008,7.516918334064431,1.082810296950486
6,unet_c2f_a_fine04_coarse04,"unet:c2f:A:fine2,4,6:coarse0,5,6,18,30",Step-R full-grid C2F-A; F4 × C4,0,0.9965095986038395,7.531599999999999,8.1355,1.0485,10.507553785811096,9.977527886035793,18.775417662031174,0.8809473358683089,6.91984486662722,0.7000504130541856,9.544674590680014,7.770533480057765,1.0787424437064277,7.539324515614155,1.0822816924906908
7,unet_c2f_b_fine02_coarse04,"unet:c2f:B:fine3,7,12:coarse0,5,6,18,30",Step-R full-grid C2F-B; F2 × C4,0,0.9965095986038395,7.571400000000001,8.1702,1.1689,10.42851303998408,9.940507551548167,18.51616995445019,0.9742261449473634,12.171055316753238,0.717643465624896,10.163220640511323,7.845376023443368,1.0750243609757666,7.576849058210729,1.0782835038561556
8,unet_c2f_b_fine01_coarse02,"unet:c2f:B:fine2,3,7,12,13,14:coarse0,5,6,17,18,30",Step-R full-grid C2F-B; F1 × C2,0,0.9965095986038395,7.5882000000000005,8.086599999999999,1.1113,10.616116235747054,10.064864281092966,18.154682281910823,0.9250004460230505,10.1875411092991,0.7047839107341685,9.828613615610749,7.892608250045052,1.080516634125231,7.592496805139244,1.0842287173359992
9,unet_c2f_a_fine04_coarse02,"unet:c2f:A:fine2,4,6:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F4 × C2,0,0.9965095986038395,7.604900000000001,8.2272,1.0944,10.550781314082538,10.014550401033043,19.66048059193385,0.917948935885567,9.035646888525136,0.6913072357938416,9.35029611124777,7.893767125851447,1.0770043490386048,7.609803602840291,1.0815880866894503
10,unet_c2f_a_fine03_coarse01,"unet:c2f:A:fine2,3,12,14:coarse5,6,17,18,28,30",Step-R full-grid C2F-A; F3 × C1,0,0.9965095986038395,7.7558,8.192499999999999,1.175,10.639068205271501,10.265099758778526,17.097238092674534,0.9766947284536822,9.837922091345474,0.6931535318635985,9.538094819233272,7.877433161320297,1.0823177097076255,7.766473389206629,1.0851802384812141
