label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
unet_direct_fine03,Step-R direct fine rank 3,"unet:direct:enc0:2,3,12,14","[2, 3, 12, 14]",0,PASS,Completed the full matched RGB-D sequence,154.28913555000054,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.29679378026616016,0.23694133308787005,0.20618042175045706,0.6101243401544398,0.17873262902788833,11.388798618823554,10.890228722665187,16.282547029376587,0.0045839464441887745,0.09432959807174127,0.27974403420222566,2.5242745072380037,0.28064871035192057,0.24348646190245793,0.9474146812644446,0.05909774870696336,0.03638406960339476,1.0277320243141752,469,0.057912,0.034186,0.035471,2891,5.026674,5.8997455,0,0.906,1.0,11150.0,0.005178,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_direct_fine03/replicate_0.log,2026-08-25T17:13:04.662302+00:00
unet_direct_fine04,Step-R direct fine rank 4,"unet:direct:enc0:2,4,6","[2, 4, 6]",0,PASS,Completed the full matched RGB-D sequence,154.54085472400038,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.255012646286206,0.2028051702281062,0.1712364769609774,0.4902577286008665,0.1546011406641053,9.87635719083822,9.466523044903035,13.909069833409966,0.0041070778701781125,0.09182175349360584,0.2791717435653399,2.248690967913456,0.2407123106871877,0.20831742968474487,0.9539853264703644,0.05580914448190415,0.039247211561241516,1.0246564406142729,469,0.055547,0.038283,0.031232,2891,5.941306,7.269234,0,0.902,1.0,9733.0,0.006475,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_direct_fine04/replicate_0.log,2026-08-25T17:15:40.116668+00:00
unet_direct_coarse01,Step-R direct coarse rank 1,"unet:direct:enc1:5,6,17,18,28,30","[5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,181.97011121099968,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.4666854826010144,0.3870289109175772,0.324011442666203,0.9814767373233542,0.2607756924724692,17.213062949629645,16.12957367832735,25.555495653764876,0.007145349009792323,0.21358803770544682,0.2842442391487286,2.503272471045769,0.4476124470094778,0.39476363645378204,0.9280885031231285,0.08902164155228731,0.05098128479574488,1.0836626238979963,470,0.088305,0.048043,0.065774,2891,16.8759,24.3441115,0,0.906,1.0,6410.0,0.007738,34,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_direct_coarse01/replicate_0.log,2026-08-25T17:18:43.004163+00:00
unet_direct_coarse03,Step-R direct coarse rank 3,"unet:direct:enc1:0,5,18,30","[0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,172.81320737899932,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.47251341866640645,0.382059225360578,0.2946344881954049,1.0419006070104222,0.2780281984560015,17.720296636500038,16.529704369445227,28.746602101792195,0.006797170117221864,0.17558426149908804,0.28973277131535086,3.283898881969233,0.4536098447874415,0.3947260831897801,0.9278950898263615,0.1013206332975146,0.06400756030717603,1.0940201011167512,471,0.099927,0.06023,0.065039,2891,6.456114,7.718797,0,0.9,1.0,9493.0,0.010201,58,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_direct_coarse03/replicate_0.log,2026-08-25T17:21:36.732394+00:00
unet_c2f_a_fine01_coarse01,Step-R full-grid C2F-A; F1 × C1,"unet:c2f:A:fine2,3,7,12,13,14:coarse5,6,17,18,28,30","[2, 3, 7, 12, 13, 14, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,175.92908054300005,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.3017293711420597,0.24278312648997513,0.22093473630605803,0.6242294378779796,0.1791562639193382,11.332386912497148,10.851401279108092,16.133599927495418,0.00470889800701597,0.09997371904512584,0.2793944565359357,2.186601281258267,0.28448883417714504,0.24809210347921873,0.9453484115564594,0.05914940509972065,0.03697500763895026,1.0297172564779085,469,0.058125,0.035007,0.035711,2891,7.372755,8.665298,0,0.906,1.0,14360.0,0.013993,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-25T17:24:33.586677+00:00
unet_c2f_a_fine01_coarse02,Step-R full-grid C2F-A; F1 × C2,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,17,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,169.40408444700006,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.2885425339632822,0.23178889286303062,0.2136726822160099,0.5976854302635873,0.17184499716687238,10.892423031045643,10.434085078313197,15.420457644960829,0.0044589777107727074,0.09265187338333654,0.27621749555615843,2.122664848998377,0.2717163925327327,0.2369548685284381,0.9471780297265346,0.05598147719380274,0.03563731965699382,1.0260099831845013,469,0.054879,0.033678,0.032918,2891,7.375007,8.534536,0,0.906,1.0,14360.0,0.013439,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-25T17:27:23.924090+00:00
unet_c2f_a_fine01_coarse03,Step-R full-grid C2F-A; F1 × C3,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,169.06364751799993,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.3008450936432975,0.24011618637573046,0.21137017734202543,0.626711881939311,0.18125117216067854,11.386604987003793,10.8665054632283,16.351565688388433,0.0046475142854329405,0.09365834359855926,0.2789531325425332,2.2696109817912564,0.2840693918041604,0.2467974117427218,0.946108977568159,0.059712505169338397,0.03732417377470463,1.0297221530648795,469,0.058457,0.034994,0.035421,2891,7.374237,8.654459500000002,0,0.906,1.0,14380.0,0.015403,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-25T17:30:13.908589+00:00
unet_c2f_a_fine02_coarse01,Step-R full-grid C2F-A; F2 × C1,"unet:c2f:A:fine3,7,12:coarse5,6,17,18,28,30","[3, 7, 12, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,175.11616026800039,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.28985464092789254,0.23145087213895343,0.2020353032098724,0.6035884884241594,0.17448841409547894,10.900696322200686,10.470743704498805,15.479875734872286,0.004677325282165288,0.08987955057695322,0.2799075632648359,2.022663045607115,0.2727016884599228,0.23683962346415446,0.9465869107940316,0.05554590209216482,0.033077810183598184,1.0237886165732297,469,0.054551,0.030978,0.033636,2891,3.522907,4.205683,0,0.906,1.0,14940.0,0.010687,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.log,2026-08-25T17:33:09.943152+00:00
unet_c2f_a_fine02_coarse02,Step-R full-grid C2F-A; F2 × C2,"unet:c2f:A:fine3,7,12:coarse0,5,6,17,18,30","[3, 7, 12, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,170.3590214730002,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.26852425678284314,0.21300309139386306,0.19319059039701894,0.564353958605337,0.1635082858372502,10.16594241663778,9.788053667864773,14.666512530213483,0.004209504205745348,0.07252742118752324,0.27654920013813855,2.0065789165348797,0.2512176514434193,0.21750948874228912,0.9484257527763552,0.05257825327420757,0.032877409311133324,1.0222748511911757,470,0.051527,0.030942,0.02938,2891,3.527671,4.215374499999999,0,0.906,1.0,15170.0,0.010903,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.log,2026-08-25T17:36:01.217800+00:00
unet_c2f_a_fine02_coarse03,Step-R full-grid C2F-A; F2 × C3,"unet:c2f:A:fine3,7,12:coarse0,5,18,30","[3, 7, 12, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,170.2064382819999,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.30034677226219747,0.23930844163109372,0.20831230715497462,0.6295505430850628,0.18149284661500506,11.253568208590378,10.778249340721526,15.967531234809949,0.004600784072618326,0.0938907741780419,0.2769961990591227,2.1325442677909323,0.2832770942920674,0.245723964449414,0.9457249205215827,0.05770573987147244,0.03421286481079791,1.0250124691436866,469,0.056684,0.031978,0.035291,2891,3.525018,4.215954,0,0.906,1.0,15010.0,0.012535,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.log,2026-08-25T17:38:52.345107+00:00
unet_c2f_a_fine03_coarse01,Step-R full-grid C2F-A; F3 × C1,"unet:c2f:A:fine2,3,12,14:coarse5,6,17,18,28,30","[2, 3, 12, 14, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,176.51863670399962,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.31484360992110627,0.2551179228020213,0.2251617449885019,0.6468698950882886,0.184502965215564,11.977991062513025,11.4623691024764,16.79002426924999,0.004869739703477012,0.10804707593227626,0.2797494894495225,2.330956408326185,0.2984584165657536,0.26079304122678965,0.945426459054282,0.06078848022631902,0.03622938814198723,1.028934558159243,469,0.059698,0.033935,0.038414,2891,5.030774,5.888617999999999,0,0.906,1.0,11090.0,0.010725,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.log,2026-08-25T17:41:49.779368+00:00
unet_c2f_a_fine03_coarse02,Step-R full-grid C2F-A; F3 × C2,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,17,18,30","[2, 3, 12, 14, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,173.45203389800008,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.29597754336998977,0.2381757491018893,0.2160868736289336,0.6158485802637572,0.1757128871741855,11.326623144345083,10.847744229667452,16.22578450059512,0.004570227667611971,0.09692063175452062,0.27692233179028797,2.3187541437021633,0.27933179552129134,0.24367066688576489,0.9467482324279042,0.05769082694993096,0.03560359671955615,1.0278229278998612,469,0.056489,0.033337,0.034682,2891,5.02878,5.916024999999999,0,0.906,1.0,11120.0,0.010263,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.log,2026-08-25T17:44:44.145739+00:00
unet_c2f_a_fine03_coarse03,Step-R full-grid C2F-A; F3 × C3,"unet:c2f:A:fine2,3,12,14:coarse0,5,18,30","[2, 3, 12, 14, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,169.16121006200046,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.31984577801948394,0.2581967045576431,0.22675367291407822,0.6620443581876149,0.18877442483679338,12.205753122980694,11.651756322536441,17.27407357461973,0.004883097196361009,0.10901031135400993,0.27830600160152374,2.418081278431829,0.30373343310573586,0.2649696013853279,0.9454037585583153,0.061856349121512194,0.036937291332134185,1.0306052087741004,469,0.060716,0.034503,0.038735,2891,5.027864,5.874194,0,0.906,1.0,11150.0,0.01028,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.log,2026-08-25T17:47:34.252414+00:00
unet_c2f_a_fine03_coarse04,Step-R full-grid C2F-A; F3 × C4,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,18,30","[2, 3, 12, 14, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,169.74770181500026,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.30662843173622645,0.24809395434350662,0.2246361397671857,0.6371938407126527,0.18019540773066264,11.80365931802318,11.307542282808715,16.564494483302784,0.004833841147948885,0.10789906370988094,0.2786645885920706,2.386230642091737,0.29031290126357684,0.2538750597807466,0.9462687096952849,0.058929117046996,0.035692573873994375,1.0274870482411236,469,0.057806,0.033412,0.036516,2891,5.032629,5.9034949999999995,0,0.906,1.0,11130.0,0.010887,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_clean/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.log,2026-08-25T17:50:24.916739+00:00
