rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,unet_c2f_a_fine02_coarse02,"unet:c2f:A:fine3,7,12:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F2 × C2,0,0.9993086761147598,3.8583,6.7412,4.186,35.45094500608592,29.39427378685757,74.70092547340292,0.5553484352435124,13.557163906510352,0.2776330349640767,2.191451633706534,29.93304173869572,0.9427642766565582,4.0966001860815435,1.0425567460060199
2,unet_c2f_a_fine04_coarse04,"unet:c2f:A:fine2,4,6:coarse0,5,6,18,30",Step-R full-grid C2F-A; F4 × C4,0,0.9993086761147598,3.9172,6.6808000000000005,4.5449,35.38045821531983,29.2612548711689,73.36907500549862,0.5826212835159462,15.430580091869125,0.2836888102974469,2.546564373581889,29.910738914555797,0.944383961987975,4.107107038644765,1.0425572179102067
3,unet_c2f_a_fine05_coarse02,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F5 × C2,0,0.9993086761147598,3.9565,6.4832,3.8732,32.290286192263,25.99736367994953,68.134111959082,0.49911639913164296,10.609256858403867,0.28074409437294257,2.403742814630395,26.72464165119543,0.9437356319648018,4.197855631809174,1.0425722196171818
4,unet_c2f_a_fine04_coarse02,"unet:c2f:A:fine2,4,6:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F4 × C2,0,0.9993086761147598,3.9895,6.6784,4.289,34.63338601020432,28.480927835485616,71.54355009455296,0.5475478593702624,14.098265816121508,0.280711866676302,2.24703113635353,29.043162987815062,0.9433749472308938,4.177715370903185,1.043838558027119
5,unet_c2f_a_fine03_coarse04,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,18,30",Step-R full-grid C2F-A; F3 × C4,0,0.9993086761147598,4.0706,7.4071,5.0913,42.92461465329601,38.325666937955106,85.00347180193071,0.7905253762559492,22.120476163039466,0.29323467617185817,3.0017334156363544,38.72914507415158,0.949062193964244,4.330959523560633,1.0429571977754608
6,unet_c2f_a_fine03_coarse02,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F3 × C2,0,0.9993086761147598,4.1012,6.9191,4.1977,34.66671294179295,28.14723328798409,73.33354351265918,0.5189319785181626,11.512414895138432,0.2811731269990568,2.6940107988697366,28.917530902594667,0.942543714982601,4.360979164742523,1.0461170976361094
7,unet_c2f_a_fine05_coarse01,"unet:c2f:A:fine2,3,7,12,13:coarse5,6,17,18,28,30",Step-R full-grid C2F-A; F5 × C1,0,0.9993086761147598,4.134,6.8407,4.1733,34.179404693268346,27.749198300069278,71.59868131989289,0.5484366089144178,11.495108899734714,0.28801313896783604,2.7238598665914524,28.643209113503822,0.9447860608898729,4.3688863119486925,1.0456146518677192
8,unet_c2f_a_fine02_coarse01,"unet:c2f:A:fine3,7,12:coarse5,6,17,18,28,30",Step-R full-grid C2F-A; F2 × C1,0,0.9993086761147598,4.1429,7.3763,4.7623,40.120071120374305,33.845567501821094,83.39966616139371,0.6435182947467596,16.390962393294938,0.28483485922097984,2.715093787694456,34.397712838634426,0.9385258729608135,4.386856833013848,1.04712404308745
9,unet_c2f_a_fine02_coarse03,"unet:c2f:A:fine3,7,12:coarse0,5,18,30",Step-R full-grid C2F-A; F2 × C3,0,0.9993086761147598,4.153,7.0466,4.1995,34.80300381110508,28.11208513456336,74.45180109896971,0.5429895075063923,11.209794580741805,0.2856560655224812,2.596470846312335,28.897986057388152,0.943144597517643,4.399818360030306,1.047570161627175
10,unet_c2f_a_fine04_coarse03,"unet:c2f:A:fine2,4,6:coarse0,5,18,30",Step-R full-grid C2F-A; F4 × C3,0,0.9993086761147598,4.2562999999999995,7.037,4.4009,34.81204308637565,28.285812150346406,72.71344814737358,0.5592994385763845,13.201086934840205,0.2879755161792534,2.759795027819266,29.0308690306883,0.9461724925910215,4.495699645780951,1.0486356203487097
11,unet_c2f_a_fine03_coarse03,"unet:c2f:A:fine2,3,12,14:coarse0,5,18,30",Step-R full-grid C2F-A; F3 × C3,0,0.9993086761147598,4.2863999999999995,7.2978000000000005,4.469,36.26588452909898,29.472032837753208,76.59887365456429,0.545732088997785,12.07854958993467,0.2850469011457704,2.94945190379882,30.260670103994276,0.9417571940516897,4.551263669386824,1.0491475366793106
12,unet_c2f_a_fine01_coarse01,"unet:c2f:A:fine2,3,7,12,13,14:coarse5,6,17,18,28,30",Step-R full-grid C2F-A; F1 × C1,0,0.9993086761147598,4.2986,7.3267,4.7957,37.455577904565004,30.828399178384025,78.69406761866061,0.5844282372341384,13.373407829358285,0.28851975813618014,3.166818834804373,31.7433170582013,0.9428615372650438,4.55233482243588,1.051200046823958
13,unet_c2f_a_fine05_coarse03,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,18,30",Step-R full-grid C2F-A; F5 × C3,0,0.9993086761147598,4.3029,7.199400000000001,4.4369,34.94059028133994,28.3155309422125,74.11639407461334,0.5586453140022076,12.010993307953106,0.2868438489358243,2.5907295099537873,28.993584000079785,0.9435157105613937,4.539488917702627,1.046311324654271
14,unet_c2f_b_fine02_coarse04,"unet:c2f:B:fine3,7,12:coarse0,5,6,18,30",Step-R full-grid C2F-B; F2 × C4,0,0.9993086761147598,4.3204,6.8536,3.7571,32.22512303550002,25.90006787730227,68.45642688044403,0.49580728798065793,8.327540175036313,0.2824256635968509,2.876791723525604,26.872330355633377,0.9480233184601852,4.536378565320099,1.0475643406264306
15,unet_c2f_a_fine01_coarse03,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,18,30",Step-R full-grid C2F-A; F1 × C3,0,0.9993086761147598,4.3372,7.458099999999999,4.6929,36.49341699265818,29.4986379559369,77.27570688099046,0.5689826168220411,12.507623102092328,0.28816401485490317,3.1492513542530434,30.401962608923185,0.9426194048609806,4.598686478811553,1.050085137922825
16,unet_c2f_a_fine04_coarse01,"unet:c2f:A:fine2,4,6:coarse5,6,17,18,28,30",Step-R full-grid C2F-A; F4 × C1,0,0.9993086761147598,4.3409,7.1868,4.7261999999999995,35.59993913339689,28.93207805421541,73.20586950705152,0.5597185746777075,12.622455493893202,0.28921879176531806,2.946012057083828,29.842859468664468,0.943082888998587,4.563981083862391,1.047012720848643
17,unet_c2f_a_fine03_coarse01,"unet:c2f:A:fine2,3,12,14:coarse5,6,17,18,28,30",Step-R full-grid C2F-A; F3 × C1,0,0.9993086761147598,4.3947,7.5007,4.7787999999999995,38.618886204362056,31.942688090739214,80.91075161319515,0.6077278209225967,15.055103156148917,0.2870656299745087,3.0238876718234624,32.78323954734525,0.9416846174093638,4.646746477008142,1.0507164835360674
18,unet_c2f_b_fine02_coarse03,"unet:c2f:B:fine3,7,12:coarse0,5,18,30",Step-R full-grid C2F-B; F2 × C3,0,0.9993086761147598,4.4275,6.996700000000001,3.862,32.691521177262096,26.268454856424704,70.25384897631787,0.5012118775627881,8.355519772277093,0.2842817627969389,2.990689812628813,27.156300857062515,0.9474004112648214,4.646243517178791,1.0523754149867421
19,unet_c2f_b_fine02_coarse01,"unet:c2f:B:fine3,7,12:coarse5,6,17,18,28,30",Step-R full-grid C2F-B; F2 × C1,0,0.9993086761147598,4.433,7.0245,3.8205999999999998,33.074609203596204,26.734346190306262,71.07559231111317,0.500374657945207,8.48680399139758,0.2826306150086403,3.0159460404129588,27.63001606481871,0.9464343737532116,4.6550847976987715,1.0515829699016064
20,unet_c2f_a_fine01_coarse02,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F1 × C2,0,0.9993086761147598,4.437399999999999,7.1342,4.245299999999999,34.5851044250565,27.975960179778703,72.55005280841814,0.5212887123396484,11.774816120471627,0.2800304323882026,2.642011791918303,28.805327251467496,0.9418490516875293,4.680983999829126,1.0443573458609692
21,unet_c2f_b_fine03_coarse04,"unet:c2f:B:fine2,3,12,14:coarse0,5,6,18,30",Step-R full-grid C2F-B; F3 × C4,0,0.9993086761147598,4.456,7.3433,4.561,35.45311725540854,28.843239556232376,73.66819057501715,0.5354591023069981,11.512341043233324,0.2856296329774396,3.295324382326643,29.65884611683107,0.9420103346307517,4.673108457383464,1.0484037513981026
22,unet_c2f_b_fine01_coarse04,"unet:c2f:B:fine2,3,7,12,13,14:coarse0,5,6,18,30",Step-R full-grid C2F-B; F1 × C4,0,0.9993086761147598,4.4849,6.8781,4.0665,32.66559298349533,26.592642722199734,72.55431519505878,0.5620448899513704,9.611026833941635,0.30221046532157214,5.375387531640975,27.664276829738178,0.9499695482721022,4.6970533566660375,1.0501129927720394
23,unet_c2f_b_fine03_coarse02,"unet:c2f:B:fine2,3,12,14:coarse0,5,6,17,18,30",Step-R full-grid C2F-B; F3 × C2,0,0.9993086761147598,4.5657000000000005,7.3915999999999995,4.4077,34.62264468410793,27.98874896099739,72.15244560516565,0.5189364546374166,10.59211812539577,0.2858480308708148,3.2557758191487687,28.88031883433286,0.9431816693577808,4.784585204420363,1.0499832633856574
24,unet_c2f_b_fine03_coarse03,"unet:c2f:B:fine2,3,12,14:coarse0,5,18,30",Step-R full-grid C2F-B; F3 × C3,0,0.9993086761147598,4.5912,7.4104,4.363,34.8174743469328,28.131103818227025,72.7145789073379,0.5280366194544868,10.309414884457095,0.28951969220202756,3.3938130770293733,29.00016438463224,0.9433702044624706,4.812381603499677,1.0531472231686976
25,unet_c2f_b_fine03_coarse01,"unet:c2f:B:fine2,3,12,14:coarse5,6,17,18,28,30",Step-R full-grid C2F-B; F3 × C1,0,0.9993086761147598,4.6366,7.4845999999999995,4.4388,34.846343282709114,28.110838045961366,72.78287511234403,0.5214351352461382,9.967447094218995,0.2876823667466362,3.51733582203169,29.07318380118588,0.9432062465260374,4.859401077349118,1.0517362468651985
26,unet_c2f_b_fine01_coarse03,"unet:c2f:B:fine2,3,7,12,13,14:coarse0,5,18,30",Step-R full-grid C2F-B; F1 × C3,0,0.9993086761147598,4.651199999999999,6.938,3.8218,31.518221039874174,25.51019285237298,70.97594040012358,0.570184575067768,10.565559294566974,0.3050319663329241,5.281576626748009,26.478863238625294,0.9504151215885229,4.814099417352923,1.0540331454112601
27,unet_c2f_b_fine05_coarse04,"unet:c2f:B:fine2,3,7,12,13:coarse0,5,6,18,30",Step-R full-grid C2F-B; F5 × C4,0,0.9993086761147598,4.7356,7.0581000000000005,3.6008999999999998,32.230669011421824,26.41909455643871,65.4395785562611,0.5863785405300389,8.708780692433958,0.3032927729412928,3.464663113320257,27.481670881944982,0.9518637244320047,4.882410887717588,1.0421139807290627
28,unet_c2f_b_fine05_coarse02,"unet:c2f:B:fine2,3,7,12,13:coarse0,5,6,17,18,30",Step-R full-grid C2F-B; F5 × C2,0,0.9993086761147598,5.0855999999999995,7.3267,3.7488,32.85509243151867,27.021291505965824,68.28390956908375,0.7051835267018717,8.673418788500744,0.32806148856428263,3.3167395429488127,28.039898211997922,0.9501802134997388,5.26847166368477,1.0408935923113756
29,unet_direct_fine03,"unet:direct:enc0:2,3,12,14",Step-R direct fine rank 3,0,0.9993086761147598,5.1419,8.1516,4.5638,38.140664708320635,30.951139214205785,80.3495563064356,0.6162542581319332,13.315011077146005,0.3359429875165804,8.244808550326875,31.962244608136487,0.9371300430654915,5.351908459481898,1.0605376902170371
30,unet_c2f_b_fine04_coarse04,"unet:c2f:B:fine2,4,6:coarse0,5,6,18,30",Step-R full-grid C2F-B; F4 × C4,0,0.9993086761147598,5.1824,7.299600000000001,4.2513000000000005,31.16479859061101,24.994027431872322,62.63008205848334,0.49859151158280673,10.995810145058698,0.2849748965003892,2.6337149247802945,25.778771478183376,0.9469156276364314,5.313811214966548,1.0457241125032628
31,unet_c2f_b_fine04_coarse02,"unet:c2f:B:fine2,4,6:coarse0,5,6,17,18,30",Step-R full-grid C2F-B; F4 × C2,0,0.9993086761147598,5.2067000000000005,7.3309,4.1846000000000005,30.894115951769706,24.826374253485074,61.48847531736735,0.4930547366325613,10.879619140847595,0.28348788972648825,2.5175208250362133,25.672246360793892,0.9490530027040869,5.339608539952331,1.0468382961865794
32,unet_c2f_b_fine05_coarse03,"unet:c2f:B:fine2,3,7,12,13:coarse0,5,18,30",Step-R full-grid C2F-B; F5 × C3,0,0.9993086761147598,5.3115000000000006,7.6444,3.8594999999999997,33.212427760445365,27.13878149992327,67.30674913464976,0.6253830798948584,8.968610727555724,0.31233585056537627,3.5764623777313154,28.260901447122492,0.9528411448822951,5.478503948219243,1.042616718138263
