label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
unet_direct_fine03,Step-R direct fine rank 3,"unet:direct:enc0:2,3,12,14","[2, 3, 12, 14]",0,PASS,Completed the full matched RGB-D sequence,125.33694873799686,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1473786059536859,0.12195326348124212,0.08286534730426307,0.30732941802256997,0.08275176746829374,4.102809429913195,3.8861136818111675,6.164469219125934,0.004604931265477184,0.026294804367530424,0.23317595917115455,0.9439063802449518,0.14448063411442227,0.12211263195901159,0.9860865982764668,0.12724338548876704,0.10780998701236938,0.9898954801819415,253,0.127243,0.10781,0.007081,2486,5.4766105,6.586736500000001,0,0.855,0.993,18270.0,0.004545,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_direct_fine03/replicate_0.log,2026-08-25T22:57:30.294974+00:00
unet_direct_fine04,Step-R direct fine rank 4,"unet:direct:enc0:2,4,6","[2, 4, 6]",0,PASS,Completed the full matched RGB-D sequence,128.82293898100033,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1334436051263669,0.11477607813788877,0.09292456295710114,0.2832185790507971,0.06807090153954914,3.5554583278159826,3.3693658723826583,5.890614668578836,0.004294788276024909,0.023338810630806464,0.23657014373036958,0.9825283683433979,0.13058237688554233,0.1138711814854274,0.9868465891633245,0.1178244950047042,0.1038404983699276,0.9902437195856868,253,0.117824,0.10384,0.00679,2486,6.2558365,7.93523275,0,0.844,0.993,13620.0,0.004436,1,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_direct_fine04/replicate_0.log,2026-08-25T22:59:39.860867+00:00
unet_direct_coarse01,Step-R direct coarse rank 1,"unet:direct:enc1:5,6,17,18,28,30","[5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,150.41159018399776,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.20407808930382254,0.16950439217619281,0.10535765891137149,0.4265232777481936,0.11364914239394147,6.0944054625905135,5.747050670165483,9.266011531542667,0.0046625999991805585,0.028769680713680836,0.2348349009352419,1.089319862689808,0.20100587530855016,0.1703187016475431,0.9831346187122713,0.17733046343206738,0.15148739399072705,0.9887893847333403,249,0.17733,0.151487,0.007468,2486,32.743812500000004,54.1176965,0,0.853,0.993,8524.0,0.00599,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_direct_coarse01/replicate_0.log,2026-08-25T23:02:11.009841+00:00
unet_direct_coarse03,Step-R direct coarse rank 3,"unet:direct:enc1:0,5,18,30","[0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,139.40827422300208,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.21474667992589552,0.17150256143727385,0.10612654425342187,0.46426171938485483,0.12924011745448516,5.950983635667077,5.547860989958304,9.4737241263044,0.005349178262786432,0.030557321745020672,0.23037669157990265,0.9184852885962782,0.20939919327021908,0.17295620629451122,0.9773563067135975,0.18228212405374752,0.1513334904335524,0.9825687838149505,247,0.182282,0.151333,0.008304,2486,9.042851,10.978475750000001,0,0.845,0.993,12650.0,0.008265,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_direct_coarse03/replicate_0.log,2026-08-25T23:04:31.149938+00:00
unet_c2f_a_fine01_coarse01,Step-R full-grid C2F-A; F1 × C1,"unet:c2f:A:fine2,3,7,12,13,14:coarse5,6,17,18,28,30","[2, 3, 7, 12, 13, 14, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,143.90968588100077,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.13552172760980075,0.11306018911679154,0.08141476360745666,0.2841971257501434,0.07472303721892172,3.748100881282321,3.5491707610211067,5.727908344821111,0.004559800068468387,0.024519887809167022,0.23129128979606747,0.9169002555019699,0.13270365571859682,0.11294609546399759,0.9868419583649627,0.11746783549256407,0.1007378328243299,0.9902040340787576,252,0.117468,0.100738,0.006872,2486,8.38073,10.06207875,0,0.845,0.993,20950.0,0.006197,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-25T23:06:55.786299+00:00
unet_c2f_a_fine01_coarse02,Step-R full-grid C2F-A; F1 × C2,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,17,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,139.24831395100045,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.13247085606713319,0.1105796666139079,0.08037077652154465,0.28464716206859,0.07294288888381173,3.650570397126493,3.456023949648142,5.661278740751624,0.004606072335272047,0.0248760313711456,0.23038770389313354,0.9074009014162179,0.12975356730945292,0.11054880537936376,0.9872209965659345,0.11489124112823541,0.09867198362977958,0.9905578016310664,252,0.114891,0.098672,0.006865,2486,8.38612,10.064869999999999,0,0.845,0.993,20950.0,0.007917,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-25T23:09:15.768782+00:00
unet_c2f_a_fine01_coarse03,Step-R full-grid C2F-A; F1 × C3,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,137.12659096900097,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.14540124894905754,0.11976466595859027,0.08079095109181007,0.3104087750139359,0.08244966939759733,3.9339901291985346,3.7133086309467167,5.95746644751832,0.004692187291839296,0.02639001320433391,0.23033351298376667,0.912348769427787,0.14207090673115172,0.1199797722284583,0.9852116058523799,0.1253349773850831,0.10636671966848447,0.9888260454872685,249,0.125335,0.106367,0.007116,2486,8.378604,10.07990875,0,0.845,0.993,21000.0,0.008469,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-25T23:11:33.614087+00:00
unet_c2f_a_fine02_coarse01,Step-R full-grid C2F-A; F2 × C1,"unet:c2f:A:fine3,7,12:coarse5,6,17,18,28,30","[3, 7, 12, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,142.8420707389996,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.14991308308406265,0.12294139943366078,0.08007569703978525,0.31145158570392917,0.08578662357886653,4.089979506998158,3.846471737705177,6.312609273600993,0.004602882937851827,0.024995257848930787,0.2318268850410758,0.9712919600943403,0.14663198007098296,0.12324825797840974,0.9850910136710227,0.12895577988139012,0.1089035680738101,0.9885674018670614,252,0.128956,0.108904,0.007125,2486,4.1393915,5.0846935,0,0.845,0.993,22530.0,0.009891,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.log,2026-08-25T23:13:57.182562+00:00
unet_c2f_a_fine02_coarse02,Step-R full-grid C2F-A; F2 × C2,"unet:c2f:A:fine3,7,12:coarse0,5,6,17,18,30","[3, 7, 12, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,138.4364909270007,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1398130542039829,0.11530635702148066,0.07895170269124603,0.2918944599807296,0.07907043794162709,3.8003233010362227,3.585842873146822,5.735752510466262,0.004625441750748738,0.025469334367812877,0.22997062089899806,0.9217615179887404,0.13671651664786041,0.11545260715145347,0.9860053786512356,0.12068303988387885,0.10229701101621021,0.9893783001083349,251,0.120683,0.102297,0.007087,2486,4.1346225,5.0838315000000005,0,0.845,0.993,22580.0,0.006306,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.log,2026-08-25T23:16:16.346981+00:00
unet_c2f_a_fine02_coarse03,Step-R full-grid C2F-A; F2 × C3,"unet:c2f:A:fine3,7,12:coarse0,5,18,30","[3, 7, 12, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,135.54501191099916,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.14300821624283885,0.11792428489917607,0.08500304645774909,0.3044430849703204,0.08090249034471379,3.9000840420840337,3.68710346396264,5.837155289315551,0.004724876420740486,0.027216897510119055,0.23019930157062876,0.9791074591204455,0.13950604495594868,0.11819302678654436,0.9849711871876079,0.12392847388570762,0.10511461367089721,0.9882822376954826,251,0.123928,0.105115,0.007249,2486,4.1399675,5.09895775,0,0.855,0.993,22570.0,0.010125,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.log,2026-08-25T23:18:32.624039+00:00
unet_c2f_a_fine03_coarse01,Step-R full-grid C2F-A; F3 × C1,"unet:c2f:A:fine2,3,12,14:coarse5,6,17,18,28,30","[2, 3, 12, 14, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,142.70699490900006,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.13955882755178423,0.11600716262840936,0.07852015464982373,0.28452010113815973,0.07758224388695155,3.9522884247883576,3.733622568713208,5.981550960800197,0.004554342048744755,0.02526459042169993,0.2323084289809743,0.9411507254697987,0.1367643553081056,0.11602768340839921,0.9867010388319883,0.12055220660090793,0.10274973655110291,0.9903530676369643,254,0.120552,0.10275,0.006873,2486,5.4739845,6.57271225,0,0.855,0.993,18250.0,0.011921,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.log,2026-08-25T23:20:56.054750+00:00
unet_c2f_a_fine03_coarse02,Step-R full-grid C2F-A; F3 × C2,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,17,18,30","[2, 3, 12, 14, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,138.18316173399944,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1351441136437219,0.11221482212555217,0.07693140279783728,0.2780901748220127,0.07531112233845608,3.788714689939192,3.586799279870815,5.712963022226151,0.00458557193914085,0.02523796871547822,0.23113883547813463,0.9305901178021495,0.1325153373243997,0.11231834919622839,0.9872991727492054,0.11692993779858941,0.09946529740000215,0.9906756850551859,252,0.11693,0.099465,0.00697,2486,5.472423,6.56892575,0,0.855,0.993,18250.0,0.005638,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.log,2026-08-25T23:23:14.968605+00:00
unet_c2f_a_fine03_coarse03,Step-R full-grid C2F-A; F3 × C3,"unet:c2f:A:fine2,3,12,14:coarse0,5,18,30","[2, 3, 12, 14, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,136.20722362300148,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1467438112697388,0.12054493739957182,0.08031722579718081,0.3095763937428774,0.08368192285853636,4.013317662809086,3.7773578751226933,6.104698614272589,0.0047013743282733715,0.026679434351641027,0.231454864004462,0.9245224608968714,0.14351843386551227,0.120747031345154,0.9853729587753626,0.1256172054959537,0.10605518328591797,0.9890518141316529,253,0.125617,0.106055,0.006966,2486,5.476926,6.5815925,0,0.855,0.993,18240.0,0.005609,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.log,2026-08-25T23:25:31.901251+00:00
unet_c2f_a_fine03_coarse04,Step-R full-grid C2F-A; F3 × C4,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,18,30","[2, 3, 12, 14, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,137.75152378299754,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1384121154128259,0.1141294035188404,0.0760273444741178,0.287423314160726,0.07830959676493769,3.8269335674802627,3.600844426653466,5.815068481717427,0.004602248513006987,0.025356142249639103,0.23151453518156567,0.9403673966505784,0.13563397829229226,0.11431333080084077,0.9867939491260271,0.1190516854631888,0.10079938668183877,0.9901350178188876,253,0.119052,0.100799,0.006929,2486,5.4747319999999995,6.57463325,0,0.855,0.993,18240.0,0.007355,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_clean/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.log,2026-08-25T23:27:50.378613+00:00
