rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,unet_c2f_a_fine05_coarse02,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F5 × C2,0,0.9991961414790996,9.6387,11.2037,0.7031,12.883362464616408,10.760552835114149,27.627264145554477,0.4652452045965703,2.4834165022693417,0.23320667267706216,1.3225968263821772,10.755250772093145,0.9872207567242306,9.638720856531666,0.9903724055532345
2,unet_c2f_a_fine04_coarse02,"unet:c2f:A:fine2,4,6:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F4 × C2,0,0.9991961414790996,9.733500000000001,11.1477,0.6714,12.66567985800598,10.79088981303925,27.554447408678158,0.43335337768380683,2.4453324578102427,0.23377960107048049,0.9777793444950874,10.763994330166511,0.988892690134937,9.733490554023913,0.9920709427153769
3,unet_c2f_b_fine04_coarse02,"unet:c2f:B:fine2,4,6:coarse0,5,6,17,18,30",Step-R full-grid C2F-B; F4 × C2,0,0.9991961414790996,9.738299999999999,11.046100000000001,0.6593,12.499685074328873,10.7815102111059,26.370944968742872,0.42843220515537805,2.28783267673284,0.23642669641862699,0.9438445548912472,10.706220252037596,0.9883291784391466,9.738305498496954,0.9914985573320992
4,unet_c2f_b_fine04_coarse04,"unet:c2f:B:fine2,4,6:coarse0,5,6,18,30",Step-R full-grid C2F-B; F4 × C4,0,0.9991961414790996,9.7405,11.050500000000001,0.6623,12.513142023709248,10.78637798827557,26.665116105060438,0.4279749292252558,2.3212018762082733,0.23655813070598716,0.9631114114799346,10.713070956462948,0.9883486338836218,9.740497830771815,0.9915126259563695
5,unet_c2f_a_fine04_coarse04,"unet:c2f:A:fine2,4,6:coarse0,5,6,18,30",Step-R full-grid C2F-A; F4 × C4,0,0.9991961414790996,9.7715,11.290799999999999,0.6838000000000001,12.91233948496951,10.89141399029577,28.122782208043844,0.4347194108664295,2.4387032645326103,0.23392054800970766,0.9474248200018016,10.878870010156563,0.9884815896622994,9.771512988268574,0.9917348208746068
6,unet_c2f_a_fine01_coarse02,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F1 × C2,0,0.9991961414790996,9.8672,11.489099999999999,0.6865,13.247085606713318,11.05796666139079,28.464716206859,0.46060723352720473,2.48760313711456,0.23038770389313354,0.9074009014162179,11.054880537936377,0.9872209965659345,9.867198362977959,0.9905578016310664
7,unet_c2f_b_fine04_coarse03,"unet:c2f:B:fine2,4,6:coarse0,5,18,30",Step-R full-grid C2F-B; F4 × C3,0,0.9991961414790996,9.9351,11.2734,0.6527,12.763601627001128,10.998828373617545,27.078837318140693,0.42991437676930366,2.32922594621295,0.23682534675870232,0.9723135201276809,10.920645446706576,0.9879662009816225,9.935072903867452,0.9911799450024384
8,unet_c2f_a_fine03_coarse02,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F3 × C2,0,0.9991961414790996,9.9465,11.693000000000001,0.697,13.514411364372188,11.221482212555218,27.80901748220127,0.458557193914085,2.5237968715478223,0.23113883547813463,0.9305901178021495,11.23183491962284,0.9872991727492054,9.946529740000216,0.9906756850551859
9,unet_c2f_b_fine05_coarse01,"unet:c2f:B:fine2,3,7,12,13:coarse5,6,17,18,28,30",Step-R full-grid C2F-B; F5 × C1,0,0.9991961414790996,9.968399999999999,11.5793,0.6897,13.327436064028076,11.175591658631044,27.763848119077174,0.4592109017283679,2.503937203942776,0.23029704339177304,0.915318692700793,11.15049681070667,0.9861472444550128,9.968365964068235,0.9895944975471995
10,unet_c2f_b_fine05_coarse04,"unet:c2f:B:fine2,3,7,12,13:coarse0,5,6,18,30",Step-R full-grid C2F-B; F5 × C4,0,0.9991961414790996,10.0122,11.6519,0.6915,13.403653777832728,11.217520409709387,28.00596010540245,0.45951423534647556,2.5082211094778066,0.230357921295803,0.9140944175705882,11.200516397191256,0.9862424614140961,10.012229991377936,0.9896471390550278
