label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
unet_direct_fine03,Step-R direct fine rank 3,"unet:direct:enc0:2,3,12,14","[2, 3, 12, 14]",0,PASS,Completed the full matched RGB-D sequence,122.71831114599627,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1370622604184657,0.11442257698858022,0.07863075191954984,0.2812856226342586,0.07545553065423201,3.9491275268503867,3.7617197855516085,5.910086852711405,0.004606983385818344,0.0249919808634619,0.23392782706202375,0.9671252531984771,0.13453288626965793,0.11457405971401116,0.9874476720684641,0.11876454775629264,0.1014568923190912,0.9911504712813355,253,0.118765,0.101457,0.007285,2486,5.5773315,6.71554275,0,0.855,0.993,18130.0,0.004545,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_direct_fine03/replicate_0.log,2026-08-26T02:01:54.209848+00:00
unet_direct_fine04,Step-R direct fine rank 4,"unet:direct:enc0:2,4,6","[2, 4, 6]",0,PASS,Completed the full matched RGB-D sequence,128.0093681340004,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.11308799694851263,0.09942597029781926,0.0785405869210751,0.23644845621494134,0.05388294242303369,3.502408328325321,3.3584024946710693,5.817910077320899,0.004344365033183107,0.02358496483888781,0.23808464695406012,1.0616770987024222,0.11145281341242519,0.0989982439649077,0.9907982805673188,0.10150853969942279,0.09123789596264655,0.9940867868984442,255,0.101509,0.091238,0.006793,2486,6.3360535,8.07894925,0,0.854,0.993,13620.0,0.004556,7,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_direct_fine04/replicate_0.log,2026-08-26T02:04:02.941665+00:00
unet_direct_coarse01,Step-R direct coarse rank 1,"unet:direct:enc1:5,6,17,18,28,30","[5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,146.2535512050017,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.19733938674024826,0.16592018886802776,0.10411654682908464,0.41185828829834814,0.10683316191621056,6.1480830477818,5.827180674774527,9.205932641402887,0.004667123773993407,0.02743934590405714,0.23580087892510498,1.0423532312116064,0.19487072653006446,0.16688754806455786,0.9850985012086924,0.17290958915326796,0.14959180074622674,0.9905920416049065,249,0.17291,0.149592,0.007358,2486,31.935982000000003,52.72634875,0,0.844,0.993,9666.0,0.005992,4,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_direct_coarse01/replicate_0.log,2026-08-26T02:06:29.912119+00:00
unet_direct_coarse03,Step-R direct coarse rank 3,"unet:direct:enc1:0,5,18,30","[0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,137.18550952799706,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.2178660288054636,0.17553696078829606,0.10724565292708396,0.46624582085044286,0.1290441083686943,6.185393631961642,5.799395527926809,9.597110222345817,0.005395253585241378,0.027390766755808076,0.23143900283124208,0.8962171463033959,0.21283353283648296,0.1771680266742923,0.9778493096856352,0.18621466031532416,0.15583276381297098,0.9834684357528813,247,0.186215,0.155833,0.008702,2486,9.078093500000001,11.036493,0,0.844,0.993,13870.0,0.007442,2,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_direct_coarse03/replicate_0.log,2026-08-26T02:08:47.817304+00:00
unet_c2f_a_fine01_coarse01,Step-R full-grid C2F-A; F1 × C1,"unet:c2f:A:fine2,3,7,12,13,14:coarse5,6,17,18,28,30","[2, 3, 7, 12, 13, 14, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,140.36573150199547,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.13739861383438123,0.11505704185844316,0.07911311228957013,0.2832091156760986,0.07510163914585269,3.8756635016990324,3.697718133604395,5.8825599720295605,0.004568149324667892,0.02406539751786688,0.23124984880320715,0.9615910362245039,0.13485814970647603,0.11527190874988508,0.9874052822217612,0.11964485868352422,0.10305033163713742,0.9908471914787548,252,0.119645,0.10305,0.006986,2486,8.451848,10.023468999999999,0,0.845,0.993,21090.0,0.009276,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-26T02:11:08.931874+00:00
unet_c2f_a_fine01_coarse02,Step-R full-grid C2F-A; F1 × C2,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,17,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,136.42814508199808,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1300234842460032,0.1090321953994414,0.0771780019510481,0.2737238618826931,0.07083845581214114,3.703516139767438,3.5331645283804742,5.584514744463307,0.0046109362481765595,0.02418206648081266,0.230617450998462,0.9465458115658612,0.12763186101272161,0.1091380821567548,0.9881062214545276,0.1132542899279318,0.09766111705539447,0.9914176730509163,252,0.113254,0.097661,0.006913,2486,8.453199,10.0233065,0,0.846,0.993,21040.0,0.011249,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-26T02:13:26.084075+00:00
unet_c2f_a_fine01_coarse03,Step-R full-grid C2F-A; F1 × C3,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,133.8820955189949,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1495229335130688,0.12369934049801337,0.0823971805149304,0.32075097812768333,0.08399750476478543,4.1539075404624075,3.9303371077950615,6.339253785783178,0.004703736995545469,0.023930610603541232,0.2309573866461323,0.9744884757055183,0.14638528997715367,0.12415506337542127,0.985431344535173,0.12922133997231958,0.11035617345513432,0.9893394909155058,250,0.129221,0.110356,0.007065,2486,8.445250999999999,10.0385285,0,0.845,0.993,21060.0,0.012546,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-26T02:15:40.705794+00:00
unet_c2f_a_fine02_coarse01,Step-R full-grid C2F-A; F2 × C1,"unet:c2f:A:fine3,7,12:coarse5,6,17,18,28,30","[3, 7, 12, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,139.49863920999633,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.14206405855564416,0.1179420790802376,0.07863043740325043,0.30043203759642995,0.07919509274906167,4.069929034047558,3.859909060999205,6.070948175876039,0.004603964860476604,0.024479973775918932,0.23128397282982152,0.9783302792876483,0.1394607608004882,0.11823453609119976,0.9870381842418264,0.12313580664199913,0.10523805487987838,0.990416389251437,251,0.123136,0.105238,0.007106,2486,4.16807,5.06907,0,0.854,0.993,22880.0,0.006911,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.log,2026-08-26T02:18:00.930139+00:00
unet_c2f_a_fine02_coarse02,Step-R full-grid C2F-A; F2 × C2,"unet:c2f:A:fine3,7,12:coarse0,5,6,17,18,30","[3, 7, 12, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,134.87596993400075,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.13738871048590767,0.11395542677218123,0.07828052049128788,0.2903216440968721,0.07674515279905689,3.8150754121625345,3.6212563551142125,5.760788742831214,0.004627789112833013,0.023700839990520445,0.22999619409088687,0.9411286635017044,0.13454519823815783,0.11411945106726254,0.9866928808866731,0.11887125988063142,0.10135083849389931,0.9900186501496366,250,0.118871,0.101351,0.006974,2486,4.167807,5.0693865,0,0.854,0.993,22890.0,0.008707,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.log,2026-08-26T02:20:16.528805+00:00
unet_c2f_a_fine02_coarse03,Step-R full-grid C2F-A; F2 × C3,"unet:c2f:A:fine3,7,12:coarse0,5,18,30","[3, 7, 12, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,133.72099128500122,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1546608735480903,0.1268160050628251,0.08406054217333642,0.32041859448840754,0.08853071030192801,4.236107083971645,4.001735885152131,6.426536850062363,0.004739570130621979,0.024434769792295544,0.23084108901678274,0.9818121070913526,0.15111643052868956,0.12729991084318454,0.9842754573026911,0.13313998915405412,0.11231893762618916,0.9881160769426853,250,0.13314,0.112319,0.007507,2486,4.1655940000000005,5.0645904999999996,0,0.855,0.993,22890.0,0.009987,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.log,2026-08-26T02:22:30.969822+00:00
unet_c2f_a_fine03_coarse01,Step-R full-grid C2F-A; F3 × C1,"unet:c2f:A:fine2,3,12,14:coarse5,6,17,18,28,30","[2, 3, 12, 14, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,140.38688741000078,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.13392371278480636,0.11215971355662314,0.07432138314913908,0.2723164924735865,0.07318305473921921,3.9458557137507717,3.7549761738502707,5.845523963563309,0.004565085350449292,0.024450926406265724,0.23233903662768043,0.9770064707710276,0.1317857488923682,0.11247536060005796,0.9885733774180825,0.11648124337508388,0.09998397645254377,0.9921348688785214,254,0.116481,0.099984,0.006827,2486,5.577546999999999,6.730959,0,0.855,0.993,18100.0,0.013682,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.log,2026-08-26T02:24:52.085731+00:00
unet_c2f_a_fine03_coarse02,Step-R full-grid C2F-A; F3 × C2,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,17,18,30","[2, 3, 12, 14, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,135.38613217500097,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.12794458312513796,0.10698036268243291,0.07311854018925304,0.2663356246830958,0.07017847498628374,3.7286401046609985,3.5483346347209928,5.6037331075940635,0.004594618076406434,0.024460111680749925,0.2313121972277044,0.9583477228339283,0.12580578396907258,0.10720547959559484,0.9888304214411267,0.11104476987732516,0.0952476972265295,0.9921215540683744,253,0.111045,0.095248,0.006959,2486,5.5752489999999995,6.73058775,0,0.855,0.993,18100.0,0.004952,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.log,2026-08-26T02:27:08.190155+00:00
unet_c2f_a_fine03_coarse03,Step-R full-grid C2F-A; F3 × C3,"unet:c2f:A:fine2,3,12,14:coarse0,5,18,30","[2, 3, 12, 14, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,135.0714518379973,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.14876707580468054,0.12268923412704573,0.07997038620749133,0.31055636720209207,0.084136761720395,4.1929138800584775,3.972700917220488,6.2189363967746845,0.004695565890222013,0.024387376759864937,0.23200009955328235,0.9400212235428566,0.14575148777743957,0.12314212487397987,0.985746843478128,0.12779048571260684,0.10838805452045273,0.9896414919009415,253,0.12779,0.108388,0.007111,2486,5.5730284999999995,6.719795,0,0.855,0.993,18110.0,0.005781,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.log,2026-08-26T02:29:23.984300+00:00
unet_c2f_a_fine03_coarse04,Step-R full-grid C2F-A; F3 × C4,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,18,30","[2, 3, 12, 14, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,134.62311655699887,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.13596865829665272,0.11316600946429563,0.07666417444131024,0.28167079410190465,0.07537194664408547,3.873962789283066,3.6731602169439066,5.815945847566068,0.004604720401728405,0.023786570754130182,0.23153959967030474,0.9310277432721349,0.13338648698050878,0.11340068712664748,0.9873711858606627,0.11781155994163231,0.10078686937127197,0.9907116386963548,252,0.117812,0.100787,0.007051,2486,5.58132,6.7284635,0,0.855,0.993,18100.0,0.006357,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr3_long_office_household_flashlight/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.log,2026-08-26T02:31:39.331342+00:00
