rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,unet_c2f_b_fine04_coarse01,"unet:c2f:B:fine2,4,6:coarse5,6,17,18,28,30",Step-R full-grid C2F-B; F4 × C1,0,0.9991961414790996,8.372,9.3124,0.6615,10.361093389305937,9.122433799055605,21.832948028233037,0.42842940835680743,2.2069124038486483,0.23720860088030593,1.0201149110286891,9.083877163962084,0.9922288513857835,8.372003898734757,0.9950759427381093
2,unet_c2f_b_fine04_coarse02,"unet:c2f:B:fine2,4,6:coarse0,5,6,17,18,30",Step-R full-grid C2F-B; F4 × C2,0,0.9991961414790996,8.5808,9.5869,0.6673,10.718390614550982,9.38923149654193,22.903696341554397,0.4285942011476529,2.235249417336584,0.23659578381378873,0.9978351388073867,9.352010878042512,0.991766103399777,8.58083075205673,0.9947051446782966
3,unet_c2f_b_fine04_coarse04,"unet:c2f:B:fine2,4,6:coarse0,5,6,18,30",Step-R full-grid C2F-B; F4 × C4,0,0.9991961414790996,8.586,9.5958,0.6655,10.7270523427954,9.390599981030851,22.927226405542825,0.4282947405907506,2.2461530149540088,0.23644617794498535,1.005770878647725,9.35511650832564,0.9917341862146084,8.585991997147255,0.9946214136532388
4,unet_c2f_a_fine04_coarse02,"unet:c2f:A:fine2,4,6:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F4 × C2,0,0.9991961414790996,8.6521,9.7695,0.6597000000000001,10.99571639425188,9.478874636930462,24.0926147858763,0.4317520744589192,2.355649209966949,0.23453455269897372,0.9780642769868589,9.471759881989762,0.9918380345936041,8.652116223974552,0.9945860618312997
5,unet_c2f_b_fine04_coarse03,"unet:c2f:B:fine2,4,6:coarse0,5,18,30",Step-R full-grid C2F-B; F4 × C3,0,0.9991961414790996,9.0224,10.1417,0.6808,11.394242422616204,9.911110207845054,24.16209548256055,0.43032832264805587,2.2799982909285847,0.2371251814733347,1.0108897139343633,9.873537086907087,0.9906721536721939,9.022403706252618,0.9936582960399116
6,unet_direct_fine04,"unet:direct:enc0:2,4,6",Step-R direct fine rank 4,0,0.9991961414790996,9.1238,10.1509,0.6793,11.308799694851263,9.942597029781925,23.644845621494134,0.4344365033183107,2.358496483888781,0.23808464695406012,1.0616770987024222,9.89982439649077,0.9907982805673188,9.123789596264654,0.9940867868984442
7,unet_c2f_b_fine05_coarse02,"unet:c2f:B:fine2,3,7,12,13:coarse0,5,6,17,18,30",Step-R full-grid C2F-B; F5 × C2,0,0.9991961414790996,9.3775,10.847199999999999,0.6907,12.467325939582716,10.50656313420582,25.856382433329195,0.4609803689102461,2.4042623332168342,0.2317513535881178,0.9512502060426393,10.489378560346141,0.9876075216952278,9.377455677841292,0.990793267291775
8,unet_c2f_b_fine05_coarse04,"unet:c2f:B:fine2,3,7,12,13:coarse0,5,6,18,30",Step-R full-grid C2F-B; F5 × C4,0,0.9991961414790996,9.3849,10.866299999999999,0.6853,12.499904569564153,10.52889844194886,25.955185233981993,0.46118059997654803,2.413648224730362,0.23156880369044572,0.9250821059831393,10.511034202682302,0.9876573096807116,9.384943163740399,0.9908766653570946
9,unet_c2f_a_fine04_coarse04,"unet:c2f:A:fine2,4,6:coarse0,5,6,18,30",Step-R full-grid C2F-A; F4 × C4,0,0.9991961414790996,9.3955,10.7525,0.6843,12.263585251106662,10.428175559072288,26.84798378593961,0.4332579037386028,2.3069694732903887,0.23414448610120786,0.958250251924522,10.434174110813982,0.9901889994224251,9.395534657717832,0.9934684274984088
10,unet_c2f_b_fine05_coarse01,"unet:c2f:B:fine2,3,7,12,13:coarse5,6,17,18,28,30",Step-R full-grid C2F-B; F5 × C1,0,0.9991961414790996,9.4938,10.9994,0.6890000000000001,12.653169759104937,10.666213502047498,25.84847119521892,0.46065752164289986,2.386829846006237,0.23199835538439423,0.9405809613585656,10.643322280710091,0.9872879734262606,9.493820535003005,0.9905666029601257
