rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,unet_c2f_a_fine01_coarse01,"unet:c2f:A:fine2,3,7,12,13,14:coarse5,6,17,18,28,30",Step-R full-grid C2F-A; F1 × C1,0,0.9991961414790996,8.5638,10.0305,1.6400000000000001,11.599162112953458,9.807342666044795,36.9128538824894,0.5522799023067578,10.811414798850572,0.2512821628319611,3.4283162852042373,9.780873837821096,1.0026843899203624,8.563769713242133,1.0092173697346327
2,unet_c2f_b_fine01_coarse02,"unet:c2f:B:fine2,3,7,12,13,14:coarse0,5,6,17,18,30",Step-R full-grid C2F-B; F1 × C2,0,0.9991961414790996,8.9158,10.8398,1.3050000000000002,13.258416543944149,10.924444488895798,40.88701407075,0.5410092026819002,10.169050851963405,0.2718994991360173,6.4348224938723435,10.940997907529852,0.9992548462108005,8.915805983721226,1.0017490937517084
3,unet_c2f_a_fine01_coarse02,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F1 × C2,0,0.9991961414790996,9.0954,11.1654,1.8241,13.373210563632215,10.953049933804449,44.68713460046633,0.5510581096668532,8.746598397208766,0.24485608261220834,2.558297090050402,10.926140019786427,1.0023212396710752,9.095352494651578,1.0093073530894714
4,unet_c2f_a_fine03_coarse04,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,18,30",Step-R full-grid C2F-A; F3 × C4,0,0.9991961414790996,9.258099999999999,11.6648,1.71,14.407657028203177,11.561118452002017,49.777788829848305,0.548775424938721,11.468874816313054,0.2454386561835625,2.9147354585210707,11.533571910233968,1.0016130975556998,9.258126771691604,1.0082220549023233
5,unet_c2f_b_fine01_coarse01,"unet:c2f:B:fine2,3,7,12,13,14:coarse5,6,17,18,28,30",Step-R full-grid C2F-B; F1 × C1,0,0.9991961414790996,9.7966,11.512699999999999,1.7332,13.635110083273933,11.421526852189448,46.21238906686268,0.5701359457515902,8.6429425782831,0.2579416246247431,3.157427437839185,11.418899606841155,1.0008823974542624,9.79660561324462,1.006138232811976
6,unet_c2f_a_fine03_coarse02,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F3 × C2,0,0.9991961414790996,9.8981,11.2231,0.8086,12.940841761031201,11.002781417297971,32.49132062590604,0.468823454636789,2.4650713721464506,0.232775103024531,0.983727972626366,11.04194514615828,0.9892508521483896,9.898137686227445,0.9930062129010832
7,unet_c2f_a_fine05_coarse02,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,17,18,30",Step-R full-grid C2F-A; F5 × C2,0,0.9991961414790996,9.9186,12.430900000000001,2.1027,14.895259305751745,12.061122918171591,49.81033993880404,0.5990783221629132,12.728280918854171,0.2545717515520684,3.744988497113811,12.025447526439201,1.0026935733877071,9.91857553548805,1.0107856282606182
8,unet_c2f_b_fine05_coarse02,"unet:c2f:B:fine2,3,7,12,13:coarse0,5,6,17,18,30",Step-R full-grid C2F-B; F5 × C2,0,0.9991961414790996,10.0042,11.1051,1.0771,12.75403978346582,11.097832111804303,33.52299473817407,0.48652572437654484,3.414029716275943,0.23729301756767623,1.288662528755318,11.076843897973689,0.9879643000449048,10.004156782820651,0.9911234682149803
9,unet_c2f_a_fine04_coarse04,"unet:c2f:A:fine2,4,6:coarse0,5,6,18,30",Step-R full-grid C2F-A; F4 × C4,0,0.9991961414790996,10.3274,11.7381,0.7779,13.539481219901894,11.494405254327617,33.65013135977623,0.45213592245155615,2.0605582526334403,0.23730436171844446,1.299290226765736,11.51174136237587,0.9876776301519988,10.327359365002934,0.991569065742205
10,unet_c2f_a_fine04_coarse01,"unet:c2f:A:fine2,4,6:coarse5,6,17,18,28,30",Step-R full-grid C2F-A; F4 × C1,0,0.9991961414790996,10.4577,11.6098,0.8191999999999999,13.048537840827814,11.420713591582809,30.582389243811512,0.45126432097772246,3.9789656212461626,0.24146019569176944,1.3939289633757337,11.390909596208127,0.9895112887187529,10.457655742365636,0.9934291146595059
