Trial	N_Channels	Channels	ATE_Mean_cm	Status
1	6	d1,d14,d15,d17,d47,d63	25.1767	OK
2	6	d6,d17,d43,d47,d57,d62	30.1936	OK
3	6	d1,d2,d5,d11,d27,d37	22.8705	OK
4	6	d1,d14,d27,d32,d35,d38	-	TIMEOUT
5	4	d25,d28,d53,d57	-	TIMEOUT
6	4	d0,d20,d35,d54	-	TIMEOUT
7	4	d19,d27,d35,d43	40.2308	OK
8	4	d11,d13,d43,d48	-	TIMEOUT
9	8	d2,d12,d16,d22,d38,d51,d54,d62	-	TIMEOUT
10	8	d5,d7,d18,d24,d34,d35,d58,d59	-	TIMEOUT
11	8	d2,d4,d12,d14,d36,d42,d45,d46	-	TIMEOUT
12	8	d5,d6,d14,d17,d24,d37,d54,d55	24.5163	OK
13	6	d10,d23,d40,d53,d58,d60	27.0582	OK
14	6	d13,d17,d42,d43,d44,d45	29.1872	OK
15	6	d9,d10,d34,d38,d40,d46	28.0917	OK
16	6	d10,d17,d24,d29,d31,d40	30.4058	OK
17	4	d7,d28,d29,d41	-	TIMEOUT
18	4	d4,d34,d40,d51	26.7785	OK
19	4	d8,d27,d40,d63	-	TIMEOUT
20	4	d18,d33,d50,d58	27.5047	OK
21	8	d15,d16,d17,d34,d35,d37,d47,d61	21.9391	OK
22	8	d8,d14,d23,d25,d32,d37,d54,d57	34.1229	OK
23	8	d3,d5,d7,d9,d40,d48,d55,d63	-	TIMEOUT
24	8	d4,d20,d24,d27,d38,d43,d50,d57	-	TIMEOUT
25	6	d0,d16,d33,d35,d55,d59	28.5149	OK
26	6	d14,d17,d34,d43,d48,d56	29.4752	OK
27	6	d7,d10,d18,d27,d29,d43	-	TIMEOUT
28	6	d0,d16,d46,d56,d61,d62	24.9546	OK
29	4	d13,d22,d25,d38	-	TIMEOUT
30	4	d0,d19,d20,d47	26.7151	OK
31	4	d2,d14,d41,d62	-	TIMEOUT
32	4	d7,d30,d39,d46	31.1361	OK
33	8	d5,d30,d31,d36,d46,d56,d59,d60	21.0616	OK
34	8	d8,d34,d42,d48,d49,d58,d62,d63	-	TIMEOUT
35	8	d10,d16,d33,d35,d38,d55,d60,d63	28.7883	OK
36	8	d13,d34,d44,d46,d48,d54,d59,d61	7.4012	OK
37	6	d19,d25,d41,d42,d45,d63	-	TIMEOUT
38	6	d7,d28,d33,d47,d57,d62	27.3120	OK
39	6	d1,d4,d14,d21,d31,d37	28.7238	OK
40	6	d0,d4,d14,d29,d37,d45	-	TIMEOUT
41	4	d4,d7,d8,d29	-	TIMEOUT
42	4	d9,d30,d35,d42	-	TIMEOUT
43	4	d16,d27,d60,d62	26.1602	OK
44	4	d24,d31,d52,d60	-	TIMEOUT
45	8	d6,d12,d22,d26,d27,d29,d42,d60	22.6068	OK
46	8	d3,d6,d25,d41,d43,d46,d61,d63	21.1211	OK
47	8	d6,d12,d15,d34,d43,d51,d55,d58	25.0950	OK
48	8	d8,d11,d15,d17,d27,d29,d55,d57	29.6428	OK
49	6	d9,d28,d35,d51,d54,d55	-	TIMEOUT
50	6	d0,d3,d12,d34,d41,d53	-	TIMEOUT
51	6	d10,d11,d15,d48,d54,d59	-	TIMEOUT
52	6	d13,d25,d30,d31,d52,d55	23.8899	OK
53	4	d0,d7,d21,d48	-	TIMEOUT
54	4	d33,d36,d49,d58	-	TIMEOUT
55	4	d19,d24,d54,d62	-	TIMEOUT
56	4	d7,d27,d37,d40	27.6965	OK
57	8	d3,d7,d30,d32,d33,d37,d54,d58	-	TIMEOUT
58	8	d3,d4,d5,d11,d20,d32,d54,d61	-	TIMEOUT
59	8	d7,d8,d15,d25,d36,d43,d55,d56	23.0433	OK
60	8	d2,d5,d26,d31,d37,d38,d39,d42	24.2710	OK
61	6	d13,d16,d40,d42,d45,d59	19.6822	OK
62	6	d8,d15,d16,d25,d40,d42	-	TIMEOUT
63	6	d4,d20,d29,d38,d48,d59	-	PARSE_FAIL
64	6	d1,d4,d6,d29,d36,d39	-	TIMEOUT
65	4	d16,d27,d33,d44	-	TIMEOUT
66	4	d8,d31,d36,d47	25.1660	OK
67	4	d1,d20,d38,d56	22.9877	OK
68	4	d13,d17,d33,d38	-	PARSE_FAIL
69	8	d6,d9,d14,d17,d18,d35,d47,d56	26.5668	OK
70	8	d13,d16,d21,d26,d40,d43,d45,d54	22.9202	OK
71	8	d3,d5,d16,d40,d54,d57,d58,d62	6.0324	OK
72	8	d0,d2,d8,d17,d21,d49,d53,d54	25.7726	OK
73	6	d10,d28,d33,d35,d45,d47	25.9817	OK
74	6	d0,d4,d7,d35,d54,d56	-	TIMEOUT
75	6	d2,d19,d23,d34,d37,d53	25.7966	OK
76	6	d2,d8,d18,d19,d23,d27	28.7813	OK
77	4	d5,d26,d31,d45	-	TIMEOUT
78	4	d13,d19,d45,d52	23.9882	OK
79	4	d20,d22,d30,d52	-	TIMEOUT
80	4	d3,d22,d42,d52	31.1611	OK
81	8	d6,d10,d17,d24,d31,d44,d50,d55	23.3897	OK
82	8	d4,d12,d14,d22,d29,d30,d52,d54	-	TIMEOUT
83	8	d1,d14,d39,d42,d50,d52,d55,d59	-	TIMEOUT
84	8	d4,d17,d21,d24,d25,d49,d55,d60	20.8642	OK
85	6	d25,d32,d41,d43,d44,d53	24.1061	OK
86	6	d1,d7,d16,d42,d56,d60	24.6512	OK
87	6	d2,d6,d16,d22,d37,d61	23.2918	OK
88	6	d20,d22,d27,d46,d50,d55	8.2664	OK
89	4	d14,d24,d32,d49	-	TIMEOUT
90	4	d0,d5,d25,d55	10.9500	OK
91	4	d8,d42,d46,d55	-	TIMEOUT
92	4	d15,d38,d39,d40	-	TIMEOUT
93	8	d8,d12,d18,d20,d25,d35,d44,d52	21.1825	OK
94	8	d11,d24,d42,d43,d47,d53,d57,d60	-	TIMEOUT
95	8	d0,d13,d18,d19,d25,d35,d38,d53	-	TIMEOUT
96	8	d20,d28,d29,d37,d38,d41,d50,d55	23.0795	OK
97	6	d13,d30,d32,d43,d50,d56	21.3342	OK
98	6	d5,d18,d21,d32,d42,d62	24.6235	OK
99	6	d5,d15,d42,d48,d52,d60	19.3861	OK
100	6	d1,d9,d12,d14,d39,d51	25.0896	OK
101	4	d5,d9,d31,d60	21.0298	OK
102	4	d24,d49,d53,d58	26.2452	OK
103	4	d18,d31,d51,d63	-	TIMEOUT
104	4	d0,d13,d28,d54	-	TIMEOUT
105	8	d3,d22,d29,d33,d35,d44,d51,d61	25.5958	OK
106	8	d7,d8,d29,d31,d51,d54,d58,d59	-	TIMEOUT
107	8	d28,d39,d40,d46,d48,d52,d57,d60	23.9478	OK
108	8	d10,d28,d35,d47,d53,d54,d57,d58	-	TIMEOUT
109	6	d15,d16,d28,d48,d53,d60	25.7362	OK
110	6	d31,d33,d35,d40,d49,d62	21.1218	OK
111	6	d4,d17,d18,d28,d30,d45	-	TIMEOUT
112	6	d17,d20,d21,d30,d34,d57	-	TIMEOUT
113	4	d10,d17,d19,d29	28.7024	OK
114	4	d8,d19,d27,d49	18.0832	OK
115	4	d42,d52,d53,d59	-	TIMEOUT
116	4	d7,d26,d49,d53	24.5368	OK
117	8	d0,d2,d24,d30,d36,d48,d54,d56	-	TIMEOUT
118	8	d19,d24,d26,d45,d48,d53,d54,d57	28.3238	OK
119	8	d1,d14,d17,d24,d27,d28,d31,d62	26.4430	OK
120	8	d10,d25,d42,d43,d46,d51,d53,d63	-	TIMEOUT
121	6	d1,d8,d34,d39,d58,d59	22.7690	OK
122	6	d1,d5,d36,d37,d42,d50	23.7314	OK
123	6	d3,d8,d11,d29,d54,d55	5.3150	OK
124	6	d13,d20,d24,d29,d33,d61	30.3409	OK
125	4	d35,d43,d48,d53	-	TIMEOUT
126	4	d2,d10,d32,d60	28.0139	OK
127	4	d6,d8,d28,d44	-	TIMEOUT
128	4	d3,d5,d25,d31	21.0834	OK
129	8	d2,d7,d8,d9,d15,d30,d39,d42	-	TIMEOUT
130	8	d10,d16,d23,d27,d29,d38,d44,d49	30.7695	OK
131	8	d1,d6,d10,d14,d19,d37,d49,d52	21.3887	OK
132	8	d12,d24,d25,d36,d39,d43,d45,d58	-	TIMEOUT
133	6	d9,d15,d37,d40,d44,d53	28.1187	OK
134	6	d13,d19,d43,d44,d49,d54	-	TIMEOUT
135	6	d2,d15,d22,d36,d50,d62	-	TIMEOUT
136	6	d4,d23,d32,d41,d42,d54	24.4470	OK
137	4	d1,d43,d53,d62	24.6022	OK
138	4	d13,d46,d55,d58	-	TIMEOUT
139	4	d19,d22,d34,d55	24.7329	OK
140	4	d34,d55,d59,d61	-	TIMEOUT
141	8	d5,d15,d17,d41,d53,d54,d56,d59	22.1042	OK
142	8	d15,d24,d29,d36,d39,d42,d48,d57	-	TIMEOUT
143	8	d1,d11,d13,d20,d31,d43,d54,d61	21.7805	OK
144	8	d16,d17,d21,d38,d44,d45,d51,d56	25.5818	OK
145	6	d0,d5,d12,d33,d35,d63	23.5274	OK
146	6	d26,d30,d31,d35,d46,d48	28.3065	OK
147	6	d30,d31,d41,d44,d45,d63	-	TIMEOUT
148	6	d1,d5,d14,d18,d50,d57	10.0105	OK
149	4	d31,d39,d47,d51	-	TIMEOUT
150	4	d42,d44,d54,d60	20.6928	OK
151	4	d34,d39,d45,d58	38.2542	OK
152	4	d15,d24,d29,d32	21.8470	OK
153	8	d7,d11,d12,d34,d40,d44,d47,d48	-	TIMEOUT
154	8	d17,d27,d30,d33,d37,d46,d47,d48	24.9739	OK
155	8	d6,d12,d14,d18,d23,d36,d53,d62	6.3094	OK
156	8	d0,d2,d8,d17,d19,d22,d34,d45	24.0467	OK
157	6	d6,d8,d18,d35,d40,d44	29.7738	OK
158	6	d0,d6,d18,d36,d55,d62	26.7130	OK
159	6	d3,d11,d21,d28,d30,d60	22.8052	OK
160	6	d7,d30,d32,d52,d55,d60	26.4579	OK
161	4	d8,d9,d51,d62	-	TIMEOUT
162	4	d6,d10,d19,d38	31.3333	OK
163	4	d15,d28,d31,d53	-	TIMEOUT
164	4	d38,d48,d56,d57	-	TIMEOUT
165	8	d3,d6,d19,d36,d39,d47,d54,d60	-	TIMEOUT
166	8	d5,d10,d13,d15,d16,d26,d40,d42	31.0471	OK
167	8	d0,d4,d10,d22,d26,d28,d35,d44	23.8659	OK
168	8	d2,d14,d18,d44,d45,d59,d60,d62	26.8547	OK
169	6	d4,d14,d16,d43,d58,d59	29.6436	OK
170	6	d7,d14,d25,d27,d34,d41	32.7402	OK
171	6	d4,d9,d17,d19,d52,d58	-	TIMEOUT
172	6	d7,d10,d19,d38,d47,d50	-	TIMEOUT
173	4	d15,d36,d56,d59	20.0818	OK
174	4	d34,d38,d51,d63	29.3394	OK
175	4	d5,d10,d55,d56	24.4530	OK
176	4	d3,d11,d32,d41	-	TIMEOUT
177	8	d1,d29,d36,d37,d43,d53,d55,d61	23.6941	OK
178	8	d2,d11,d30,d33,d34,d36,d48,d60	-	TIMEOUT
179	8	d11,d17,d27,d37,d40,d52,d56,d58	23.0251	OK
180	8	d5,d20,d21,d22,d26,d30,d62,d63	24.5862	OK
181	6	d10,d13,d21,d26,d44,d54	25.7311	OK
182	6	d18,d25,d42,d52,d60,d63	31.5990	OK
183	6	d4,d5,d16,d20,d29,d60	30.0447	OK
184	6	d14,d25,d32,d49,d55,d62	25.3416	OK
185	4	d0,d6,d52,d59	-	TIMEOUT
186	4	d24,d46,d56,d63	-	TIMEOUT
187	4	d6,d16,d26,d34	-	TIMEOUT
188	4	d15,d36,d56,d62	-	TIMEOUT
