Trial	N_Channels	Channels	ATE_Mean_cm	Status
1	6	d1,d14,d15,d17,d47,d63	24.8747	OK
2	6	d6,d17,d43,d47,d57,d62	22.2665	OK
3	6	d1,d2,d5,d11,d27,d37	34.6498	OK
4	6	d1,d14,d27,d32,d35,d38	28.1886	OK
5	4	d25,d28,d53,d57	30.4115	OK
6	4	d0,d20,d35,d54	35.1918	OK
7	4	d19,d27,d35,d43	33.4377	OK
8	4	d11,d13,d43,d48	33.0707	OK
9	8	d2,d12,d16,d22,d38,d51,d54,d62	26.2620	OK
10	8	d5,d7,d18,d24,d34,d35,d58,d59	21.9747	OK
11	8	d2,d4,d12,d14,d36,d42,d45,d46	22.6603	OK
12	8	d5,d6,d14,d17,d24,d37,d54,d55	30.1903	OK
13	6	d10,d23,d40,d53,d58,d60	28.5433	OK
14	6	d13,d17,d42,d43,d44,d45	21.9716	OK
15	6	d9,d10,d34,d38,d40,d46	30.4668	OK
16	6	d10,d17,d24,d29,d31,d40	25.0948	OK
17	4	d7,d28,d29,d41	28.8254	OK
18	4	d4,d34,d40,d51	18.7226	OK
19	4	d8,d27,d40,d63	29.6924	OK
20	4	d18,d33,d50,d58	21.7703	OK
21	8	d15,d16,d17,d34,d35,d37,d47,d61	26.3518	OK
22	8	d8,d14,d23,d25,d32,d37,d54,d57	30.2048	OK
23	8	d3,d5,d7,d9,d40,d48,d55,d63	40.7832	OK
24	8	d4,d20,d24,d27,d38,d43,d50,d57	21.7796	OK
25	6	d0,d16,d33,d35,d55,d59	20.3659	OK
26	6	d14,d17,d34,d43,d48,d56	34.7422	OK
27	6	d7,d10,d18,d27,d29,d43	27.5251	OK
28	6	d0,d16,d46,d56,d61,d62	20.2460	OK
29	4	d13,d22,d25,d38	26.8095	OK
30	4	d0,d19,d20,d47	28.5971	OK
31	4	d2,d14,d41,d62	48.8123	OK
32	4	d7,d30,d39,d46	31.8713	OK
33	8	d5,d30,d31,d36,d46,d56,d59,d60	21.1586	OK
34	8	d8,d34,d42,d48,d49,d58,d62,d63	24.7287	OK
35	8	d10,d16,d33,d35,d38,d55,d60,d63	26.1422	OK
36	8	d13,d34,d44,d46,d48,d54,d59,d61	28.9137	OK
37	6	d19,d25,d41,d42,d45,d63	26.2620	OK
38	6	d7,d28,d33,d47,d57,d62	29.9596	OK
39	6	d1,d4,d14,d21,d31,d37	22.2980	OK
40	6	d0,d4,d14,d29,d37,d45	22.8708	OK
41	4	d4,d7,d8,d29	21.1889	OK
42	4	d9,d30,d35,d42	23.7165	OK
43	4	d16,d27,d60,d62	21.4295	OK
44	4	d24,d31,d52,d60	29.7622	OK
45	8	d6,d12,d22,d26,d27,d29,d42,d60	19.5375	OK
46	8	d3,d6,d25,d41,d43,d46,d61,d63	25.9330	OK
47	8	d6,d12,d15,d34,d43,d51,d55,d58	19.2554	OK
48	8	d8,d11,d15,d17,d27,d29,d55,d57	24.6067	OK
49	6	d9,d28,d35,d51,d54,d55	26.0117	OK
