channel,condition,local_sharpness,global_sharpness,x_local,y_local
0,Clean,0.003946,0.017144,0.002924,0.004968
0,+30%,0.006607,0.012461,0.009583,0.003632
0,+50%,0.008654,0.009021,0.008242,0.009067
1,Clean,0.003432,0.016938,0.003329,0.003536
1,+30%,0.003099,0.014477,0.003670,0.002529
1,+50%,0.007457,0.009349,0.009787,0.005126
2,Clean,0.003019,0.015430,0.002061,0.003976
2,+30%,0.007977,0.010249,0.011967,0.003987
2,+50%,0.009469,0.009544,0.007264,0.011673
3,Clean,0.003803,0.017272,0.003603,0.004003
3,+30%,0.006043,0.012044,0.002385,0.009700
3,+50%,0.008026,0.010105,0.008295,0.007757
4,Clean,0.004042,0.015977,0.002252,0.005832
4,+30%,0.003869,0.015337,0.003288,0.004450
4,+50%,0.004183,0.015843,0.003636,0.004730
5,Clean,0.003615,0.016124,0.002589,0.004640
5,+30%,0.006707,0.013932,0.003514,0.009899
5,+50%,0.008906,0.011723,0.005235,0.012577
6,Clean,0.003461,0.016772,0.002282,0.004640
6,+30%,0.006460,0.012378,0.004670,0.008250
6,+50%,0.007971,0.010027,0.001310,0.014631
7,Clean,0.004080,0.016679,0.002470,0.005689
7,+30%,0.004412,0.015164,0.002218,0.006606
7,+50%,0.003275,0.013134,0.001578,0.004972
8,Clean,0.003396,0.015785,0.002982,0.003810
8,+30%,0.008391,0.008882,0.003118,0.013664
8,+50%,0.007759,0.008260,0.014594,0.000924
9,Clean,0.003050,0.015531,0.002465,0.003635
9,+30%,0.006629,0.011018,0.003952,0.009306
9,+50%,0.006919,0.010739,0.011928,0.001910
10,Clean,0.005177,0.019670,0.003759,0.006595
10,+30%,0.005895,0.009797,0.003565,0.008225
10,+50%,0.009561,0.009145,0.003412,0.015711
11,Clean,0.002834,0.013878,0.002289,0.003379
11,+30%,0.003189,0.015033,0.002759,0.003619
11,+50%,0.005941,0.010816,0.004335,0.007547
12,Clean,0.003849,0.016884,0.002985,0.004713
12,+30%,0.007127,0.010910,0.001820,0.012435
12,+50%,0.008023,0.013651,0.008608,0.007438
13,Clean,0.003704,0.016708,0.002769,0.004638
13,+30%,0.003776,0.016006,0.002831,0.004722
13,+50%,0.004161,0.012924,0.003946,0.004376
14,Clean,0.004008,0.017693,0.003632,0.004383
14,+30%,0.008362,0.008310,0.009766,0.006958
14,+50%,0.008295,0.008706,0.014954,0.001636
15,Clean,0.003683,0.016466,0.002537,0.004828
15,+30%,0.006831,0.014796,0.009162,0.004500
15,+50%,0.009091,0.012016,0.014622,0.003559
16,Clean,0.003745,0.016563,0.003291,0.004199
16,+30%,0.009214,0.011870,0.004386,0.014043
16,+50%,0.007379,0.010885,0.010141,0.004616
17,Clean,0.003550,0.016623,0.003235,0.003865
17,+30%,0.010177,0.009686,0.007783,0.012570
17,+50%,0.010050,0.011832,0.011167,0.008934
18,Clean,0.003178,0.015469,0.002782,0.003574
18,+30%,0.007629,0.012894,0.005176,0.010082
18,+50%,0.009476,0.009684,0.008347,0.010605
19,Clean,0.003429,0.016393,0.002811,0.004046
19,+30%,0.004519,0.016165,0.002523,0.006516
19,+50%,0.006143,0.012054,0.001510,0.010776
20,Clean,0.003310,0.014943,0.002222,0.004398
20,+30%,0.007678,0.009192,0.007481,0.007876
20,+50%,0.006000,0.013653,0.003945,0.008056
21,Clean,0.004126,0.018246,0.004124,0.004128
21,+30%,0.005275,0.015399,0.003711,0.006839
21,+50%,0.010217,0.009128,0.005754,0.014680
22,Clean,0.003339,0.016583,0.002260,0.004418
22,+30%,0.003336,0.015059,0.001924,0.004749
22,+50%,0.003833,0.013379,0.003825,0.003841
23,Clean,0.003568,0.016156,0.001955,0.005180
23,+30%,0.007037,0.009886,0.001922,0.012152
23,+50%,0.007571,0.009606,0.001589,0.013553
24,Clean,0.003890,0.016970,0.003331,0.004450
24,+30%,0.008502,0.010225,0.008630,0.008373
24,+50%,0.007768,0.008812,0.007284,0.008252
25,Clean,0.003504,0.016309,0.002390,0.004619
25,+30%,0.007717,0.009901,0.001894,0.013541
25,+50%,0.007770,0.009787,0.001488,0.014052
26,Clean,0.003145,0.015141,0.003134,0.003155
26,+30%,0.005126,0.012466,0.002647,0.007605
26,+50%,0.003416,0.013987,0.004080,0.002753
27,Clean,0.003784,0.017094,0.002652,0.004916
27,+30%,0.008114,0.008311,0.004015,0.012212
27,+50%,0.008659,0.008397,0.008021,0.009298
28,Clean,0.002758,0.013475,0.002105,0.003411
28,+30%,0.006379,0.008359,0.002963,0.009794
28,+50%,0.006235,0.008272,0.001194,0.011276
29,Clean,0.003686,0.017371,0.002980,0.004393
29,+30%,0.010606,0.011223,0.009009,0.012202
29,+50%,0.008790,0.009328,0.003641,0.013940
30,Clean,0.002912,0.013891,0.002282,0.003541
30,+30%,0.004623,0.013752,0.004859,0.004387
30,+50%,0.003961,0.013411,0.003767,0.004155
31,Clean,0.003706,0.017446,0.002839,0.004574
31,+30%,0.007165,0.011863,0.009474,0.004857
31,+50%,0.008671,0.009521,0.011701,0.005640
32,Clean,0.003844,0.017108,0.002596,0.005091
32,+30%,0.006003,0.011087,0.008135,0.003871
32,+50%,0.008347,0.008339,0.012343,0.004351
33,Clean,0.003712,0.017397,0.003043,0.004382
33,+30%,0.006291,0.013294,0.002411,0.010171
33,+50%,0.008709,0.009927,0.003398,0.014021
34,Clean,0.004392,0.018060,0.003076,0.005708
34,+30%,0.004753,0.012141,0.001893,0.007612
34,+50%,0.009609,0.010338,0.006375,0.012842
35,Clean,0.003440,0.015667,0.003114,0.003767
35,+30%,0.003566,0.015028,0.003596,0.003536
35,+50%,0.004541,0.013870,0.002712,0.006370
36,Clean,0.003296,0.016541,0.002146,0.004446
36,+30%,0.006849,0.011483,0.008790,0.004909
36,+50%,0.005657,0.010542,0.007332,0.003982
37,Clean,0.003538,0.016840,0.002253,0.004823
37,+30%,0.004549,0.014059,0.005469,0.003629
37,+50%,0.005567,0.013480,0.007358,0.003776
38,Clean,0.003190,0.015892,0.002948,0.003432
38,+30%,0.007146,0.011709,0.002435,0.011856
38,+50%,0.008960,0.010464,0.005701,0.012218
39,Clean,0.004129,0.018092,0.003723,0.004536
39,+30%,0.007290,0.012071,0.011403,0.003177
39,+50%,0.006554,0.012689,0.010833,0.002275
40,Clean,0.003679,0.016564,0.002470,0.004888
40,+30%,0.004449,0.014286,0.005055,0.003842
40,+50%,0.005561,0.011440,0.007029,0.004093
41,Clean,0.002868,0.014076,0.002466,0.003271
41,+30%,0.005849,0.010662,0.009536,0.002161
41,+50%,0.008824,0.010736,0.004583,0.013065
42,Clean,0.003301,0.016318,0.004053,0.002548
42,+30%,0.003810,0.015225,0.003406,0.004214
42,+50%,0.003802,0.014073,0.005225,0.002379
43,Clean,0.003118,0.014358,0.002329,0.003906
43,+30%,0.006944,0.012254,0.004562,0.009327
43,+50%,0.006487,0.009852,0.004505,0.008468
44,Clean,0.003467,0.015379,0.003282,0.003652
44,+30%,0.009301,0.009421,0.009376,0.009225
44,+50%,0.008673,0.008287,0.006261,0.011085
45,Clean,0.003264,0.015623,0.003440,0.003088
45,+30%,0.003823,0.015031,0.004315,0.003330
45,+50%,0.005639,0.011474,0.005920,0.005357
46,Clean,0.003144,0.015562,0.002278,0.004009
46,+30%,0.003583,0.011830,0.001738,0.005429
46,+50%,0.006665,0.012675,0.002508,0.010821
47,Clean,0.002987,0.014954,0.002293,0.003680
47,+30%,0.006664,0.010846,0.009529,0.003799
47,+50%,0.007043,0.010809,0.005520,0.008566
48,Clean,0.004161,0.018637,0.003727,0.004594
48,+30%,0.009614,0.009062,0.006638,0.012591
48,+50%,0.009398,0.013944,0.004149,0.014648
