combo_name,step,n_channels,channel_str,removed_channel,ret50_mean,ret50_std,ret50_min,ret30_mean,local_clean_mean,local_50_mean,cn50_mean
Rank01_Run05,0,8,"6,7,12,15,36,45,58,62",,125.4438989393841,7.949229342581633,114.68434210048346,119.56715426530292,0.04980318364812512,0.06213448159250898,1.5966972883841368
Rank01_Run05,1,7,"6,7,12,15,36,58,62",45,132.14809306753173,12.33474483811641,121.381421547406,135.53144302944006,0.06396305162774295,0.08338094779264167,1.5825997282120072
Rank01_Run05,2,6,"7,12,15,36,58,62",6,157.64920056954435,25.351613611261772,123.8440016261753,180.99297387282797,0.07050291464901125,0.10700797822928217,1.6476343873643853
Rank01_Run05,3,5,"12,15,36,58,62",7,157.64920056954438,25.35161361126176,123.8440016261755,180.992973872828,0.07050291464901123,0.10700797822928217,1.6476343873643906
Rank01_Run05,4,4,"12,15,58,62",36,157.64920056954463,25.35161361126206,123.84400162617537,180.99297387282843,0.0705029146490112,0.10700797822928226,1.6476343873643904
Rank01_Run05,5,3,"12,15,58",62,142.65832372708027,22.470332167165708,112.78130239420676,163.79308174364644,0.07780557455920338,0.1070079782292823,1.6476343873643862
Rank01_Run05,6,2,"15,58",12,120.73506013829335,17.7614453858177,95.85438185675667,137.0625255044402,0.09141550279350562,0.10700797822928221,1.647634387364391
Rank01_Run05,7,1,15,58,83.19385361189394,7.543974973644812,76.51074398506917,94.0838151923889,0.12890256750572957,0.10700797822928228,1.6476343873643893
Rank02_Run01,0,8,"8,22,23,27,28,42,48,60",,107.24477230644322,15.78273132260967,91.40290846889744,109.5600794372972,0.04791939137894402,0.05159032277446627,1.4694531205084926
Rank02_Run01,1,7,"8,22,23,27,28,42,48",60,122.00657047320466,24.252800271755323,102.9169895130003,118.72132759178987,0.044069944842236385,0.053813453402934884,1.3680520156316558
Rank02_Run01,2,6,"8,22,23,27,42,48",28,129.92726911749787,34.52896219075281,103.32540253609994,125.01477492026292,0.04415292854079561,0.05748972479431628,1.3504654703137131
Rank02_Run01,3,5,"8,23,27,42,48",22,141.63980070702465,27.418715694252082,121.17022428120146,136.80863434258157,0.048205297035724744,0.06733870257880743,1.710077345028221
Rank02_Run01,4,4,"8,23,27,48",42,169.83718652857348,40.19152001156677,139.61164451137313,165.24170391146936,0.04368495592463364,0.07196524556014121,1.3713057638282564
Rank02_Run01,5,3,"8,27,48",23,197.77842041217704,62.68981768812689,144.08096192293144,218.6940392192346,0.02242286659914884,0.04162079782142264,1.345652149539032
Rank02_Run01,6,2,"8,27",48,197.7784204121771,62.689817688126084,144.08096192293158,218.69403921923438,0.022422866599148845,0.04162079782142269,1.3456521495390275
Rank02_Run01,7,1,8,27,186.75604105507787,59.35360032729194,116.13952305668165,267.67316720959667,0.018154169649574444,0.031482634243509,1.6624081481831456
