channel,bqs_score,basin_quality,retention_30,retention_50,shape_retention_avg,shape_sim_30,shape_sim_50,sharp_ret_30,sharp_ret_50,minpos_30,minpos_50,bright_sym_30,bright_sym_50,rank,local_quadratic_bowl_score,r2,min_eigval,symmetry_score,basin_width,local_convergence_sr,local_sharpness,condition_number,coeff_xx,coeff_yy
6,0.614446,0.655576,0.976267,0.911256,0.937260,0.993333,0.966401,1.000000,1.000000,1.000000,1.000000,0.982820,0.942938,1,0.438446,0.831713,0.002238,0.998348,5.099020,1.000000,0.033506,1.308507,0.001829,0.001665
19,0.502255,0.583477,0.875024,0.851313,0.860797,0.932414,0.944771,1.000000,0.987202,1.000000,1.000000,0.938450,0.912760,2,0.387910,0.754261,0.002152,0.992212,5.099020,1.000000,0.035672,3.011797,0.001078,0.003550
28,0.474624,0.704955,0.749231,0.622626,0.673268,0.975562,0.924902,0.840092,0.812838,1.000000,0.929289,0.914185,0.891203,3,0.467670,0.831017,0.002602,0.995353,6.403124,1.000000,0.027393,1.564305,0.001831,0.002006
52,0.446018,0.563412,0.880289,0.732534,0.791636,0.988489,0.974994,0.907619,0.778889,1.000000,1.000000,0.981183,0.964607,4,0.376435,0.737920,0.002112,0.993193,4.472136,1.000000,0.044907,1.695010,0.001379,0.002042
21,0.370758,0.692899,0.681768,0.437293,0.535083,0.862238,0.645016,1.000000,1.000000,0.929289,0.929289,0.850860,0.729544,5,0.448724,0.878868,0.002125,0.991199,8.944272,1.000000,0.016328,2.825995,0.001264,0.002344
22,0.366272,0.505490,0.740817,0.713766,0.724587,0.800264,0.879598,1.000000,1.000000,1.000000,1.000000,0.925715,0.811469,6,0.329185,0.751554,0.001761,0.935376,6.082763,1.000000,0.028068,2.415200,0.002037,0.000979
32,0.337980,0.631714,0.674201,0.442234,0.535021,0.944488,0.849273,0.795929,0.678354,1.000000,0.929289,0.896848,0.826033,7,0.403816,0.858894,0.001789,0.995799,9.433981,1.000000,0.018519,1.705896,0.001217,0.001991
45,0.322305,0.800346,0.596840,0.273286,0.402707,0.805326,0.454359,1.000000,1.000000,0.929289,0.929289,0.797508,0.647242,8,0.525689,0.911184,0.002769,0.993582,8.544004,1.000000,0.014556,1.555002,0.001441,0.002312
46,0.314477,0.702572,0.683155,0.290576,0.447608,0.853495,0.576688,0.951100,0.775394,1.000000,0.900000,0.841574,0.722028,9,0.458387,0.877741,0.002209,0.995154,8.246211,1.000000,0.020770,2.257635,0.001141,0.002125
27,0.313304,0.596174,0.636703,0.451407,0.525525,0.872348,0.724239,0.804582,0.741239,1.000000,1.000000,0.907145,0.840869,10,0.396809,0.720800,0.002648,0.966277,5.099020,1.000000,0.039611,2.771980,0.001394,0.003253
20,0.302699,0.449506,0.803448,0.586706,0.673403,0.906036,0.717533,1.000000,1.000000,1.000000,1.000000,0.886772,0.817671,11,0.300175,0.555524,0.002523,0.968623,3.605551,1.000000,0.070435,3.006698,0.002274,0.001262
55,0.291966,0.666594,0.628322,0.311114,0.437997,0.782179,0.463631,0.989848,1.000000,1.000000,1.000000,0.811535,0.671037,12,0.440782,0.835566,0.002269,0.992575,6.403124,0.984091,0.077034,2.541069,0.001243,0.001513
60,0.285812,0.431538,0.737640,0.612088,0.662309,0.831446,0.806563,1.000000,0.907103,1.000000,1.000000,0.887177,0.836603,13,0.281822,0.674592,0.001601,0.939732,5.000000,0.970455,0.068320,3.733784,0.000800,0.001918
41,0.281949,0.472807,0.731469,0.506237,0.596330,0.829435,0.622979,1.000000,1.000000,1.000000,1.000000,0.881888,0.812608,14,0.319009,0.616987,0.002162,0.995413,3.000000,1.000000,0.089777,3.482581,0.001722,0.001381
42,0.270060,0.399896,0.804247,0.589375,0.675324,0.887071,0.711902,1.000000,1.000000,1.000000,1.000000,0.906632,0.827888,15,0.259235,0.595634,0.001586,0.984230,5.099020,1.000000,0.055210,6.038203,0.000890,0.002467
1,0.237169,0.340071,0.769751,0.649182,0.697410,0.809629,0.841413,1.000000,1.000000,1.000000,0.929289,0.950745,0.830245,16,0.216120,0.671413,0.001104,0.905055,5.385165,0.927273,0.044510,4.177717,0.000791,0.002654
51,0.225003,0.489376,0.617561,0.354585,0.459775,0.818562,0.659500,0.895166,0.767220,1.000000,0.929289,0.842800,0.754110,17,0.313229,0.718150,0.001594,0.983345,7.211103,1.000000,0.051515,4.210669,0.001198,0.001862
29,0.222911,0.563930,0.788844,0.132907,0.395282,0.901574,0.577546,1.000000,0.460288,1.000000,0.929289,0.874964,0.537996,18,0.374618,0.768025,0.002184,0.934401,5.000000,1.000000,0.051048,2.211814,0.001110,0.002647
53,0.214628,0.547126,0.611137,0.246379,0.392282,0.754257,0.449982,1.000000,0.920638,1.000000,0.900000,0.810249,0.660811,19,0.348445,0.784905,0.001639,0.985492,8.485281,1.000000,0.057905,2.687735,0.001269,0.001701
49,0.209627,0.290276,0.739986,0.710281,0.722163,0.781345,0.815264,1.000000,1.000000,1.000000,1.000000,0.947067,0.871228,20,0.185937,0.441479,0.001608,0.944892,4.242641,0.859091,0.098089,3.393398,0.001197,0.001495
63,0.208865,0.239411,0.902393,0.852419,0.872408,0.936266,0.931921,1.000000,1.000000,1.000000,1.000000,0.963822,0.914690,21,0.156126,0.365485,0.001600,0.961101,2.828427,0.759091,0.158576,3.488336,0.000919,0.001838
33,0.201919,0.682121,0.440475,0.199710,0.296016,0.761228,0.481018,0.721845,0.680717,1.000000,0.929289,0.801609,0.656327,22,0.461082,0.810711,0.002704,0.989398,4.123106,1.000000,0.042057,1.415053,0.001693,0.001817
16,0.201763,0.751718,0.671006,0.000000,0.268402,0.839241,0.398871,1.000000,1.000000,1.000000,0.000000,0.799539,0.615984,23,0.479802,0.943831,0.002108,0.990736,11.401754,1.000000,0.010915,1.577065,0.001308,0.001800
34,0.194006,0.753765,0.643458,0.000000,0.257383,0.802666,0.032140,1.000000,0.463590,1.000000,0.000000,0.801651,0.580811,24,0.490249,0.909769,0.002448,0.979152,9.219544,1.000000,0.020449,1.419643,0.001539,0.001849
23,0.190155,0.274070,0.753129,0.654279,0.693819,0.888736,0.771005,0.908880,0.955477,1.000000,1.000000,0.932374,0.888149,25,0.182865,0.406716,0.001701,0.978344,2.236068,0.872727,0.153648,2.699465,0.000854,0.001925
58,0.179187,0.671154,0.667460,0.000000,0.266984,0.720028,0.000000,1.000000,0.000000,1.000000,0.000000,0.926991,0.000000,26,0.448182,0.797224,0.002988,0.938498,5.385165,1.000000,0.048208,1.270010,0.001522,0.002123
61,0.169643,0.777797,0.526164,0.012736,0.218107,0.771320,0.459096,1.000000,0.906938,0.900000,0.048685,0.757956,0.628299,27,0.498995,0.943422,0.002265,0.995937,11.180340,1.000000,0.009803,1.233098,0.001311,0.001872
47,0.168387,0.386593,0.545214,0.362468,0.435566,0.773901,0.693066,0.824366,0.646099,1.000000,1.000000,0.854597,0.809460,28,0.250319,0.504251,0.001989,0.995546,5.000000,0.920455,0.107709,3.360380,0.001001,0.001706
0,0.158106,0.294566,0.472296,0.579706,0.536742,0.593070,0.768965,1.000000,1.000000,1.000000,1.000000,0.796357,0.753878,29,0.073016,0.899267,0.000224,0.805948,32.310989,1.000000,0.013705,14.262128,0.000112,0.001938
31,0.155639,0.268312,0.756438,0.462489,0.580068,0.864039,0.604302,0.984648,0.985529,1.000000,1.000000,0.889116,0.776564,30,0.169594,0.419630,0.001377,0.991024,4.472136,0.750000,0.058017,4.123674,0.000714,0.002391
14,0.150378,0.456208,0.563269,0.173863,0.329625,0.903831,0.659307,0.681796,0.355314,1.000000,1.000000,0.914058,0.742176,31,0.304873,0.633748,0.001889,0.990411,3.605551,1.000000,0.057754,2.247463,0.004017,0.001503
15,0.140668,0.187622,0.837279,0.691381,0.749740,0.982620,0.937601,0.883751,0.787652,1.000000,1.000000,0.964172,0.936193,32,0.122272,0.334153,0.001187,0.982542,2.236068,0.702273,0.173517,3.554517,0.000766,0.002472
37,0.135218,0.700909,0.459122,0.015449,0.192918,0.713124,0.396632,0.953406,0.719416,0.929289,0.094461,0.726665,0.573154,33,0.438388,0.932756,0.001788,0.995591,12.806248,1.000000,0.013410,1.243058,0.001201,0.001680
5,0.132765,0.145920,0.930142,0.896318,0.909848,0.991517,0.969957,0.971995,0.971754,1.000000,1.000000,0.965128,0.950940,34,0.093043,0.297095,0.000920,0.994122,2.236068,0.700000,0.133703,3.134151,0.002447,0.000916
11,0.110788,0.245031,0.667576,0.308515,0.452140,0.852658,0.709118,0.854740,0.514552,1.000000,1.000000,0.915992,0.845531,35,0.154224,0.443707,0.001095,0.982167,4.242641,0.936364,0.095539,4.264146,0.001425,0.001731
43,0.108407,0.274931,0.595435,0.260222,0.394307,0.656401,0.405029,1.000000,0.808701,1.000000,1.000000,0.907121,0.794454,36,0.175181,0.394958,0.001742,0.952794,4.242641,0.825000,0.110998,3.642875,0.001004,0.001575
26,0.093359,0.394621,0.397230,0.129478,0.236579,0.812177,0.627813,0.566006,0.294505,1.000000,1.000000,0.864112,0.700284,37,0.260076,0.688689,0.001220,0.996588,4.000000,0.897727,0.056984,4.400678,0.000614,0.006343
57,0.086023,0.468683,0.318040,0.093877,0.183542,0.647975,0.443159,0.615022,0.360377,1.000000,0.900000,0.798056,0.653130,38,0.311480,0.715353,0.001614,0.974974,4.123106,1.000000,0.043584,3.664804,0.000948,0.004130
