rank,channel,basin_quality
1,45,0.800346
2,61,0.777797
3,34,0.753765
4,16,0.751718
5,62,0.741451
6,28,0.704955
7,46,0.702572
8,37,0.700909
9,18,0.694368
10,21,0.692899
11,54,0.684605
12,33,0.682121
13,17,0.672228
14,58,0.671154
15,55,0.666594
16,6,0.655576
17,32,0.631714
18,12,0.627367
19,3,0.608476
20,35,0.601830
21,27,0.596174
22,19,0.583477
23,29,0.563930
24,52,0.563412
25,53,0.547126
26,22,0.505490
27,51,0.489376
28,56,0.479630
29,41,0.472807
30,57,0.468683
31,44,0.458453
32,14,0.456208
33,20,0.449506
34,60,0.431538
35,25,0.414967
36,42,0.399896
37,39,0.395300
38,26,0.394621
39,47,0.386593
40,10,0.345450
41,1,0.340071
42,50,0.315537
43,8,0.313137
44,0,0.294566
45,49,0.290276
46,43,0.274931
47,23,0.274070
48,31,0.268312
49,24,0.265127
50,11,0.245031
51,63,0.239411
52,15,0.187622
53,30,0.166510
54,5,0.145920
55,40,0.085949
56,59,0.054489
57,48,0.000000
58,7,0.000000
59,9,0.000000
60,4,0.000000
61,36,0.000000
62,38,0.000000
63,13,0.000000
64,2,0.000000
