rank,channel,basin_width
1,8,42.426407
2,0,32.310989
3,35,16.278821
4,37,12.806248
5,16,11.401754
6,61,11.180340
7,24,11.045361
8,32,9.433981
9,12,9.219544
10,34,9.219544
11,21,8.944272
12,45,8.544004
13,53,8.485281
14,46,8.246211
15,62,7.810250
16,51,7.211103
17,55,6.403124
18,28,6.403124
19,54,6.403124
20,3,6.082763
21,22,6.082763
22,1,5.385165
23,58,5.385165
24,27,5.099020
25,44,5.099020
26,19,5.099020
27,6,5.099020
28,42,5.099020
29,47,5.000000
30,10,5.000000
31,29,5.000000
32,30,5.000000
33,60,5.000000
34,52,4.472136
35,56,4.472136
36,31,4.472136
37,43,4.242641
38,49,4.242641
39,11,4.242641
40,50,4.242641
41,57,4.123106
42,17,4.123106
43,33,4.123106
44,25,4.123106
45,26,4.000000
46,39,3.605551
47,20,3.605551
48,14,3.605551
49,18,3.162278
50,41,3.000000
51,63,2.828427
52,15,2.236068
53,23,2.236068
54,5,2.236068
55,59,2.000000
56,40,1.414214
57,48,0.000000
58,7,0.000000
59,9,0.000000
60,4,0.000000
61,36,0.000000
62,38,0.000000
63,13,0.000000
64,2,0.000000
