rank,channel,bqs_score
1,6,0.614446
2,19,0.502255
3,28,0.474624
4,52,0.446018
5,21,0.370758
6,22,0.366272
7,32,0.337980
8,45,0.322305
9,46,0.314477
10,27,0.313304
11,20,0.302699
12,55,0.291966
13,60,0.285812
14,41,0.281949
15,42,0.270060
16,1,0.237169
17,51,0.225003
18,29,0.222911
19,53,0.214628
20,49,0.209627
21,63,0.208865
22,33,0.201919
23,16,0.201763
24,34,0.194006
25,23,0.190155
26,58,0.179187
27,61,0.169643
28,47,0.168387
29,0,0.158106
30,31,0.155639
31,14,0.150378
32,15,0.140668
33,37,0.135218
34,5,0.132765
35,11,0.110788
36,43,0.108407
37,26,0.093359
38,57,0.086023
39,10,0.084016
40,56,0.081336
41,44,0.071953
42,40,0.070399
43,8,0.069345
44,50,0.066292
45,39,0.051414
46,59,0.051152
47,25,0.028444
48,30,0.019294
49,35,0.012965
50,24,0.007489
51,18,0.001493
52,36,0.000000
53,48,0.000000
54,7,0.000000
55,9,0.000000
56,4,0.000000
57,54,0.000000
58,3,0.000000
59,17,0.000000
60,12,0.000000
61,38,0.000000
62,13,0.000000
63,2,0.000000
64,62,0.000000
