rank,channel,bright_sym_50
1,52,0.964607
2,59,0.960299
3,5,0.950940
4,6,0.942938
5,15,0.936193
6,63,0.914690
7,19,0.912760
8,40,0.893711
9,28,0.891203
10,23,0.888149
11,49,0.871228
12,11,0.845531
13,27,0.840869
14,60,0.836603
15,1,0.830245
16,42,0.827888
17,32,0.826033
18,20,0.817671
19,41,0.812608
20,22,0.811469
21,47,0.809460
22,10,0.803820
23,43,0.794454
24,31,0.776564
25,44,0.767521
26,51,0.754110
27,0,0.753878
28,14,0.742176
29,21,0.729544
30,46,0.722028
31,26,0.700284
32,18,0.689124
33,55,0.671037
34,53,0.660811
35,33,0.656327
36,56,0.655043
37,57,0.653130
38,45,0.647242
39,61,0.628299
40,16,0.615984
41,25,0.583547
42,34,0.580811
43,37,0.573154
44,17,0.571554
45,30,0.552660
46,39,0.544223
47,29,0.537996
48,50,0.529967
49,35,0.464375
50,24,0.442395
51,8,0.403295
52,3,0.000000
53,2,0.000000
54,13,0.000000
55,38,0.000000
56,12,0.000000
57,7,0.000000
58,54,0.000000
59,4,0.000000
60,9,0.000000
61,48,0.000000
62,36,0.000000
63,58,0.000000
64,62,0.000000
