rank,channel,local_convergence_sr
1,6,1.000000
2,33,1.000000
3,34,1.000000
4,58,1.000000
5,61,1.000000
6,0,1.000000
7,14,1.000000
8,19,1.000000
9,57,1.000000
10,44,1.000000
11,25,1.000000
12,35,1.000000
13,18,1.000000
14,54,1.000000
15,3,1.000000
16,17,1.000000
17,12,1.000000
18,16,1.000000
19,37,1.000000
20,62,1.000000
21,28,1.000000
22,32,1.000000
23,27,1.000000
24,20,1.000000
25,22,1.000000
26,21,1.000000
27,46,1.000000
28,52,1.000000
29,45,1.000000
30,41,1.000000
31,29,1.000000
32,53,1.000000
33,51,1.000000
34,42,1.000000
35,8,0.997727
36,39,0.990909
37,55,0.984091
38,10,0.977273
39,60,0.970455
40,11,0.936364
41,1,0.927273
42,47,0.920455
43,50,0.915909
44,56,0.911364
45,26,0.897727
46,23,0.872727
47,49,0.859091
48,24,0.834091
49,30,0.827273
50,43,0.825000
51,63,0.759091
52,31,0.750000
53,15,0.702273
54,40,0.702273
55,5,0.700000
56,59,0.543182
57,9,0.000000
58,7,0.000000
59,48,0.000000
60,36,0.000000
61,38,0.000000
62,13,0.000000
63,2,0.000000
64,4,0.000000
