rank,channel,local_sharpness
1,40,0.293649
2,59,0.216582
3,15,0.173517
4,63,0.158576
5,23,0.153648
6,39,0.145898
7,5,0.133703
8,43,0.110998
9,47,0.107709
10,50,0.106066
11,49,0.098089
12,24,0.097188
13,11,0.095539
14,41,0.089777
15,55,0.077034
16,20,0.070435
17,60,0.068320
18,30,0.068287
19,18,0.065516
20,56,0.058451
21,31,0.058017
22,53,0.057905
23,14,0.057754
24,26,0.056984
25,42,0.055210
26,44,0.054421
27,10,0.052846
28,51,0.051515
29,29,0.051048
30,17,0.048675
31,58,0.048208
32,25,0.047191
33,52,0.044907
34,1,0.044510
35,57,0.043584
36,3,0.042625
37,33,0.042057
38,27,0.039611
39,19,0.035672
40,6,0.033506
41,54,0.029431
42,22,0.028068
43,28,0.027393
44,12,0.027258
45,62,0.023872
46,46,0.020770
47,34,0.020449
48,32,0.018519
49,35,0.018066
50,21,0.016328
51,45,0.014556
52,0,0.013705
53,37,0.013410
54,8,0.012506
55,16,0.010915
56,61,0.009803
57,7,0.000000
58,4,0.000000
59,48,0.000000
60,36,0.000000
61,38,0.000000
62,13,0.000000
63,2,0.000000
64,9,0.000000
