rank,channel,local_quadratic_bowl_score
1,45,0.525689
2,61,0.498995
3,34,0.490249
4,62,0.487439
5,16,0.479802
6,18,0.473634
7,28,0.467670
8,33,0.461082
9,46,0.458387
10,17,0.454148
11,54,0.453406
12,21,0.448724
13,58,0.448182
14,55,0.440782
15,6,0.438446
16,37,0.438388
17,32,0.403816
18,12,0.401655
19,3,0.401369
20,27,0.396809
21,19,0.387910
22,52,0.376435
23,29,0.374618
24,35,0.354599
25,53,0.348445
26,22,0.329185
27,41,0.319009
28,56,0.317711
29,51,0.313229
30,57,0.311480
31,14,0.304873
32,44,0.300278
33,20,0.300175
34,60,0.281822
35,25,0.273829
36,39,0.262182
37,26,0.260076
38,42,0.259235
39,47,0.250319
40,10,0.221481
41,1,0.216120
42,50,0.203643
43,49,0.185937
44,23,0.182865
45,43,0.175181
46,31,0.169594
47,63,0.156126
48,11,0.154224
49,24,0.140212
50,15,0.122272
51,30,0.096059
52,5,0.093043
53,0,0.073016
54,40,0.054402
55,8,0.044254
56,59,0.029932
57,9,0.000000
58,4,0.000000
59,7,0.000000
60,36,0.000000
61,38,0.000000
62,13,0.000000
63,2,0.000000
64,48,0.000000
