rank,channel,minpos_50
1,6,1.000000
2,19,1.000000
3,23,1.000000
4,47,1.000000
5,0,1.000000
6,31,1.000000
7,14,1.000000
8,15,1.000000
9,5,1.000000
10,49,1.000000
11,11,1.000000
12,43,1.000000
13,26,1.000000
14,10,1.000000
15,44,1.000000
16,40,1.000000
17,63,1.000000
18,59,1.000000
19,27,1.000000
20,42,1.000000
21,52,1.000000
22,22,1.000000
23,20,1.000000
24,55,1.000000
25,60,1.000000
26,41,1.000000
27,30,0.929289
28,35,0.929289
29,56,0.929289
30,1,0.929289
31,25,0.929289
32,39,0.929289
33,29,0.929289
34,28,0.929289
35,45,0.929289
36,32,0.929289
37,33,0.929289
38,51,0.929289
39,21,0.929289
40,53,0.900000
41,57,0.900000
42,46,0.900000
43,50,0.745049
44,24,0.348080
45,18,0.278890
46,8,0.261759
47,37,0.094461
48,61,0.048685
49,54,0.000000
50,2,0.000000
51,13,0.000000
52,38,0.000000
53,12,0.000000
54,17,0.000000
55,3,0.000000
56,4,0.000000
57,58,0.000000
58,9,0.000000
59,7,0.000000
60,48,0.000000
61,36,0.000000
62,16,0.000000
63,34,0.000000
64,62,0.000000
