rank,channel,retention_30
1,59,0.982732
2,6,0.976267
3,5,0.930142
4,40,0.925976
5,63,0.902393
6,52,0.880289
7,19,0.875024
8,15,0.837279
9,42,0.804247
10,20,0.803448
11,29,0.788844
12,1,0.769751
13,31,0.756438
14,23,0.753129
15,28,0.749231
16,22,0.740817
17,49,0.739986
18,60,0.737640
19,41,0.731469
20,46,0.683155
21,21,0.681768
22,32,0.674201
23,16,0.671006
24,11,0.667576
25,58,0.667460
26,34,0.643458
27,27,0.636703
28,55,0.628322
29,51,0.617561
30,53,0.611137
31,45,0.596840
32,43,0.595435
33,14,0.563269
34,47,0.545214
35,61,0.526164
36,0,0.472296
37,37,0.459122
38,33,0.440475
39,8,0.420184
40,10,0.410586
41,50,0.409215
42,26,0.397230
43,57,0.318040
44,56,0.253070
45,39,0.225347
46,44,0.183696
47,30,0.176373
48,25,0.114518
49,24,0.059676
50,35,0.039605
51,18,0.002829
52,36,0.000000
53,48,0.000000
54,7,0.000000
55,9,0.000000
56,4,0.000000
57,54,0.000000
58,3,0.000000
59,17,0.000000
60,12,0.000000
61,38,0.000000
62,13,0.000000
63,2,0.000000
64,62,0.000000
