rank,channel,shape_retention_avg
1,59,0.938754
2,6,0.937260
3,5,0.909848
4,63,0.872408
5,19,0.860797
6,40,0.819084
7,52,0.791636
8,15,0.749740
9,22,0.724587
10,49,0.722163
11,1,0.697410
12,23,0.693819
13,42,0.675324
14,20,0.673403
15,28,0.673268
16,60,0.662309
17,41,0.596330
18,31,0.580068
19,0,0.536742
20,21,0.535083
21,32,0.535021
22,27,0.525525
23,51,0.459775
24,11,0.452140
25,46,0.447608
26,55,0.437997
27,47,0.435566
28,45,0.402707
29,29,0.395282
30,43,0.394307
31,53,0.392282
32,14,0.329625
33,33,0.296016
34,16,0.268402
35,58,0.266984
36,34,0.257383
37,10,0.243209
38,26,0.236579
39,8,0.221451
40,61,0.218107
41,50,0.210093
42,37,0.192918
43,57,0.183542
44,56,0.169580
45,44,0.156947
46,39,0.130063
47,30,0.115874
48,25,0.068545
49,24,0.028246
50,35,0.021543
51,18,0.002149
52,3,0.000000
53,2,0.000000
54,13,0.000000
55,38,0.000000
56,12,0.000000
57,17,0.000000
58,7,0.000000
59,54,0.000000
60,4,0.000000
61,9,0.000000
62,48,0.000000
63,36,0.000000
64,62,0.000000
