rank,channel,shape_sim_30
1,59,0.995729
2,6,0.993333
3,5,0.991517
4,52,0.988489
5,40,0.986301
6,15,0.982620
7,28,0.975562
8,50,0.946023
9,32,0.944488
10,24,0.944398
11,63,0.936266
12,10,0.932915
13,19,0.932414
14,20,0.906036
15,39,0.904475
16,14,0.903831
17,29,0.901574
18,23,0.888736
19,42,0.887071
20,27,0.872348
21,31,0.864039
22,21,0.862238
23,30,0.857880
24,46,0.853495
25,11,0.852658
26,44,0.848163
27,16,0.839241
28,56,0.834927
29,60,0.831446
30,41,0.829435
31,51,0.818562
32,26,0.812177
33,1,0.809629
34,45,0.805326
35,34,0.802666
36,22,0.800264
37,55,0.782179
38,49,0.781345
39,47,0.773901
40,61,0.771320
41,33,0.761228
42,53,0.754257
43,58,0.720028
44,37,0.713124
45,43,0.656401
46,57,0.647975
47,0,0.593070
48,35,0.517021
49,8,0.484858
50,18,0.382959
51,25,0.358636
52,12,0.037099
53,3,0.000000
54,2,0.000000
55,13,0.000000
56,38,0.000000
57,17,0.000000
58,9,0.000000
59,54,0.000000
60,4,0.000000
61,7,0.000000
62,48,0.000000
63,36,0.000000
64,62,0.000000
