rank,channel,sharp_ret_50
1,6,1.000000
2,20,1.000000
3,0,1.000000
4,16,1.000000
5,63,1.000000
6,49,1.000000
7,8,1.000000
8,42,1.000000
9,41,1.000000
10,55,1.000000
11,1,1.000000
12,21,1.000000
13,45,1.000000
14,22,1.000000
15,19,0.987202
16,59,0.985780
17,31,0.985529
18,5,0.971754
19,23,0.955477
20,53,0.920638
21,60,0.907103
22,61,0.906938
23,40,0.880721
24,28,0.812838
25,43,0.808701
26,15,0.787652
27,52,0.778889
28,46,0.775394
29,51,0.767220
30,27,0.741239
31,37,0.719416
32,33,0.680717
33,32,0.678354
34,47,0.646099
35,11,0.514552
36,34,0.463590
37,29,0.460288
38,57,0.360377
39,14,0.355314
40,26,0.294505
41,25,0.288739
42,56,0.250834
43,50,0.237732
44,10,0.205362
45,44,0.205247
46,30,0.186281
47,35,0.172198
48,39,0.158335
49,24,0.050846
50,18,0.016443
51,3,0.000000
52,2,0.000000
53,13,0.000000
54,38,0.000000
55,12,0.000000
56,17,0.000000
57,4,0.000000
58,54,0.000000
59,58,0.000000
60,9,0.000000
61,7,0.000000
62,48,0.000000
63,36,0.000000
64,62,0.000000
