channel,condition,local_quadratic_bowl_score,r2,min_eigval,symmetry_score,basin_width,local_convergence_sr,local_sharpness,condition_number,coeff_xx,coeff_yy
0,clean,0.073016,0.899267,0.000224,0.805948,32.310989,1.000000,0.013705,14.262128,0.000112,0.001938
0,bright30,0.128806,0.641017,0.000675,0.796357,11.045361,0.900000,0.059570,9.225704,0.000339,0.001938
0,bright50,0.060944,0.678469,0.000271,0.753878,30.594117,0.804545,0.073270,6.542428,0.000137,0.001659
1,clean,0.216120,0.671413,0.001104,0.905055,5.385165,0.927273,0.044510,4.177717,0.000791,0.002654
1,bright30,0.216925,0.584919,0.001279,0.950745,4.123106,0.895455,0.070899,4.124506,0.001251,0.003271
1,bright50,0.170219,0.606042,0.001023,0.830245,5.099020,0.904545,0.059965,4.282352,0.000976,0.002924
2,clean,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
2,bright30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
2,bright50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
3,clean,0.401369,0.820738,0.002360,0.903463,6.082763,1.000000,0.042625,2.091060,0.001180,0.002280
3,bright30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
3,bright50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
4,clean,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
4,bright30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
4,bright50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
5,clean,0.093043,0.297095,0.000920,0.994122,2.236068,0.700000,0.133703,3.134151,0.002447,0.000916
5,bright30,0.106703,0.317749,0.001067,0.965128,2.236068,0.725000,0.129959,3.050194,0.002483,0.000996
5,bright50,0.115137,0.328814,0.001166,0.950940,2.236068,0.831818,0.129926,2.841044,0.002462,0.000950
6,clean,0.438446,0.831713,0.002238,0.998348,5.099020,1.000000,0.033506,1.308507,0.001829,0.001665
6,bright30,0.438126,0.819326,0.002387,0.982820,4.472136,1.000000,0.034176,1.304864,0.001976,0.001695
