channel,bqs_score,basin_quality,lqbs,basin_width,retention_30,retention_50,shape_sim_30,shape_sim_50,sharp_ret_30,sharp_ret_50,minpos_30,minpos_50,bright_sym_30,bright_sym_50,dead
0,0.121561,0.194973,0.106313,2.0,0.685063,0.582416,0.91855,0.856722,0.783857,0.762868,1.0,1.0,0.951461,0.891136,False
1,0.179596,0.22566,0.128818,2.0,0.857615,0.754703,0.988502,0.976033,0.904479,0.817994,1.0,1.0,0.959216,0.945282,False
2,0.191531,0.210683,0.117834,2.0,0.922514,0.900145,0.953423,0.931113,1.0,1.0,1.0,1.0,0.967581,0.966741,False
3,0.295335,0.624622,0.400081,3.162278,0.607045,0.38334,0.956373,0.858373,0.682188,0.522534,1.0,1.0,0.930442,0.854659,False
4,0.82257,0.859811,0.46655,8.944272,0.93199,0.973152,0.983165,0.989534,1.0,1.0,1.0,1.0,0.94795,0.983445,False
5,0.346997,0.56385,0.35849,3.0,0.800289,0.492152,0.873099,0.726918,1.0,0.821273,1.0,1.0,0.916607,0.824377,False
6,0.343127,0.373674,0.237361,2.0,0.951998,0.895755,0.988106,0.970711,0.986927,0.960687,1.0,1.0,0.976219,0.960544,False
7,0.367215,0.408716,0.24787,2.828427,0.936193,0.873307,0.993502,0.991933,0.969617,0.910027,1.0,1.0,0.971844,0.967453,False
8,0.100802,0.14807,0.082657,1.414214,0.765882,0.624031,0.942531,0.851476,0.845117,0.788942,1.0,1.0,0.9615,0.928943,False
9,0.521121,0.545064,0.341738,3.162278,0.988213,0.934646,0.997652,0.966009,1.0,1.0,1.0,1.0,0.990539,0.967533,False
10,0.502835,0.550856,0.345986,3.162278,0.931668,0.90026,0.96495,0.94786,1.0,1.0,1.0,1.0,0.965509,0.949782,False
11,0.145722,0.214036,0.131032,1.414214,0.802927,0.599433,0.923163,0.756119,0.925415,0.895264,1.0,1.0,0.939855,0.885522,False
12,0.193195,0.318392,0.192493,2.236068,0.683145,0.555875,0.958131,0.91267,0.7436,0.688463,1.0,1.0,0.958845,0.884673,False
13,0.304527,0.341819,0.209673,2.236068,0.915186,0.874711,0.9916,0.952908,0.949511,0.967392,1.0,1.0,0.972015,0.94888,False
14,0.260732,0.286054,0.154773,3.0,0.916754,0.907958,0.992321,0.953934,0.96027,1.0,1.0,1.0,0.962071,0.951803,False
15,0.574112,0.611,0.396212,2.828427,0.886789,0.974852,0.932622,0.982485,1.0,1.0,1.0,1.0,0.950855,0.992231,False
16,0.183293,0.217419,0.122774,2.0,0.773357,0.889492,0.971559,0.982143,0.808893,0.922463,1.0,1.0,0.984055,0.981788,False
17,0.19087,0.226681,0.140305,1.414214,0.869003,0.824035,0.993305,0.984787,0.893974,0.869415,1.0,1.0,0.97862,0.962445,False
18,0.249536,0.286332,0.18405,1.414214,0.937063,0.827779,0.956613,0.930681,1.0,0.959795,1.0,1.0,0.979563,0.926692,False
19,0.240058,0.341156,0.213514,2.0,0.776377,0.655185,0.880836,0.792599,0.934808,0.891315,1.0,1.0,0.942877,0.927426,False
20,0.105728,0.379375,0.252281,1.414214,0.292451,0.269516,0.773241,0.652155,0.455134,0.524769,1.0,1.0,0.830996,0.787528,False
21,0.299225,0.423455,0.255534,3.0,0.807665,0.63927,0.968852,0.90269,0.881795,0.794179,1.0,1.0,0.94538,0.891716,False
22,0.331847,0.355237,0.219512,2.236068,0.965287,0.913406,0.995661,0.985252,0.987825,0.944988,1.0,1.0,0.981442,0.981048,False
23,0.148509,0.184389,0.094224,2.236068,0.832036,0.78766,0.975093,0.950228,0.874745,0.855089,1.0,1.0,0.975472,0.969392,False
24,0.149049,0.193685,0.116108,1.414214,0.825205,0.732439,0.986285,0.973802,0.849278,0.765889,1.0,1.0,0.985167,0.982054,False
25,0.269167,0.330446,0.201333,2.236068,0.880922,0.770313,0.997312,0.938645,0.899712,0.928769,1.0,1.0,0.981755,0.883604,False
26,0.20781,0.253617,0.134131,2.828427,0.844178,0.802855,0.99492,0.987058,0.87536,0.874437,1.0,1.0,0.969303,0.930177,False
27,0.204282,0.276554,0.16614,2.0,0.842012,0.669775,0.981381,0.898876,0.889146,0.843416,1.0,1.0,0.964956,0.883461,False
28,0.204882,0.402372,0.269146,1.414214,0.524908,0.498705,0.724885,0.71593,0.763236,0.72633,1.0,1.0,0.948758,0.959045,False
29,0.231806,0.376766,0.235301,2.236068,0.651279,0.591234,0.855242,0.860492,0.833036,0.75766,1.0,1.0,0.914143,0.906857,False
30,0.46891,0.505395,0.271895,5.385165,0.92775,0.927847,0.981459,0.972722,1.0,1.0,1.0,1.0,0.945276,0.953867,False
31,0.33695,0.749891,0.49492,3.0,0.733288,0.260027,0.768768,0.381967,1.0,0.893313,1.0,1.0,0.953848,0.762059,False
