channel,condition,local_sharpness,global_sharpness,x_local,y_local
0,Clean,0.017265,0.012032,0.004709,0.029821
0,+30%,0.049858,0.020236,0.024766,0.074949
0,+50%,0.058863,0.023999,0.034913,0.082814
1,Clean,0.060477,0.020257,0.039084,0.081869
1,+30%,0.095972,0.027519,0.066369,0.125576
1,+50%,0.084754,0.024423,0.058878,0.110629
2,Clean,0.000000,0.000000,0.000000,0.000000
2,+30%,0.000000,0.000000,0.000000,0.000000
2,+50%,0.000000,0.000000,0.000000,0.000000
3,Clean,0.043015,0.020779,0.031913,0.054116
3,+30%,0.000000,0.000000,0.000000,0.000000
3,+50%,0.000000,0.000000,0.000000,0.000000
4,Clean,0.000000,0.000000,0.000000,0.000000
4,+30%,0.000000,0.000000,0.000000,0.000000
4,+50%,0.000000,0.000000,0.000000,0.000000
5,Clean,0.152840,0.034958,0.176506,0.129175
5,+30%,0.148577,0.034014,0.170076,0.127079
5,+50%,0.144434,0.032424,0.165128,0.123741
6,Clean,0.043210,0.024293,0.039973,0.046447
6,+30%,0.045118,0.024343,0.042068,0.048168
6,+50%,0.051432,0.024297,0.046711,0.056154
7,Clean,0.000000,0.000000,0.000000,0.000000
7,+30%,0.000000,0.000000,0.000000,0.000000
7,+50%,0.000000,0.000000,0.000000,0.000000
8,Clean,0.013766,0.009678,0.023217,0.004315
8,+30%,0.049465,0.018708,0.066526,0.032404
8,+50%,0.035979,0.016512,0.044693,0.027265
9,Clean,0.000000,0.000000,0.000000,0.000000
9,+30%,0.000000,0.000000,0.000000,0.000000
9,+50%,0.000000,0.000000,0.000000,0.000000
10,Clean,0.067267,0.024034,0.034269,0.100266
10,+30%,0.036957,0.019089,0.014720,0.059193
10,+50%,0.021224,0.014942,0.006311,0.036138
11,Clean,0.103805,0.026018,0.098040,0.109571
11,+30%,0.089564,0.023617,0.084351,0.094777
11,+50%,0.054442,0.017788,0.052426,0.056458
12,Clean,0.031835,0.021624,0.021213,0.042457
12,+30%,0.060595,0.019822,0.043635,0.077556
12,+50%,0.000000,0.000000,0.000000,0.000000
13,Clean,0.000000,0.000000,0.000000,0.000000
13,+30%,0.000000,0.000000,0.000000,0.000000
13,+50%,0.000000,0.000000,0.000000,0.000000
14,Clean,0.093652,0.030358,0.113917,0.073388
14,+30%,0.064789,0.022840,0.079184,0.050393
