channel,BQS,BQ,LQBS,Width,ShapeSim,SharpRet,MinPos,Symmetry,Retention,kill_clean,kill_50
0,0.506658,0.612797,0.804969,0.036281,0.914127,0.962997,1.0,0.93922,0.826797,6.0,60.1
1,0.470898,0.536237,0.701994,0.038968,0.991194,0.977653,1.0,0.906205,0.878152,5.9,6.2
2,0.520964,0.569128,0.74334,0.046493,0.99179,0.989979,1.0,0.932292,0.915372,23.2,17.5
3,0.442357,0.495548,0.651593,0.027412,0.992517,0.975279,1.0,0.92219,0.892663,49.4,73.5
4,0.425583,0.509647,0.670212,0.027949,0.970561,0.923156,1.0,0.932004,0.835056,6.1,5.3
5,0.471158,0.534607,0.685397,0.082236,0.990584,1.0,1.0,0.889693,0.881316,73.3,80.3
6,0.455325,0.539418,0.708922,0.030906,0.927711,0.96604,1.0,0.941865,0.844105,35.5,72.8
7,0.481153,0.640747,0.832471,0.065574,0.944284,0.896487,0.994204,0.892226,0.750925,4.5,3.2
8,0.47486,0.528514,0.692322,0.037087,0.986152,0.983471,1.0,0.926411,0.898481,39.6,26.5
9,0.56014,0.666443,0.868077,0.061543,0.953047,0.928658,1.0,0.94965,0.840492,11.0,2.6
10,0.550063,0.610533,0.800159,0.041655,0.995674,0.979762,1.0,0.92356,0.900954,58.6,76.4
11,0.417443,0.564723,0.729314,0.070949,0.992302,0.95877,1.0,0.776968,0.739199,43.5,71.0
12,0.400068,0.619473,0.815393,0.031712,0.871535,0.814146,1.0,0.910173,0.64582,26.3,65.1
13,0.535117,0.593021,0.77896,0.035206,0.982294,0.951977,1.0,0.964963,0.902357,9.4,7.1
14,0.450814,0.548366,0.720047,0.033324,0.964767,0.92622,1.0,0.920005,0.822104,4.5,2.1
15,0.404926,0.494987,0.641619,0.055093,0.985737,0.977594,1.0,0.84891,0.818053,24.7,59.2
16,0.546042,0.645327,0.844311,0.048374,0.981364,0.921775,1.0,0.935386,0.846148,27.3,65.8
17,0.509857,0.659299,0.849324,0.089223,0.951399,0.913641,1.0,0.889668,0.773332,25.8,60.5
18,0.624009,0.677992,0.884192,0.059393,0.991806,0.973894,1.0,0.952858,0.920378,54.9,62.7
19,0.530083,0.639316,0.834057,0.055093,0.986653,0.927387,1.0,0.906156,0.829141,10.9,7.3
20,0.373525,0.485002,0.630634,0.048105,0.976156,0.948337,1.0,0.831945,0.770152,73.2,84.2
21,0.512296,0.581565,0.762072,0.040043,0.989881,0.948176,1.0,0.938535,0.880892,32.4,63.4
22,0.5731,0.622042,0.813443,0.047837,0.990195,0.984835,1.0,0.944771,0.921321,76.0,81.0
23,0.55913,0.610621,0.799111,0.045149,0.996067,0.981554,1.0,0.936567,0.915675,52.6,59.1
24,0.499478,0.636888,0.830909,0.054824,0.970355,0.864216,1.0,0.935191,0.784248,40.7,66.5
25,0.512526,0.568095,0.743037,0.043268,0.991328,0.980467,1.0,0.928206,0.902184,4.6,4.1
26,0.445897,0.527731,0.692085,0.034668,0.977387,0.920463,1.0,0.939181,0.844933,17.0,59.3
27,0.452305,0.554031,0.719896,0.056436,0.985906,0.996782,0.994204,0.835577,0.81639,8.7,6.8
28,0.256295,0.574005,0.749842,0.046493,0.764372,0.714368,0.986007,0.829314,0.446504,3.0,57.3
29,0.464517,0.60496,0.79219,0.043268,0.872399,0.961719,0.994204,0.920527,0.767848,8.3,1.4
30,0.52558,0.636723,0.825135,0.071486,0.991099,0.949812,0.994204,0.881978,0.825445,13.8,16.8
31,0.540282,0.629916,0.82224,0.052943,0.987983,0.949699,1.0,0.914119,0.857705,15.0,9.5
32,0.553014,0.590117,0.77231,0.043537,0.982794,1.0,1.0,0.953533,0.937127,29.9,72.4
33,0.44434,0.580668,0.760338,0.041655,0.962276,0.873137,1.0,0.910764,0.765223,41.3,68.1
34,0.474304,0.598461,0.781465,0.049449,0.947805,0.925954,1.0,0.903052,0.792541,81.8,84.6
35,0.402496,0.458855,0.598996,0.038431,0.996576,0.970555,1.0,0.906893,0.877176,59.3,75.2
36,0.513955,0.631642,0.816389,0.077399,0.98075,0.960108,0.994204,0.869161,0.813681,7.2,5.1
37,0.554155,0.615888,0.805686,0.046493,0.988614,0.981252,1.0,0.927518,0.899766,24.7,23.1
38,0.502163,0.635087,0.833704,0.039237,0.960429,0.878458,1.0,0.937184,0.790699,7.5,7.2
39,0.674509,0.73878,0.94437,0.12201,0.993373,0.976922,1.0,0.940807,0.913005,1.9,1.7
40,0.598699,0.641751,0.83802,0.052943,0.989149,0.992974,1.0,0.949822,0.932915,11.3,7.2
41,0.477128,0.596461,0.775483,0.059393,0.975232,0.9499,0.994204,0.868543,0.799932,12.5,11.0
42,0.467437,0.567649,0.746384,0.031443,0.97277,0.915982,1.0,0.924158,0.823462,9.5,47.4
43,0.601639,0.659087,0.857732,0.063155,0.974611,0.999628,1.0,0.936965,0.912837,0.6,0.5
44,0.521845,0.620067,0.812424,0.042999,0.953658,0.950914,1.0,0.928044,0.841594,35.3,67.9
45,0.515905,0.627337,0.808679,0.083311,0.981596,1.0,0.991803,0.844716,0.822373,21.1,61.8
46,0.412906,0.580779,0.759681,0.044074,0.934941,0.834478,0.994204,0.916569,0.710951,8.3,12.0
47,0.343471,0.534472,0.657537,0.165278,0.996376,0.98443,0.994204,0.658994,0.642636,19.7,64.1
48,0.55304,0.706271,0.907564,0.102392,0.984934,0.878408,1.0,0.905069,0.783042,20.7,16.5
49,0.497087,0.62799,0.811252,0.078205,0.984991,0.864344,1.0,0.929739,0.791552,45.6,70.5
50,0.452742,0.590387,0.771685,0.046493,0.926877,0.90949,1.0,0.909691,0.766857,35.2,60.9
51,0.528173,0.578232,0.756553,0.043268,0.9967,0.986586,1.0,0.928912,0.913427,47.4,74.3
52,0.472393,0.57569,0.75173,0.047568,0.989329,0.919635,1.0,0.9019,0.820569,26.8,61.0
53,0.437678,0.633723,0.830362,0.043805,0.91757,0.814313,0.988408,0.935166,0.690646,51.3,19.1
54,0.460207,0.703262,0.912241,0.076324,0.904168,0.840974,0.986007,0.87282,0.65439,2.6,2.4
55,0.44093,0.567972,0.747263,0.030099,0.935129,0.891502,0.994204,0.936641,0.776323,12.5,58.8
