channel,condition,local_sharpness,global_sharpness,x_local,y_local
0,Clean,0.039915,0.024635,0.031531,0.048299
0,+30%,0.042452,0.025277,0.033828,0.051077
0,+50%,0.037414,0.023073,0.030372,0.044456
1,Clean,0.146994,0.031946,0.157973,0.136014
1,+30%,0.151681,0.032976,0.162520,0.140843
1,+50%,0.152497,0.034296,0.163945,0.141048
2,Clean,0.072253,0.024836,0.064028,0.080478
2,+30%,0.062128,0.022803,0.052593,0.071662
2,+50%,0.062687,0.021994,0.052962,0.072413
3,Clean,0.068295,0.026558,0.055248,0.081343
3,+30%,0.062025,0.025602,0.049458,0.074591
3,+50%,0.057250,0.024521,0.046782,0.067717
4,Clean,0.087518,0.024553,0.085560,0.089477
4,+30%,0.072903,0.023131,0.068933,0.076873
4,+50%,0.065526,0.022177,0.061198,0.069855
5,Clean,0.122033,0.028284,0.099019,0.145046
5,+30%,0.157447,0.035374,0.130767,0.184127
5,+50%,0.165243,0.037846,0.140955,0.189530
6,Clean,0.098992,0.025287,0.088352,0.109633
6,+30%,0.078256,0.021635,0.066586,0.089925
6,+50%,0.043174,0.015387,0.034383,0.051965
7,Clean,0.139295,0.029597,0.121953,0.156637
7,+30%,0.127534,0.028612,0.108285,0.146783
7,+50%,0.112409,0.026825,0.096200,0.128619
8,Clean,0.048527,0.022922,0.044125,0.052929
8,+30%,0.031855,0.022123,0.028259,0.035451
8,+50%,0.033694,0.020988,0.029710,0.037677
9,Clean,0.032437,0.021824,0.030118,0.034756
9,+30%,0.015464,0.014989,0.014441,0.016488
9,+50%,0.010343,0.009047,0.013435,0.007251
10,Clean,0.039825,0.023475,0.030662,0.048987
10,+30%,0.041837,0.023445,0.031592,0.052082
10,+50%,0.042471,0.023285,0.031844,0.053098
11,Clean,0.051436,0.021855,0.048384,0.054487
11,+30%,0.042243,0.020631,0.040422,0.044065
11,+50%,0.036800,0.019546,0.036978,0.036622
12,Clean,0.152127,0.037147,0.122933,0.181320
12,+30%,0.151105,0.036771,0.118251,0.183959
12,+50%,0.152193,0.034467,0.120164,0.184221
13,Clean,0.144941,0.034333,0.141863,0.148019
13,+30%,0.105449,0.026806,0.100462,0.110437
13,+50%,0.071828,0.020993,0.066356,0.077301
14,Clean,0.064353,0.025292,0.057800,0.070905
14,+30%,0.058903,0.024482,0.052707,0.065099
14,+50%,0.067974,0.024286,0.057600,0.078347
15,Clean,0.044040,0.025724,0.046945,0.041135
15,+30%,0.046941,0.026145,0.049604,0.044278
15,+50%,0.060418,0.026965,0.061662,0.059174
