BatchNorm Parameters for ResNet-18 bn1 (64 channels)
BN formula: output = gamma * (x - running_mean) / sqrt(running_var + eps) + beta
If output is entirely negative for TUM images, ReLU will produce zero (dead channel)

Ch    gamma      beta       run_mean     run_var     
-------------------------------------------------------
Ch1   0.2349     0.2307     0.0028       1.0169      
Ch2   0.2663     0.2538     -0.0258      3.7167      
Ch3   -0.0000    -0.0000    0.0000       0.0000      
Ch4   0.5187     -0.6644    -0.0846      3.2825      
Ch5   0.0000     -0.0000    0.0000       0.0000      
Ch6   0.2224     0.1615     0.0005       0.6582      
Ch7   0.4229     0.4545     -0.0224      4.3701      
Ch8   0.0000     -0.0000    -0.0000      0.0000      
Ch9   0.2509     0.3005     -0.0048      0.9155      
Ch10  0.0000     -0.0000    0.0000       0.0000      
Ch11  0.3169     0.3494     0.0396       4.1256      
Ch12  0.2505     0.3115     0.0320       2.7440      
Ch13  0.3789     -0.2495    -0.0375      2.8391      
Ch14  0.0000     -0.0000    -0.0000      0.0000      
Ch15  0.2753     0.1077     0.0066       11.0723     
Ch16  0.2367     0.2190     0.0044       0.5007      
Ch17  0.2420     0.3814     0.0648       2.2313      
Ch18  0.3953     -0.5299    0.1118       4.8257      
Ch19  0.4693     -0.6286    0.0360       2.6986      
Ch20  0.2909     0.5714     -0.0751      9.3700      
Ch21  0.2727     0.2998     -0.0382      3.7339      
Ch22  0.2780     0.5843     0.0844       5.4843      
Ch23  0.2907     0.4820     -0.0523      5.7127      
Ch24  0.2069     0.3285     -0.0118      0.4454      
Ch25  0.2590     0.1967     0.0013       0.4363      
Ch26  0.2787     0.1950     0.0322       7.1563      
Ch27  0.2911     0.1521     -0.0178      13.7179     
Ch28  0.3160     0.0855     -0.0910      5.2512      
Ch29  0.3889     0.5131     0.1132       6.8174      
Ch30  0.3041     0.0152     -0.0416      1.6724      
Ch31  0.2678     0.1664     0.0087       1.6534      
Ch32  0.2109     0.3324     0.0297       1.2325      
Ch33  0.2871     0.2492     -0.0705      4.9076      
Ch34  0.3324     0.4434     -0.0035      3.0731      
Ch35  0.4267     -0.2802    0.1098       4.2384      
Ch36  0.3733     -0.0204    -0.0017      4.9936      
Ch37  0.0000     -0.0000    -0.0000      0.0000      
Ch38  0.1907     0.3213     0.0293       1.5212      
Ch39  0.0000     -0.0000    -0.0000      0.0000      
Ch40  0.2230     0.2378     0.0067       0.3513      
Ch41  0.1791     0.2329     -0.0037      0.1702      
Ch42  0.2486     0.3153     0.0160       1.4205      
Ch43  0.2740     0.4278     -0.0279      1.9085      
Ch44  0.2592     0.2931     0.0266       2.1512      
Ch45  0.2942     0.2638     0.0285       2.6608      
Ch46  0.2992     0.6760     -0.1273      4.8444      
Ch47  0.2237     0.4291     0.0446       1.9297      
Ch48  0.2628     0.3457     0.0263       1.4999      
Ch49  0.0000     -0.0000    0.0000       0.0000      
Ch50  0.2661     0.2473     -0.0170      1.5306      
Ch51  0.2209     0.3032     -0.0036      0.3650      
Ch52  0.2843     0.6158     -0.0458      2.9376      
Ch53  0.3307     0.3983     0.0639       5.4664      
Ch54  0.2268     0.3321     0.0152       0.7079      
Ch55  0.3654     -0.4122    -0.0385      3.3315      
Ch56  0.2123     0.3781     -0.0164      0.7718      
Ch57  0.2397     0.1790     -0.0166      2.4068      
Ch58  0.2495     0.2575     0.0561       6.5214      
Ch59  0.5258     -0.4491    -0.0803      4.1263      
Ch60  0.2482     0.2131     -0.0027      1.0506      
Ch61  0.2957     0.5693     -0.0417      2.9530      
Ch62  0.2588     0.5727     0.1261       11.3656     
Ch63  0.4833     -0.4024    -0.0492      4.7690      
Ch64  0.2667     0.2341     -0.0133      1.6559      
