step,beam,channel,subset,bqs,marginal
1,seed,0,[0],0.4869980962365418,0.4869980962365418
1,seed,1,[1],0.29941232582404337,0.29941232582404337
1,seed,2,[2],0.0,0.0
1,seed,3,[3],0.0,0.0
1,seed,4,[4],0.0,0.0
1,seed,5,[5],0.1664949237004303,0.1664949237004303
1,seed,6,[6],0.6796651649424754,0.6796651649424754
1,seed,8,[8],0.2485090056348669,0.2485090056348669
1,seed,10,[10],0.10387568498998212,0.10387568498998212
1,seed,11,[11],0.1430582245567437,0.1430582245567437
1,seed,12,[12],0.0,0.0
1,seed,13,[13],0.0,0.0
1,seed,14,[14],0.1667496660043324,0.1667496660043324
1,seed,15,[15],0.16717531682778874,0.16717531682778874
1,seed,16,[16],0.25208567997982523,0.25208567997982523
1,seed,17,[17],0.0,0.0
1,seed,18,[18],0.0015588275522724878,0.0015588275522724878
1,seed,19,[19],0.5650462300612943,0.5650462300612943
1,seed,20,[20],0.33635415316803036,0.33635415316803036
1,seed,21,[21],0.4470859102841391,0.4470859102841391
1,seed,22,[22],0.43540966730280567,0.43540966730280567
1,seed,23,[23],0.21162494178533883,0.21162494178533883
1,seed,24,[24],0.01320326799768294,0.01320326799768294
1,seed,25,[25],0.032658382258340654,0.032658382258340654
1,seed,26,[26],0.10756889431342276,0.10756889431342276
1,seed,27,[27],0.35181497831249836,0.35181497831249836
1,seed,28,[28],0.5373577813066225,0.5373577813066225
1,seed,29,[29],0.2513122163315498,0.2513122163315498
1,seed,30,[30],0.029653998767718747,0.029653998767718747
1,seed,31,[31],0.199006379301903,0.199006379301903
1,seed,32,[32],0.4212887893658235,0.4212887893658235
1,seed,33,[33],0.2162434058790181,0.2162434058790181
1,seed,34,[34],0.23113802865714667,0.23113802865714667
1,seed,35,[35],0.019799856286160863,0.019799856286160863
1,seed,37,[37],0.17714303977662285,0.17714303977662285
1,seed,38,[38],0.0,0.0
1,seed,39,[39],0.05808846230277142,0.05808846230277142
1,seed,40,[40],0.08973048210657165,0.08973048210657165
1,seed,41,[41],0.30417993547275546,0.30417993547275546
1,seed,42,[42],0.3248707611949105,0.3248707611949105
1,seed,43,[43],0.13603249977702844,0.13603249977702844
1,seed,44,[44],0.08421360503631226,0.08421360503631226
1,seed,45,[45],0.37478270317039564,0.37478270317039564
1,seed,46,[46],0.37201141951626077,0.37201141951626077
1,seed,47,[47],0.2029719322120468,0.2029719322120468
1,seed,49,[49],0.25969064347120574,0.25969064347120574
1,seed,50,[50],0.08076978011204015,0.08076978011204015
1,seed,51,[51],0.2792033046572477,0.2792033046572477
1,seed,52,[52],0.49429257273587646,0.49429257273587646
1,seed,53,[53],0.2696312387928318,0.2696312387928318
1,seed,54,[54],0.0,0.0
1,seed,55,[55],0.3333603283376867,0.3333603283376867
1,seed,56,[56],0.09237749057593098,0.09237749057593098
1,seed,57,[57],0.09685452098113416,0.09685452098113416
1,seed,58,[58],0.0,0.0
1,seed,59,[59],0.08521363854559988,0.08521363854559988
1,seed,60,[60],0.3373301124973595,0.3373301124973595
1,seed,61,[61],0.2093718248145189,0.2093718248145189
1,seed,62,[62],0.0,0.0
1,seed,63,[63],0.24763529930828485,0.24763529930828485
2,beam1(seed=ch6),0,"[6, 0]",0.5738194122677128,-0.105846
2,beam1(seed=ch6),1,"[6, 1]",0.4650997395695053,-0.214565
2,beam1(seed=ch6),2,"[6, 2]",0.6796651648197521,-0.0
2,beam1(seed=ch6),3,"[6, 3]",0.6847378434608192,0.005073
2,beam1(seed=ch6),4,"[6, 4]",0.6796651648197521,-0.0
2,beam1(seed=ch6),5,"[6, 5]",0.4892647224702945,-0.1904
2,beam1(seed=ch6),8,"[6, 8]",0.62293621559685,-0.056729
2,beam1(seed=ch6),10,"[6, 10]",0.2352514242201577,-0.444414
2,beam1(seed=ch6),11,"[6, 11]",0.4156624598732468,-0.264003
2,beam1(seed=ch6),12,"[6, 12]",0.7021650961671349,0.0225
2,beam1(seed=ch6),13,"[6, 13]",0.6796651648197521,-0.0
2,beam1(seed=ch6),14,"[6, 14]",0.32167498262796035,-0.35799
2,beam1(seed=ch6),15,"[6, 15]",0.4983997384263217,-0.181265
2,beam1(seed=ch6),16,"[6, 16]",0.6713258580707172,-0.008339
2,beam1(seed=ch6),17,"[6, 17]",0.6411985955374634,-0.038467
2,beam1(seed=ch6),18,"[6, 18]",0.4948590986241951,-0.184806
2,beam1(seed=ch6),19,"[6, 19]",0.6563110747568376,-0.023354
2,beam1(seed=ch6),20,"[6, 20]",0.5604290657228811,-0.119236
2,beam1(seed=ch6),21,"[6, 21]",0.624941676642961,-0.054723
2,beam1(seed=ch6),22,"[6, 22]",0.5886216409710547,-0.091044
2,beam1(seed=ch6),23,"[6, 23]",0.5628902805580569,-0.116775
2,beam1(seed=ch6),24,"[6, 24]",0.11025818163364227,-0.569407
2,beam1(seed=ch6),25,"[6, 25]",0.13099815905143106,-0.548667
2,beam1(seed=ch6),26,"[6, 26]",0.2577681130299912,-0.421897
2,beam1(seed=ch6),27,"[6, 27]",0.6938182076986189,0.014153
2,beam1(seed=ch6),28,"[6, 28]",0.7156508905811976,0.035986
2,beam1(seed=ch6),29,"[6, 29]",0.6651148117090602,-0.01455
2,beam1(seed=ch6),30,"[6, 30]",0.17134688203455195,-0.508318
2,beam1(seed=ch6),31,"[6, 31]",0.5346560644998549,-0.145009
2,beam1(seed=ch6),32,"[6, 32]",0.6777898555031153,-0.001875
2,beam1(seed=ch6),33,"[6, 33]",0.570874305002766,-0.108791
2,beam1(seed=ch6),34,"[6, 34]",0.672516463564892,-0.007149
2,beam1(seed=ch6),35,"[6, 35]",0.6677673332126288,-0.011898
2,beam1(seed=ch6),37,"[6, 37]",0.5962800291386471,-0.083385
2,beam1(seed=ch6),38,"[6, 38]",0.6796651648197521,-0.0
2,beam1(seed=ch6),39,"[6, 39]",0.4847820747881354,-0.194883
2,beam1(seed=ch6),40,"[6, 40]",0.6396857242609648,-0.039979
2,beam1(seed=ch6),41,"[6, 41]",0.6116791688375939,-0.067986
2,beam1(seed=ch6),42,"[6, 42]",0.6018979319182951,-0.077767
2,beam1(seed=ch6),43,"[6, 43]",0.4597617659659161,-0.219903
2,beam1(seed=ch6),44,"[6, 44]",0.20737197243528,-0.472293
2,beam1(seed=ch6),45,"[6, 45]",0.66608178134358,-0.013583
2,beam1(seed=ch6),46,"[6, 46]",0.6239748500534954,-0.05569
2,beam1(seed=ch6),47,"[6, 47]",0.5425192551424278,-0.137146
2,beam1(seed=ch6),49,"[6, 49]",0.5486606325001557,-0.131005
2,beam1(seed=ch6),50,"[6, 50]",0.38913924397550503,-0.290526
2,beam1(seed=ch6),51,"[6, 51]",0.5363828920280452,-0.143282
