beam,beam_label,step,added_channel,subset,n_channels,BQS,marginal_BQS,LQBS,Width,BQ,ShapeSim,SharpRet,MinPos,Symmetry,Retention
beam1,Beam 1 (seed=ch6),1,6,[6],1,0.6795,0.6795,0.7972,0.5099,0.7254,0.9769,1.0,1.0,0.9589,0.9367
beam1,Beam 1 (seed=ch6),2,28,"[6, 28]",2,0.7156,0.0361,0.8203,0.5385,0.7499,0.9888,1.0,1.0,0.9652,0.9544
beam1,Beam 1 (seed=ch6),3,34,"[6, 28, 34]",3,0.7262,0.0106,0.8312,0.5657,0.7648,0.9893,1.0,1.0,0.9598,0.9495
beam1,Beam 1 (seed=ch6),4,62,"[6, 28, 34, 62]",4,0.7382,0.012,0.8455,0.5831,0.7799,0.9862,1.0,1.0,0.9598,0.9466
beam1,Beam 1 (seed=ch6),5,12,"[6, 28, 34, 62, 12]",5,0.7397,0.0015,0.853,0.5831,0.7855,0.9814,1.0,1.0,0.9595,0.9417
beam1,Beam 1 (seed=ch6),6,54,"[6, 28, 34, 62, 12, 54]",6,0.7401,0.0004,0.854,0.5831,0.7863,0.981,1.0,1.0,0.9595,0.9413
beam1,Beam 1 (seed=ch6),7,3,"[6, 28, 34, 62, 12, 54, 3]",7,0.7402,0.0001,0.8555,0.5831,0.7874,0.9798,1.0,1.0,0.9595,0.9401
beam2,Beam 2 (seed=ch19),1,19,[19],1,0.5651,0.5651,0.7053,0.5099,0.6564,0.9398,0.9923,1.0,0.923,0.8608
beam2,Beam 2 (seed=ch19),2,6,"[19, 6]",2,0.6563,0.0912,0.7971,0.5099,0.7253,0.9655,1.0,1.0,0.9371,0.9048
beam2,Beam 2 (seed=ch19),3,28,"[19, 6, 28]",3,0.6908,0.0345,0.8233,0.5099,0.745,0.9727,1.0,1.0,0.9533,0.9273
beam2,Beam 2 (seed=ch19),4,62,"[19, 6, 28, 62]",4,0.6962,0.0054,0.8348,0.5099,0.7536,0.9692,1.0,1.0,0.9533,0.9239
beam2,Beam 2 (seed=ch19),5,52,"[19, 6, 28, 62, 52]",5,0.6986,0.0024,0.8272,0.5099,0.7479,0.9752,1.0,1.0,0.9579,0.9341
beam2,Beam 2 (seed=ch19),6,54,"[19, 6, 28, 62, 52, 54]",6,0.699,0.0004,0.828,0.5099,0.7485,0.9749,1.0,1.0,0.9579,0.9339
