step,beam,channel,subset,bqs,marginal
1,seed,0,[0],0.4870080781827999,0.4870080781827999
1,seed,1,[1],0.29942488697575864,0.29942488697575864
1,seed,2,[2],0.0,0.0
1,seed,3,[3],0.0,0.0
1,seed,4,[4],0.0,0.0
1,seed,5,[5],0.16630038524664809,0.16630038524664809
1,seed,6,[6],0.6798476162893032,0.6798476162893032
1,seed,7,[7],0.0,0.0
1,seed,8,[8],0.24824830629106773,0.24824830629106773
1,seed,9,[9],0.0,0.0
1,seed,10,[10],0.10385521168772825,0.10385521168772825
1,seed,11,[11],0.14304394865945358,0.14304394865945358
1,seed,12,[12],0.0,0.0
1,seed,13,[13],0.0,0.0
1,seed,14,[14],0.16674909180018854,0.16674909180018854
1,seed,15,[15],0.16691957074263009,0.16691957074263009
1,seed,16,[16],0.25211544376833245,0.25211544376833245
1,seed,17,[17],0.0,0.0
1,seed,18,[18],0.0015591590218569148,0.0015591590218569148
1,seed,19,[19],0.5650648521301085,0.5650648521301085
1,seed,20,[20],0.33634391931239666,0.33634391931239666
1,seed,21,[21],0.4470635318321977,0.4470635318321977
1,seed,22,[22],0.4354455071764855,0.4354455071764855
1,seed,23,[23],0.21179789391028458,0.21179789391028458
1,seed,24,[24],0.013200197935118655,0.013200197935118655
1,seed,25,[25],0.03266022421823453,0.03266022421823453
1,seed,26,[26],0.10756051531051593,0.10756051531051593
1,seed,27,[27],0.3513559593249905,0.3513559593249905
1,seed,28,[28],0.5371423561137996,0.5371423561137996
1,seed,29,[29],0.25133666011013994,0.25133666011013994
1,seed,30,[30],0.02966251886185671,0.02966251886185671
1,seed,31,[31],0.19900376301652037,0.19900376301652037
1,seed,32,[32],0.4207993313846907,0.4207993313846907
1,seed,33,[33],0.2166304491995145,0.2166304491995145
1,seed,34,[34],0.23139011755062816,0.23139011755062816
1,seed,35,[35],0.014107551240766708,0.014107551240766708
1,seed,36,[36],0.0,0.0
1,seed,37,[37],0.17708528924361494,0.17708528924361494
1,seed,38,[38],0.0,0.0
1,seed,39,[39],0.05822402604479253,0.05822402604479253
1,seed,40,[40],0.0897225935704265,0.0897225935704265
1,seed,41,[41],0.30413567466136654,0.30413567466136654
1,seed,42,[42],0.32481585960224546,0.32481585960224546
1,seed,43,[43],0.13601590566442456,0.13601590566442456
1,seed,44,[44],0.08427209571129611,0.08427209571129611
1,seed,45,[45],0.37469855647279854,0.37469855647279854
1,seed,46,[46],0.37206157481259705,0.37206157481259705
1,seed,47,[47],0.2031245642823369,0.2031245642823369
1,seed,48,[48],0.0,0.0
1,seed,49,[49],0.2597019576070226,0.2597019576070226
1,seed,50,[50],0.08062556785390856,0.08062556785390856
1,seed,51,[51],0.27927038051061176,0.27927038051061176
1,seed,52,[52],0.4948706322594194,0.4948706322594194
1,seed,53,[53],0.2696092652325487,0.2696092652325487
1,seed,54,[54],0.0,0.0
1,seed,55,[55],0.3333790873907896,0.3333790873907896
1,seed,56,[56],0.09242875024600741,0.09242875024600741
1,seed,57,[57],0.09687759739244453,0.09687759739244453
1,seed,58,[58],0.19911376293920882,0.19911376293920882
1,seed,59,[59],0.08525423142366925,0.08525423142366925
1,seed,60,[60],0.33731696326305,0.33731696326305
1,seed,61,[61],0.20937364979413403,0.20937364979413403
1,seed,62,[62],0.0,0.0
1,seed,63,[63],0.2474238614183147,0.2474238614183147
2,beam1(seed=ch6),0,"[6, 0]",0.5741720111123834,-0.105676
2,beam1(seed=ch6),1,"[6, 1]",0.4652381831233214,-0.214609
2,beam1(seed=ch6),2,"[6, 2]",0.6798476116609752,-0.0
2,beam1(seed=ch6),3,"[6, 3]",0.6850578042303637,0.00521
2,beam1(seed=ch6),4,"[6, 4]",0.6798476116609752,-0.0
2,beam1(seed=ch6),5,"[6, 5]",0.48941754850121466,-0.19043
2,beam1(seed=ch6),7,"[6, 7]",0.6798476116609752,-0.0
2,beam1(seed=ch6),8,"[6, 8]",0.6228907240913969,-0.056957
2,beam1(seed=ch6),9,"[6, 9]",0.6798476116609752,-0.0
2,beam1(seed=ch6),10,"[6, 10]",0.23514877215034513,-0.444699
2,beam1(seed=ch6),11,"[6, 11]",0.4158715529064025,-0.263976
2,beam1(seed=ch6),12,"[6, 12]",0.7023521306651991,0.022505
2,beam1(seed=ch6),13,"[6, 13]",0.6798476116609752,-0.0
2,beam1(seed=ch6),14,"[6, 14]",0.3218103133218702,-0.358037
2,beam1(seed=ch6),15,"[6, 15]",0.498140268358272,-0.181707
2,beam1(seed=ch6),16,"[6, 16]",0.6714009419264394,-0.008447
2,beam1(seed=ch6),17,"[6, 17]",0.6413660268618887,-0.038482
2,beam1(seed=ch6),18,"[6, 18]",0.4951878530184261,-0.18466
2,beam1(seed=ch6),19,"[6, 19]",0.6563686246617545,-0.023479
2,beam1(seed=ch6),20,"[6, 20]",0.5605797431876739,-0.119268
2,beam1(seed=ch6),21,"[6, 21]",0.626280402609872,-0.053567
2,beam1(seed=ch6),22,"[6, 22]",0.5887616628559943,-0.091086
