step,beam,channel,subset,bqs,marginal
1,seed,0,[0],0.5066922602830767,0.5066922602830767
1,seed,1,[1],0.47078502803097066,0.47078502803097066
1,seed,2,[2],0.5209956704503311,0.5209956704503311
1,seed,3,[3],0.4426739498411721,0.4426739498411721
1,seed,4,[4],0.4257700739528282,0.4257700739528282
1,seed,5,[5],0.47122580480195037,0.47122580480195037
1,seed,6,[6],0.4554364223407568,0.4554364223407568
1,seed,7,[7],0.48111358528127296,0.48111358528127296
1,seed,8,[8],0.4749580592823198,0.4749580592823198
1,seed,9,[9],0.5599720854442098,0.5599720854442098
1,seed,10,[10],0.5500403262522583,0.5500403262522583
1,seed,11,[11],0.41758095324089556,0.41758095324089556
1,seed,12,[12],0.40004785832093326,0.40004785832093326
1,seed,13,[13],0.5352933702694479,0.5352933702694479
1,seed,14,[14],0.45060980198083483,0.45060980198083483
1,seed,15,[15],0.4048583205419295,0.4048583205419295
1,seed,16,[16],0.5458484492306891,0.5458484492306891
1,seed,17,[17],0.5098180571702814,0.5098180571702814
1,seed,18,[18],0.6239568536300759,0.6239568536300759
1,seed,19,[19],0.530424442574725,0.530424442574725
1,seed,20,[20],0.37431818735818145,0.37431818735818145
1,seed,21,[21],0.5123419317405328,0.5123419317405328
1,seed,22,[22],0.5731491221775524,0.5731491221775524
1,seed,23,[23],0.5590990499521074,0.5590990499521074
1,seed,24,[24],0.4992814180796476,0.4992814180796476
1,seed,25,[25],0.5125431219277057,0.5125431219277057
1,seed,26,[26],0.4458323891197145,0.4458323891197145
1,seed,27,[27],0.45239134917963525,0.45239134917963525
1,seed,28,[28],0.256159042040798,0.256159042040798
1,seed,29,[29],0.46456041567023887,0.46456041567023887
1,seed,30,[30],0.5254097858883355,0.5254097858883355
1,seed,31,[31],0.5404129891835786,0.5404129891835786
1,seed,32,[32],0.5529652290419828,0.5529652290419828
1,seed,33,[33],0.44334336424279447,0.44334336424279447
1,seed,34,[34],0.4744245999369764,0.4744245999369764
1,seed,35,[35],0.4024391749674027,0.4024391749674027
1,seed,36,[36],0.5137714480666244,0.5137714480666244
1,seed,37,[37],0.5541285122195133,0.5541285122195133
1,seed,38,[38],0.5021925868514912,0.5021925868514912
1,seed,39,[39],0.6746666686746674,0.6746666686746674
1,seed,40,[40],0.5987755859763233,0.5987755859763233
1,seed,41,[41],0.4771407461050544,0.4771407461050544
1,seed,42,[42],0.46750302732464083,0.46750302732464083
1,seed,43,[43],0.6017083158813789,0.6017083158813789
1,seed,44,[44],0.5219679273933288,0.5219679273933288
1,seed,45,[45],0.5159637909236229,0.5159637909236229
1,seed,46,[46],0.41278111163801845,0.41278111163801845
1,seed,47,[47],0.34339461320944814,0.34339461320944814
1,seed,48,[48],0.5530448884873838,0.5530448884873838
1,seed,49,[49],0.4971985712822066,0.4971985712822066
1,seed,50,[50],0.45303312993172756,0.45303312993172756
1,seed,51,[51],0.5281849100292856,0.5281849100292856
1,seed,52,[52],0.4723659859299387,0.4723659859299387
1,seed,53,[53],0.43656516773144577,0.43656516773144577
1,seed,54,[54],0.4597684320354721,0.4597684320354721
1,seed,55,[55],0.4409815545321628,0.4409815545321628
1,seed,56,[56],0.4534986686555164,0.4534986686555164
1,seed,57,[57],0.4174488117705511,0.4174488117705511
1,seed,58,[58],0.6324731826836142,0.6324731826836142
1,seed,59,[59],0.4881235758763988,0.4881235758763988
1,seed,60,[60],0.5249413331054706,0.5249413331054706
1,seed,61,[61],0.578708468793268,0.578708468793268
1,seed,62,[62],0.5186875405959979,0.5186875405959979
1,seed,63,[63],0.4323734278629908,0.4323734278629908
1,seed,64,[64],0.469177045797988,0.469177045797988
1,seed,65,[65],0.4006192400398121,0.4006192400398121
1,seed,66,[66],0.6415016615270568,0.6415016615270568
1,seed,67,[67],0.5264203399894818,0.5264203399894818
1,seed,68,[68],0.46052604252712476,0.46052604252712476
1,seed,69,[69],0.3413248204836506,0.3413248204836506
1,seed,70,[70],0.5111732481098653,0.5111732481098653
1,seed,71,[71],0.415931353675994,0.415931353675994
1,seed,72,[72],0.3273596695009746,0.3273596695009746
1,seed,73,[73],0.4014099469051996,0.4014099469051996
1,seed,74,[74],0.44834430387304586,0.44834430387304586
1,seed,75,[75],0.5508108921093227,0.5508108921093227
1,seed,76,[76],0.48050390939506804,0.48050390939506804
