frame,condition,combo,combo_key,local_sharpness,global_sharpness,condition_number,basin_width,is_optimal
41,Clean,Gray (1ch),gray,0.021486,0.021735,2.434149,49.000000,False
41,Clean,[15] (Forward Best),Ch15_solo,0.127406,0.031536,2.185093,15.000000,True
41,Clean,[23] (Rank02 Best),Ch23_solo,0.078570,0.024427,1.713525,29.000000,True
41,+30%,Gray (1ch),gray,0.022455,0.022025,2.366098,16.000000,False
41,+30%,[15] (Forward Best),Ch15_solo,0.124460,0.031487,2.117438,10.000000,True
41,+30%,[23] (Rank02 Best),Ch23_solo,0.083650,0.024899,1.634946,9.000000,True
41,+50%,Gray (1ch),gray,0.020556,0.020469,2.262439,0.000000,False
41,+50%,[15] (Forward Best),Ch15_solo,0.119428,0.030039,1.935678,4.000000,True
41,+50%,[23] (Rank02 Best),Ch23_solo,0.094569,0.026655,1.551896,0.000000,True
41,Clean,"[6,15] (Ret-Optimal)",Ch6_Ch15,0.096816,0.028181,2.151872,21.000000,False
41,Clean,"[15,23] (Cross-Combo)",Ch15_Ch23_cross,0.103512,0.027924,1.969954,20.000000,False
41,Clean,Rank01 Full (8ch),Rank01_Full8,0.052425,0.024269,2.139811,37.000000,False
41,+30%,"[6,15] (Ret-Optimal)",Ch6_Ch15,0.092719,0.027632,2.135907,17.000000,False
41,+30%,"[15,23] (Cross-Combo)",Ch15_Ch23_cross,0.103689,0.027715,1.899439,9.000000,False
41,+30%,Rank01 Full (8ch),Rank01_Full8,0.060734,0.024754,2.154988,1.000000,False
41,+50%,"[6,15] (Ret-Optimal)",Ch6_Ch15,0.089591,0.026372,1.972306,8.000000,False
41,+50%,"[15,23] (Cross-Combo)",Ch15_Ch23_cross,0.107561,0.027966,1.761384,0.000000,False
41,+50%,Rank01 Full (8ch),Rank01_Full8,0.060124,0.023632,1.986699,0.000000,False
41,Clean,Rank02 Full (8ch),Rank02_Full8,0.049760,0.023719,1.821330,32.000000,False
41,+30%,Rank02 Full (8ch),Rank02_Full8,0.053474,0.024215,1.916132,13.000000,False
41,+50%,Rank02 Full (8ch),Rank02_Full8,0.050530,0.022818,1.862817,0.000000,False
306,Clean,Gray (1ch),gray,0.028750,0.022238,1.405293,46.000000,False
306,Clean,[15] (Forward Best),Ch15_solo,0.145823,0.030982,1.462416,7.000000,True
306,Clean,[23] (Rank02 Best),Ch23_solo,0.106536,0.026386,1.280921,19.000000,True
306,+30%,Gray (1ch),gray,0.029463,0.021354,1.434293,0.000000,False
306,+30%,[15] (Forward Best),Ch15_solo,0.130850,0.029106,1.561556,7.000000,True
306,+30%,[23] (Rank02 Best),Ch23_solo,0.099416,0.025095,1.327883,1.000000,True
306,+50%,Gray (1ch),gray,0.030959,0.020346,1.393405,0.000000,False
306,+50%,[15] (Forward Best),Ch15_solo,0.111570,0.026168,1.561315,5.000000,True
306,+50%,[23] (Rank02 Best),Ch23_solo,0.104163,0.024073,1.277312,0.000000,True
306,Clean,"[6,15] (Ret-Optimal)",Ch6_Ch15,0.081012,0.025673,1.352293,23.000000,False
306,Clean,"[15,23] (Cross-Combo)",Ch15_Ch23_cross,0.128550,0.028438,1.393033,9.000000,False
306,Clean,Rank01 Full (8ch),Rank01_Full8,0.059100,0.025495,1.364637,32.000000,False
306,+30%,"[6,15] (Ret-Optimal)",Ch6_Ch15,0.082909,0.026927,1.391407,12.000000,False
306,+30%,"[15,23] (Cross-Combo)",Ch15_Ch23_cross,0.117875,0.026787,1.475061,5.000000,False
306,+30%,Rank01 Full (8ch),Rank01_Full8,0.068690,0.026389,1.396806,3.000000,False
306,+50%,"[6,15] (Ret-Optimal)",Ch6_Ch15,0.084955,0.026340,1.411562,5.000000,False
306,+50%,"[15,23] (Cross-Combo)",Ch15_Ch23_cross,0.108702,0.024880,1.446810,0.000000,False
306,+50%,Rank01 Full (8ch),Rank01_Full8,0.075649,0.026383,1.398508,0.000000,False
306,Clean,Rank02 Full (8ch),Rank02_Full8,0.049019,0.020394,1.047486,42.000000,False
306,+30%,Rank02 Full (8ch),Rank02_Full8,0.060556,0.023030,1.240644,0.000000,False
306,+50%,Rank02 Full (8ch),Rank02_Full8,0.063128,0.022559,1.256792,0.000000,False
512,Clean,Gray (1ch),gray,0.018089,0.020328,1.849868,61.000000,False
512,Clean,[15] (Forward Best),Ch15_solo,0.113478,0.027910,1.452178,13.000000,True
512,Clean,[23] (Rank02 Best),Ch23_solo,0.066760,0.022285,1.231188,53.000000,True
512,+30%,Gray (1ch),gray,0.017125,0.019031,1.799489,10.000000,False
512,+30%,[15] (Forward Best),Ch15_solo,0.107615,0.026899,1.492968,8.000000,True
512,+30%,[23] (Rank02 Best),Ch23_solo,0.066423,0.022194,1.259423,5.000000,True
512,+50%,Gray (1ch),gray,0.016580,0.018492,1.746428,0.000000,False
512,+50%,[15] (Forward Best),Ch15_solo,0.090026,0.023434,1.445911,4.000000,True
512,+50%,[23] (Rank02 Best),Ch23_solo,0.068151,0.022039,1.288657,0.000000,True
512,Clean,"[6,15] (Ret-Optimal)",Ch6_Ch15,0.074641,0.025410,1.386859,29.000000,False
512,Clean,"[15,23] (Cross-Combo)",Ch15_Ch23_cross,0.087000,0.024885,1.346169,32.000000,False
512,Clean,Rank01 Full (8ch),Rank01_Full8,0.037885,0.023079,1.658480,60.000000,False
512,+30%,"[6,15] (Ret-Optimal)",Ch6_Ch15,0.078725,0.025852,1.414478,13.000000,False
512,+30%,"[15,23] (Cross-Combo)",Ch15_Ch23_cross,0.085275,0.024348,1.388668,7.000000,False
512,+30%,Rank01 Full (8ch),Rank01_Full8,0.047971,0.023175,1.466084,0.000000,False
